#{"t_start": 1707863417.8390684, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-98.0,293,0.69,31
-27.0,372,0.989002,4
-183.0,668,1.456,4
13.0,1201,3.243001,7
268.0,1201,4.022999,40
-73.0,110,4.157999,5
367.0,1102,5.927999,88
-66.5,63,6.031004,3
24.5,270,6.260001,22
-55.5,75,6.369,5
-49.0,85,6.484999,6
-51.0,82,6.599001,5
-49.5,80,6.711,6
-41.0,94,6.835002,6
213.0,632,8.320898,51
379.0,811,8.886898,118
-47.0,84,8.999898,7
0.0,165,9.164897,18
-47.0,71,9.271899,4
-6.5,154,9.429899,20
-52.0,62,9.531897,3
29.0,213,9.726901,23
11.0,163,9.889899,16
-52.0,75,9.999899,5
104.5,341,11.296898,36
-41.0,123,11.438898,12
-47.5,73,11.547899,4
106.0,316,11.802899,48
-57.0,62,11.905902,3
203.0,478,12.263897,5
56.0,247,12.477899,23
132.5,380,12.769898,50
-55.0,73,12.878899,4
351.0,712,14.374897,111
-54.5,54,14.4749,3
-54.0,82,14.592901,4
-52.0,69,14.700899,3
206.5,495,15.0569,59
-54.5,70,15.1649,4
331.0,711,16.654898,105
-39.0,92,16.7919,8
-41.0,75,16.9039,4
-46.0,77,17.015898,3
287.0,532,17.396901,82
72.5,270,17.626899,35
-54.5,68,17.7319,4
-51.0,65,17.835899,3
-51.0,69,17.942896,4
140.0,362,18.226898,20
-53.0,66,18.333899,3
-45.5,77,18.445899,5
8.5,165,18.608899,23
-50.0,64,19.726897,2
-53.5,57,19.8399,3
-60.0,67,19.947897,5
216.0,436,20.2719,53
557.0,870,20.854899,113
-42.0,100,20.9809,8
-47.0,84,21.096898,7
-48.0,86,21.213898,6
251.5,508,22.588897,48
20.0,168,22.759898,18
141.0,334,23.024898,45
217.0,438,23.349899,83
-56.0,76,23.460898,6
-20.0,125,23.601898,11
128.0,340,23.868899,58
-50.0,69,23.977898,3
-52.0,63,24.0849,3
136.0,345,25.366898,54
54.0,264,25.606897,10
631.0,1201,26.585899,3
174.0,390,26.882899,57
-8.0,164,28.086504,11
445.5,803,28.673362,130
127.0,325,28.948319,43
-22.0,116,29.08523,10
288.0,558,29.488241,49
-56.0,73,29.598052,4
-40.0,93,30.68715,6
232.0,451,31.039119,67
98.0,278,31.281118,12
-2.0,172,31.453119,10
-36.0,97,31.578117,9
102.5,308,31.83612,5
-38.5,102,31.965117,8
-50.0,66,32.072118,3
211.0,422,32.388117,63
188.0,398,33.697119,73
438.0,769,34.226118,164
115.0,321,34.489117,4
170.0,413,34.801118,65
308.0,567,36.365515,112
121.0,323,36.687519,29
98.0,306,36.952516,56
-37.0,103,37.084517,10
143.0,355,37.384517,46
-40.0,99,37.518518,6
-49.0,81,37.637516,6
-45.5,79,37.756516,4
-55.0,60,37.861516,2
139.0,326,38.132519,49
-32.5,92,39.273733,7
-52.0,60,39.388733,2
-43.0,80,39.507735,5
25.0,172,39.735734,22
271.0,485,40.093735,103
108.0,284,40.359164,6
-48.0,67,40.465677,3
475.0,768,41.029925,106
-51.0,62,41.139495,3
85.0,300,42.434332,25
147.5,337,42.706025,51
-32.0,114,42.842381,12
49.5,252,43.057383,39
-44.0,89,43.177382,7
176.0,367,43.464739,52
240.0,443,43.798584,65
-1.5,153,43.958243,17
-36.0,84,45.066396,5
-38.0,81,45.191668,6
454.5,702,45.687133,123
-50.0,75,45.807276,5
240.0,431,46.137591,64
-49.0,83,46.255964,4
-43.0,84,46.37396,5
128.0,327,46.641299,12
223.0,428,48.002532,38
198.0,395,48.308217,75
284.0,545,48.702007,54
42.0,210,48.894414,6
235.0,458,49.233559,86
-47.5,66,49.339557,3
-53.0,74,49.451557,4
139.0,328,50.731005,49
-34.0,97,50.859004,7
-26.0,82,50.975005,4
289.0,495,51.340618,72
436.0,642,51.788618,123
219.5,479,53.134836,13
123.5,302,53.406836,40
316.0,509,53.777834,91
658.0,925,54.392525,168
339.5,577,55.835658,81
107.0,285,56.073657,32
135.5,304,56.324659,46
347.0,597,56.751673,79
120.0,288,56.990697,40
167.0,343,58.262091,51
571.0,814,58.841123,150
407.0,624,59.280178,85
-35.0,106,59.410177,5
208.0,381,59.713283,62
804.0,1133,61.491532,141
408.0,598,61.940305,83
583.5,829,63.614308,101
284.0,459,63.959305,90
174.0,345,64.233306,33
131.0,306,64.484304,40
408.0,562,65.893304,102
146.0,291,66.163305,44
145.0,302,66.416307,37
201.0,387,66.714305,53
244.0,426,67.046304,58
140.0,287,67.287305,37
323.5,517,68.792305,65
491.5,721,69.299305,54
289.0,464,69.642307,75
-34.5,90,69.761306,6
380.0,566,71.198303,126
405.0,594,71.656305,109
196.0,356,71.941303,56
326.0,524,72.324304,88
243.0,401,72.629762,65
436.0,613,74.09614,98
235.5,385,74.394143,59
426.0,617,74.831141,98
462.5,617,76.256143,113
156.0,306,76.533142,37
153.0,283,76.77114,44
234.0,361,77.05514,59
592.0,777,77.587141,149
-16.0,97,77.71214,6
467.0,633,79.20214,101
321.0,484,79.563143,64
258.0,397,79.874141,61
242.0,371,80.163143,67
132.0,275,80.39614,13
196.0,354,81.685142,39
380.0,534,82.073142,80
420.0,618,82.531142,99
497.5,653,84.038141,99
364.0,509,84.434143,98
166.5,299,84.723142,44
678.0,882,85.318142,167
33.0,163,85.481139,20
308.0,454,86.965142,71
131.5,304,87.22714,7
110.0,246,87.446141,31
454.0,613,87.882143,68
392.0,544,88.276143,72
444.0,613,89.778141,83
467.0,622,90.211141,88
664.0,851,90.782143,160
391.0,552,92.192143,88
331.0,480,92.563142,73
515.0,682,93.092143,93
422.0,578,94.556141,71
245.0,387,94.87114,70
273.0,420,95.190141,69
195.0,337,95.462142,40
172.5,314,95.72114,45
215.0,351,96.00514,51
606.0,816,97.656141,121
542.5,775,98.189142,130
323.5,498,99.651141,85
215.0,362,99.967142,54
420.5,582,100.38714,81
436.0,615,100.820142,82
483.0,642,102.305141,92
-35.0,68,102.42014,3
672.0,917,103.039141,105
747.0,954,104.66514,115
625.0,821,105.23714,117
324.5,453,105.577141,60
