#{"t_start": 1707325518.892245, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
11.3,428,0.354,7
8.9,427,0.674,12
142.6,1048,1.363998,56
125.5,811,2.890998,12
18.9,357,3.166,22
-52.4,179,3.339998,19
53.4,555,3.725998,25
-25.0,238,3.937998,3
237.3,998,5.605999,90
-49.1,138,5.749997,11
-20.2,207,5.934998,11
40.3,434,6.252001,38
256.8,933,7.879997,58
-67.7,63,7.979997,3
-51.6,107,8.107999,5
51.1,363,8.383997,27
73.4,423,8.694998,54
-66.2,92,8.811997,8
-26.8,152,8.964998,18
-64.9,100,9.086997,11
-61.3,85,9.200998,7
61.1,344,10.463998,44
-68.0,69,10.569999,4
-65.9,73,10.674997,6
231.7,699,11.149002,89
-60.9,70,11.254999,4
-69.7,62,11.354997,3
180.7,541,11.738997,50
-66.4,77,11.848999,4
291.8,801,13.386997,99
87.8,368,13.665998,60
481.6,1232,15.461998,239
-65.9,57,15.573997,1
416.9,791,16.101998,129
-52.8,68,16.206997,4
-3.5,140,16.355999,16
-59.4,64,16.456998,3
-63.5,57,16.553999,3
-8.0,146,16.701998,14
-61.1,57,16.799997,2
179.1,447,17.127998,66
-57.6,63,18.208998,3
-59.0,66,18.322,4
-60.4,58,18.427999,3
-66.9,71,18.534997,5
-12.9,116,18.666997,12
-59.3,60,18.767,2
-62.3,56,18.863,2
-62.7,58,18.960997,2
83.5,280,19.190997,19
73.8,231,19.390998,35
-19.2,120,19.524997,12
-60.4,60,19.622999,2
13.1,171,19.784997,21
-62.7,53,19.879998,2
183.4,415,20.188998,66
-61.6,61,20.288998,3
-60.0,64,20.390997,3
-61.8,53,20.485997,2
-48.9,89,21.605998,7
173.1,387,21.915999,52
-33.2,101,22.038998,10
53.3,214,22.229998,37
-19.7,118,22.362997,12
-18.8,120,22.499998,11
-60.4,58,22.598997,2
-63.2,54,22.693997,2
-54.2,63,22.794998,2
20.2,160,22.953,16
11.5,157,23.109,22
-6.3,133,23.251997,13
86.2,302,23.493999,31
-58.6,62,23.592999,4
-8.0,133,24.756,14
-20.4,101,24.891998,10
113.0,280,25.124997,38
-65.5,48,25.217998,2
-49.6,78,25.327997,5
73.8,258,25.544,34
-56.5,62,25.643997,3
-4.0,133,25.784998,14
29.2,186,25.955997,27
156.7,360,26.230997,56
75.6,283,26.460997,3
-59.5,60,26.560999,1
-63.0,53,26.657,2
232.4,492,28.006999,92
-62.8,58,28.106997,2
67.3,258,28.323997,42
23.9,184,28.497998,25
-31.8,111,28.626997,11
170.6,406,28.928,81
-59.2,60,29.026998,2
-16.0,108,29.153999,9
-52.9,60,29.252997,3
-58.9,56,29.350998,2
-62.5,64,29.451997,2
16.5,178,29.619997,19
-22.1,102,30.728999,8
151.1,374,31.036997,51
-68.4,52,31.131998,1
-17.0,113,31.264,11
22.8,181,31.434998,18
-60.1,58,31.535997,3
134.4,380,31.824999,62
-64.5,57,31.921998,2
10.2,148,32.074,11
194.6,460,32.406998,82
237.6,558,33.782998,114
-58.3,61,33.882997,3
21.4,187,34.057999,26
73.2,291,34.293999,54
-62.2,56,34.392999,2
-57.0,73,34.499998,4
1.2,146,34.649999,15
-18.7,126,34.788999,14
-9.7,132,34.929997,13
308.3,702,36.364998,87
-58.2,59,36.475997,3
70.0,259,36.696999,46
250.1,575,37.108998,66
-54.4,72,37.216,3
-26.6,110,37.345998,11
28.4,195,37.523998,29
-53.9,76,37.634999,5
27.0,193,37.816,32
-55.4,63,37.917998,2
-57.6,62,38.019997,2
73.5,263,38.238997,28
-12.5,123,39.382998,13
-61.8,53,39.498998,1
-25.5,114,39.637997,11
-57.6,58,39.737998,2
-65.1,60,39.836998,3
-67.6,62,39.936999,4
-24.2,111,40.066997,8
-56.6,74,40.174997,4
-17.6,130,40.315998,13
-60.2,59,40.416998,2
304.5,651,40.864,116
-55.0,82,40.977,5
-31.2,96,41.097,8
-63.7,57,41.195999,3
-19.9,137,41.340998,16
-59.1,65,41.442998,3
-60.6,60,41.540998,4
-66.1,60,41.638999,3
-20.1,112,42.748998,10
108.9,295,43.005998,57
-63.6,58,43.103999,2
-13.6,124,43.242997,10
11.6,187,43.417997,1
-62.9,59,43.515997,2
38.9,181,43.688,25
-53.5,66,43.790998,4
0.2,170,43.954999,22
45.9,230,44.154999,3
196.1,449,44.514997,2
-59.1,68,44.619997,2
-66.4,54,44.715998,2
-11.3,136,45.869997,13
77.4,240,46.090999,27
141.3,351,46.362997,70
-56.1,69,46.466999,4
-60.1,66,46.569997,5
-63.3,57,46.668,2
-61.6,58,46.766,2
79.4,253,46.979997,37
-62.5,60,47.082998,4
70.5,236,47.287999,37
-63.2,55,47.383999,3
63.8,250,47.594998,33
27.5,189,47.769999,23
-63.5,57,47.869,2
49.9,204,49.069998,25
-24.6,106,49.205997,11
-57.7,57,49.304998,2
-62.9,54,49.402998,2
-57.9,51,49.496,2
-60.7,54,49.591,1
53.5,207,49.777998,32
-24.3,95,49.899,7
-56.9,58,49.996001,3
268.3,525,50.370997,103
124.8,282,50.6,45
-24.2,104,50.724998,9
0.1,133,50.866997,12
210.1,412,52.185998,78
-18.4,94,52.307998,7
1.8,123,52.444997,13
-6.3,128,52.584,11
141.0,319,52.837997,50
5.1,138,52.984997,16
-21.0,95,53.104998,7
-64.5,56,53.202997,2
-59.3,53,53.301998,2
-20.6,102,53.426,10
-65.2,54,53.520998,2
-57.4,55,53.616997,2
-23.3,96,53.736999,7
39.0,174,53.904998,20
-60.6,55,54.000998,1
-54.0,54,54.097998,1
8.7,136,54.243998,13
144.3,365,55.527999,2
-54.2,65,55.631999,2
-58.3,53,55.730998,1
-11.1,114,55.864998,12
51.4,180,56.036,24
6.6,126,56.175999,14
-3.6,126,56.314997,14
5.2,149,56.467997,17
10.2,147,56.617999,16
-1.9,120,56.751999,9
164.1,338,57.013997,51
-21.8,103,57.139997,9
-18.1,107,57.267997,10
30.9,163,58.408001,18
-22.7,93,58.547998,7
-60.9,55,58.647,2
-57.8,56,58.744998,2
-8.4,127,58.885001,12
-58.2,53,58.980998,1
-21.0,109,59.111,12
-19.0,103,59.236997,10
-51.0,65,59.337997,2
62.9,214,59.527999,30
-22.6,93,59.647001,7
764.1,1201,62.033997,1
-58.5,60,62.133997,2
-24.2,94,62.254997,7
-57.3,61,62.355001,4
255.3,442,62.676997,78
224.5,420,62.987001,57
195.7,380,63.274998,62
207.6,412,64.540997,63
-56.0,53,64.651,1
-54.9,53,64.752,1
-58.4,45,64.843997,2
-60.0,49,64.937997,2
25.8,157,65.096,19
96.3,247,65.309998,8
36.3,179,65.480997,20
