#{"t_start": 1707318635.6313586, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
174.705024,293,0.805886,31
-914.747839,372,1.107889,4
-1464.69848,668,1.584887,4
-4105.108705,1201,3.510887,18
226.569104,642,3.965887,44
-3253.949385,1201,5.832887,23
-456.005375,551,6.232888,21
408.924516,570,6.639886,55
-546.998404,866,8.283887,28
291.879526,1025,8.972886,56
-37.560961,92,9.094886,8
109.175476,380,9.393888,23
34.3125,166,9.559887,11
-66.583019,65,9.663887,3
120.539908,229,10.894887,30
487.059484,583,11.326886,54
156.754135,256,11.545886,37
-65.456594,65,11.651889,4
-211.686983,476,12.004889,9
-25.213988,103,12.131886,9
161.575776,341,12.400886,38
790.188617,827,13.992886,102
-57.756837,72,14.101888,4
-41.354328,218,14.299886,8
181.133352,284,14.535887,33
159.098955,275,14.768887,20
271.201639,339,15.041886,59
776.868678,993,16.760888,103
457.101529,645,17.213887,80
362.64442,458,17.555886,45
-5.819344,116,18.721886,10
224.905966,315,19.012886,42
297.81181,372,19.303888,57
131.214467,243,19.517887,30
-28.429551,100,19.645885,8
514.078028,750,20.166886,79
619.050321,667,21.664887,88
205.645193,286,21.903888,61
156.725725,254,22.122889,38
431.298992,498,22.491886,69
-32.755462,94,22.612886,7
671.464131,696,24.130887,110
-28.559591,104,24.261892,10
-1050.149025,548,24.656888,10
472.298638,539,25.041886,72
216.320402,311,25.290889,44
151.765867,239,25.494886,42
242.119049,336,26.778887,43
-43.589627,85,26.900886,7
-70.584476,62,27.003888,3
533.215012,584,27.415888,77
567.743895,621,27.849887,82
472.112473,532,29.202886,82
421.35129,522,29.592887,71
413.678474,477,29.939887,75
401.666775,474,30.287887,63
417.58782,476,30.636886,83
594.442963,647,32.051888,86
778.73837,819,32.605886,95
98.899322,221,32.800887,13
310.757706,387,34.088887,59
261.699615,336,34.376902,62
16.705199,142,34.527901,14
484.82497,539,34.9119,83
616.05122,701,35.3939,89
399.053538,463,36.724901,88
769.23604,783,37.2649,120
582.253505,588,37.675902,131
513.932801,552,39.053322,98
124.529923,244,39.294321,29
414.542039,1074,40.000321,102
418.227535,459,40.336323,101
678.381847,703,41.835321,111
307.052227,366,42.120325,76
671.086764,702,42.600322,106
285.098144,365,42.882321,67
305.145987,377,44.197321,72
371.563858,443,44.53232,72
606.807604,632,44.97132,111
407.276197,475,45.316324,68
694.457193,710,46.784321,120
606.39995,641,47.23432,102
284.746794,361,47.512321,58
527.368013,574,47.922323,84
362.869433,421,49.248323,83
-15.631321,112,49.383323,12
40.130513,155,49.546321,19
568.454327,587,49.961321,139
704.91412,729,50.46832,125
670.574825,749,52.023325,145
479.857143,527,52.401322,93
518.440978,534,52.786322,117
336.507424,482,54.183323,95
780.20797,803,54.741323,123
727.951582,704,55.225335,159
332.965658,387,55.522335,82
390.535194,439,56.915334,92
698.000121,708,57.405334,125
736.373168,747,57.915334,131
801.289343,806,59.490339,132
273.394106,345,59.762335,72
680.719158,731,60.262336,102
532.644762,546,61.659334,123
810.961487,806,62.214336,143
462.916375,485,62.567333,115
751.371751,747,64.079334,147
414.73442,470,64.427337,90
448.596968,491,64.783338,91
681.026075,676,65.248336,142
1059.60527,1052,66.938334,151
170.305669,272,67.166334,36
552.561666,600,67.589336,89
813.379716,800,69.144334,146
525.549848,544,69.532336,113
1021.245495,1068,71.210334,137
989.389782,944,71.858337,180
645.856615,658,72.312334,124
580.307425,598,73.731334,125
760.997767,763,74.255334,133
471.639217,526,74.631334,79
824.592512,820,76.195335,138
824.2244,815,76.749334,142
1132.821988,1159,78.516335,162
1296.440838,1327,79.378335,183
1064.916462,1019,81.058335,189
839.957372,807,81.608335,171
204.865156,291,81.849334,51
50.626039,171,82.018336,16
625.477249,619,83.494334,154
851.650288,955,84.139334,141
-60.033633,70,84.247336,4
804.115256,1106,86.151335,149
583.317498,623,86.596336,98
584.87895,622,87.046336,100
1347.801995,1318,89.003336,173
487.536789,538,89.396335,85
998.888959,984,91.102334,169
1212.35089,1142,91.848334,217
572.892116,576,93.330334,132
584.450117,578,93.774336,148
626.752124,624,94.214334,150
1203.704832,1124,95.974335,219
-12.228831,127,96.120334,6
900.145418,889,96.738335,147
-65.166321,65,96.853336,3
868.400935,870,98.471335,132
1248.625985,1282,99.314337,191
822.476045,993,101.032337,158
-50.161887,81,101.147335,5
695.099745,675,101.618335,162
1222.381842,1154,103.434334,207
632.743742,633,103.874336,135
1104.314937,1042,104.566334,199
552.591864,568,105.990353,119
1468.418156,1389,106.882353,214
1120.008067,1054,108.593854,202
681.474643,663,109.050853,153
859.969576,836,110.632854,176
569.981175,577,111.044854,132
858.870477,853,111.623852,164
525.741285,563,113.031855,110
1487.521242,1388,113.929852,234
1359.577651,1295,115.800852,221
1082.414201,1013,116.469852,204
668.3121,666,117.960852,139
1515.472624,1451,118.887853,201
758.758703,729,120.417869,162
896.671837,868,121.009865,168
1122.240597,1013,122.713865,248
1508.56398,1452,123.642865,250
877.619484,848,125.238866,165
66.538606,181,125.413885,21
1027.68139,984,126.066885,182
552.232993,583,127.490885,103
-370.520743,2105,129.845883,224
1052.322947,1045,130.537883,147
88.01361,196,130.723884,27
55.662876,174,130.892883,17
1889.018766,1867,133.111682,241
-49.465774,79,133.22368,4
688.928941,670,134.703682,155
701.763298,704,135.231681,157
936.390526,879,136.958681,193
1293.067782,1231,137.87069,208
1181.638752,1061,139.806689,259
1766.875365,1621,140.856688,279
817.942679,776,142.455689,180
712.099696,694,142.982496,157
655.466866,669,143.454498,121
245.650662,369,144.7785,52
1227.672472,1142,145.539498,221
629.206036,609,146.971497,156
416.49815,455,147.347496,114
954.014851,897,147.945496,191
744.442054,709,149.462496,168
957.48907,896,150.094496,197
245.531434,321,150.356496,59
627.334743,611,150.790498,158
1047.52146,979,152.45824,199
880.234102,852,153.033241,161
838.632325,862,154.73725,161
1036.012463,992,155.426265,185
353.868563,410,155.742274,77
993.472559,939,157.391275,203
1349.827257,1265,158.211275,219
367.571577,423,159.526276,96
1064.232029,1042,160.214276,169
536.244201,579,160.628276,125
1887.732505,1877,162.839275,261
1440.71879,1324,164.715275,252
1282.687899,1216,166.500845,225
282.302285,349,166.780845,66
1066.57325,1500,168.782847,205
1353.638801,1271,169.632866,222
572.66285,589,170.056864,140
1061.617699,998,171.776863,212
782.881735,740,172.288864,178
630.641069,638,173.761866,140
469.969075,500,174.139874,111
426.982979,461,174.483873,100
860.941484,853,175.064873,182
422.671463,477,176.476311,80
1727.228702,1569,177.47431,292
1218.563404,1146,179.423311,217
1492.784054,1396,181.335309,246
791.850468,761,181.849309,184
1172.163522,1107,183.587309,207
285.399354,355,183.864311,65
-44.757409,82,183.977311,6
417.964004,457,184.316309,95
-77.662257,153,184.472308,5
1087.875575,1161,186.235309,199
226.243084,311,186.485309,68
549.634281,563,186.882309,134
967.92424,1755,189.000311,224
610.475961,619,189.429312,139
933.397834,2034,191.729309,213
749.020718,729,193.225309,155
1254.999046,1178,193.991312,211
1229.357493,1160,195.768309,205
1569.757707,1525,197.744308,218
1638.313741,1844,198.929311,253
1072.36796,1004,200.58931,204
1244.220091,1168,202.314311,230
25.428131,139,202.490309,21
881.056737,824,203.045308,200
297.695537,356,203.319311,76
1087.686642,1016,204.98231,208
840.425334,820,205.536309,160
577.940729,583,205.946309,146
960.425322,897,207.561311,194
960.557959,931,208.177309,179
1143.072711,1058,209.846312,219
656.232789,1322,210.691308,207
747.065235,737,212.220309,144
1112.354388,1039,212.900309,211
461.381545,492,213.260309,110
536.031054,536,214.64331,145
1540.544245,1649,216.682309,201
1375.386867,1296,217.52131,224
347.367244,399,217.823309,85
1152.26195,1367,219.696308,219
1046.592438,983,221.353312,194
1333.951034,1241,222.167309,227
737.031032,689,222.638312,182
896.02864,841,224.213309,193
1486.038728,1550,226.233309,256
844.843514,789,226.772311,189
-8.43044,113,226.906365,13
707.026925,690,227.392308,158
1031.837575,972,229.066311,197
1004.207839,1072,229.76931,196
915.70474,866,231.40831,195
344.100994,405,231.717309,97
1071.137064,1029,233.362309,174
155.229148,263,233.602309,53
1175.038622,1117,234.332312,214
478.243144,504,234.69831,114
814.609829,843,236.301308,131
664.134004,659,236.75631,152
467.067064,492,237.112311,110
1712.161442,1622,239.143309,223
823.05687,806,240.725312,162
585.41859,591,241.144309,153
928.484133,885,241.732309,190
1471.314268,1487,243.703311,240
1291.334164,1231,245.477309,200
223.779751,297,245.719311,61
873.06071,834,246.27831,176
1538.92321,1413,248.171309,260
1339.651823,1194,248.94331,286
1293.158148,1173,250.729309,254
1735.048355,1583,252.758309,289
1219.121353,1133,253.49231,219
16.758154,141,253.642309,11
473.741555,497,254.989309,114
1196.803916,1145,255.73531,202
1.836684,122,255.872311,15
224.470348,295,256.11131,64
382.080773,436,257.441309,93
1286.956106,1194,258.226308,232
1106.484133,1060,259.939309,187
848.221062,800,260.47631,185
1866.03705,1847,262.637311,267
450.480875,479,262.984308,120
406.4292,432,264.27531,111
1865.189076,1784,265.431309,289
1686.709391,1604,267.464311,250
679.059866,669,267.93131,149
1495.94432,1359,269.81231,276
840.564651,808,271.366311,177
1161.526674,1070,272.086309,234
850.400429,814,272.628309,180
827.861561,792,274.152309,173
1222.387786,1199,274.92731,217
1326.561344,1233,276.748309,230
1067.435837,1003,278.365309,203
1455.224266,1320,279.238309,270
755.991816,750,280.757309,151
562.548636,580,281.18731,123
959.376765,884,281.772309,214
1015.298164,969,283.384309,187
910.115864,874,283.96731,172
1135.415744,1088,285.687311,186
1171.731916,1086,286.400309,223
1337.057816,1239,288.209311,233
512.065231,536,288.59131,109
655.984987,644,289.038311,150
514.699236,522,290.384309,129
1651.430619,1520,291.351311,272
1034.783634,955,292.996311,216
437.291483,473,293.342309,102
1575.408491,1323,295.188308,301
629.761198,605,295.607311,161
308.402025,358,295.883308,87
503.713697,529,296.26331,111
875.940835,838,297.834308,186
564.936999,565,298.237309,138
1234.244615,1119,299.94031,252
727.605562,707,300.420309,158
959.895137,927,301.96431,169
1422.063238,1328,302.844311,233
1375.724407,1370,304.720309,287
431.508723,479,305.070309,90
674.817387,655,305.520309,158
1422.515483,1349,307.402309,230
1608.613489,1493,309.347309,256
1934.31886,1898,311.558309,260
-39.17928,89,311.678308,6
1238.197512,1833,313.852308,282
849.195297,789,314.389308,197
1228.108691,1112,316.114309,253
560.325545,587,316.542309,107
1277.988694,1156,317.286309,261
1156.8181,1071,318.970311,240
585.883652,595,319.384309,127
496.983231,522,319.76031,114
508.914225,515,321.15431,130
743.599184,924,321.770309,181
324.24527,365,322.05231,92
531.233022,546,323.464311,118
512.225207,509,323.84031,140
2027.619945,1860,326.016309,301
793.249862,767,326.530309,159
219.900998,318,326.787311,57
1248.038202,1146,328.531309,236
628.50013,635,328.970309,128
1861.735166,1783,331.098311,301
404.632152,438,331.433309,102
779.79294,737,332.942312,179
1604.367775,1445,333.861309,299
670.814827,661,335.333309,144
-43.454231,84,335.450309,5
897.430405,839,336.008309,191
1032.83586,959,337.637308,213
454.640755,494,338.010309,96
391.447812,435,338.331309,97
1587.699911,1470,340.26931,252
532.424324,535,340.652308,133
1448.075515,1317,342.484309,270
373.860457,444,342.814311,82
1577.634897,1476,344.730309,238
1211.416013,1217,345.522308,186
519.413912,540,345.90331,122
1410.535896,1405,347.794309,284
1294.468015,1282,349.595309,245
171.35837,256,349.81031,50
541.425058,541,350.193309,140
1828.608827,1566,352.192309,301
1306.75144,1205,352.96531,238
620.160746,610,354.385309,150
632.319154,639,354.830308,139
706.844347,705,355.307308,138
866.693917,839,356.895312,163
408.918319,456,357.235309,88
1575.187115,1329,359.093311,301
604.380866,581,359.503309,160
1540.935543,1724,361.616311,253
1108.000742,1047,362.301311,196
1567.287255,1432,364.237311,273
882.751601,854,364.805311,165
509.165476,531,366.18831,111
307.491063,367,366.472309,78
-35.348016,91,366.591309,8
230.122657,1530,368.549311,203
364.466782,414,368.861311,84
975.765793,907,369.45931,203
529.10195,542,370.823313,123
1908.895415,1645,371.866308,301
1669.40703,1851,374.064309,273
1762.21646,1497,376.01331,301
1457.47625,1440,377.926309,279
1371.194725,1272,378.744308,233
1397.306296,1298,380.622311,235
656.63451,1817,382.774309,188
