#{"t_start": 1707322092.3078904, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-199.853255,529,0.417998,12
152.328483,287,0.650997,22
-149.176632,300,0.895998,5
-335.277672,998,2.55,27
311.642944,426,2.887999,23
-7.364069,120,3.021,14
-1940.966922,1201,3.800999,34
-192.872663,1741,5.891999,81
-56.342931,70,5.997,5
284.092467,1843,8.166001,72
399.843766,686,9.621001,48
-73.299398,57,9.737998,2
813.512909,1591,10.743,97
152.243444,670,12.218998,29
49.971231,170,12.386997,11
21.408272,208,12.573,13
-40.235562,87,12.687,8
253.821918,983,13.329998,66
543.891939,613,14.772999,71
274.911059,378,15.065998,37
-265.036558,866,15.644999,34
191.937171,302,15.885997,24
-3496.873825,2496,19.384998,103
-55.606701,1790,20.515999,127
156.245889,250,21.714998,40
59.978437,246,21.940002,28
-70.725876,60,22.038997,2
-56.547654,75,22.146997,4
-64.290927,66,22.247998,4
-28.846863,98,22.369997,8
-78.593196,50,22.461998,2
665.080414,1042,23.145,101
-48.203947,80,23.255999,5
-47.10856,92,23.379,5
-908.871443,1159,25.149,56
313.51225,1063,26.834997,118
899.588688,1868,28.041,155
785.872761,2148,31.448998,162
170.65003,1737,32.563998,94
991.658444,1009,34.230999,122
-70.925976,58,34.33,3
212.137734,305,34.574999,42
527.400947,798,35.111997,81
-19.289455,109,36.214998,9
583.803904,636,36.681998,91
114.159641,228,36.882998,15
1039.525018,1266,38.684998,120
1032.544885,1803,39.832998,100
855.909325,1034,41.523,109
-54.911825,75,41.630997,6
549.691794,601,42.051,86
-316.75401,1244,43.875998,59
338.288901,469,44.217,62
-561.234569,1443,46.118997,79
-130.935684,191,46.295997,2
-122.440815,1655,48.356998,157
-48.085779,80,48.467999,6
785.57022,1095,49.178999,137
45.114811,167,49.342997,14
-55.855448,75,49.450999,5
1257.581963,1923,51.687998,176
395.274957,806,53.227997,64
121.062978,685,53.699,35
88.385986,754,54.207,87
1083.443145,1093,55.923998,130
451.510828,498,56.279998,89
946.227433,1031,57.964998,158
-278.777851,1559,58.956999,75
1208.865356,1182,60.714998,162
420.887936,1140,62.431998,115
481.972348,553,62.830997,67
1347.347499,1491,64.792998,166
1115.015832,1384,65.685997,160
654.660806,710,67.157998,82
859.644974,937,67.787998,135
-2274.238862,1916,69.977998,138
-724.985818,2594,72.577999,166
1706.233403,3302,76.622998,228
-71.982913,59,76.721998,2
603.29792,683,77.190998,87
1897.733076,2014,79.439,213
944.768516,1297,81.281998,139
-27.46785,100,81.402997,8
196.790522,1734,83.485998,166
1283.194918,1576,85.465998,214
726.120411,759,85.994998,110
1532.512008,1501,87.948998,199
1438.532153,1506,88.898997,180
1326.285791,1293,90.715998,169
-50.744462,77,90.825998,4
1502.430786,1959,93.049,212
394.33348,2190,95.398997,180
2266.35574,2538,97.981998,233
1624.251897,1602,99.984,220
143.888425,2821,102.737998,210
-233.683414,2434,106.256999,223
2237.186242,2333,108.722998,220
1376.056568,1357,109.581998,189
2165.026758,2523,113.168998,270
1060.061329,1067,113.859998,173
633.031435,1673,115.881998,180
1389.567268,1319,117.711998,212
263.35579,344,117.980997,58
1920.756979,1828,120.128999,252
2054.136862,2266,122.527998,265
1486.907098,2140,124.853,252
1458.739249,1567,126.820999,254
1233.517879,1167,127.571997,212
684.839224,767,129.081999,121
-62.699127,67,129.191,5
558.861224,573,129.593997,125
888.60161,847,130.155998,184
1649.252829,1923,132.347997,256
754.097235,786,133.866999,142
587.399311,593,134.284998,131
1285.304821,1169,136.010998,254
2013.373461,1747,137.143001,301
1628.265776,1525,139.136998,239
409.61271,454,139.466999,92
1133.01529,1044,141.170998,228
1337.606236,1247,141.966999,237
947.30569,922,143.592997,165
1362.925685,1265,145.362998,240
1034.840102,1011,146.046998,168
-33.553874,94,146.165999,8
590.824797,614,146.593997,125
376.934964,450,147.949998,78
1893.794421,1761,149.063,279
566.710085,589,150.489,118
1390.957108,1322,151.332997,210
1681.295455,1574,153.335,243
1287.456059,1213,155.115998,213
572.27227,606,155.538998,110
1034.396869,1008,157.182001,166
1611.432442,1524,158.161998,230
1992.767941,1732,160.243998,301
2081.609354,1962,162.461,270
1832.828813,1570,164.453001,301
1777.691514,1651,166.476999,264
926.317271,887,167.064998,181
1600.406179,1486,168.998997,255
1357.39288,1295,169.825,202
877.880782,838,171.389,185
1127.642657,1057,172.073997,212
321.796077,417,173.362998,73
873.629955,842,173.941998,167
1761.828836,1943,176.129997,245
414.59514,471,176.466998,94
340.555992,390,176.761998,89
349.73484,402,178.013998,88
942.570403,908,178.628998,179
757.305346,769,179.145998,143
975.980473,980,180.794997,180
1006.508249,916,181.395,227
783.644305,753,182.923998,172
819.105971,799,183.459997,159
1053.103532,980,185.079001,211
504.172253,543,185.486011,113
1613.786385,1797,187.615998,244
1779.214489,1765,189.675998,253
517.522955,545,190.081997,116
713.065261,751,190.593997,129
708.157946,682,191.061,162
604.477958,663,192.525,131
625.619433,615,192.953998,152
1470.877278,1694,195.031998,243
332.349223,392,195.328998,81
1738.394946,2011,197.598,254
558.557577,575,197.999999,133
890.531845,858,199.573,177
1976.162394,1827,201.722997,287
773.343547,746,202.230997,164
1604.516333,1526,204.184998,273
651.869674,631,204.624998,161
1113.39672,1029,206.303999,226
1459.55751,1350,207.174997,259
1496.282478,1237,208.997998,301
302.215283,371,209.281999,75
1293.030165,1334,211.128997,238
570.783657,592,211.542,121
422.520414,448,211.868997,117
1160.114454,1063,213.593997,240
815.474567,781,214.122998,177
490.9896,513,214.489998,121
1169.438559,1083,216.193997,223
1543.108488,1426,218.092,263
1551.920722,1413,218.996,278
680.449406,708,220.455998,115
1309.877483,1215,221.239997,231
512.729576,533,221.618998,120
878.037047,856,223.196,162
456.559579,478,223.539999,120
520.773635,534,223.920998,127
244.34391,335,225.154999,69
864.009537,1980,227.423998,213
506.596115,510,227.806998,136
350.917099,408,228.113999,82
1408.844718,1328,229.963999,222
1359.124657,1257,230.769997,241
1390.126619,1505,232.721997,248
1553.8274,1569,234.698998,272
1320.629495,1237,235.492,227
674.152734,2131,237.822998,206
519.939052,551,239.237998,109
1843.56289,1768,241.331,257
1111.164609,1053,242.036,199
530.606762,569,242.430998,105
739.666997,715,243.931,163
1969.532156,1840,246.105,274
1772.572467,1511,247.080998,301
1758.517761,1502,249.034999,301
1564.605127,1443,250.937999,269
2092.014563,1835,253.086999,301
1846.920641,1590,254.098999,301
1013.586327,953,255.744998,205
1059.068654,1347,257.620001,176
486.943211,522,258.019999,108
324.68259,377,258.307997,89
1223.556536,1103,259.981,260
1007.784319,959,260.643,189
527.157451,568,261.046998,99
934.316311,897,262.631999,182
933.109447,879,263.216998,195
1363.876454,1268,265.042998,241
1933.143054,1675,267.086998,301
1213.452881,1107,267.822998,247
513.503153,528,268.199999,125
2099.345322,1839,270.375999,301
1012.625062,951,271.998998,203
2024.58744,1806,274.163998,301
664.584765,686,274.645,121
1791.495807,1629,276.674998,301
1136.190598,1075,277.373997,202
228.314805,350,277.643997,64
1094.945653,1036,279.317997,200
1959.273607,1819,281.445997,282
588.013731,614,281.874998,118
1935.942615,1918,284.115998,271
2169.570437,1956,286.351005,301
1798.7641,1912,288.571998,301
799.852414,800,289.108997,151
1150.878389,1052,290.797997,240
1331.544627,1264,291.604998,211
916.396568,877,293.163998,181
1367.154527,1286,294.943998,221
1063.726181,963,295.609,243
1190.346988,1095,297.300998,236
713.281655,697,297.799999,157
2568.792378,2308,300.198997,301
1131.423965,1086,301.862,193
418.853003,456,302.217,102
1206.672334,1135,302.954,211
1461.465961,1356,304.803998,249
2072.429472,1813,306.912,301
-166.907175,1367,308.778,180
1560.646366,1419,309.701998,285
1065.032893,1124,311.419998,208
1818.574106,1559,313.366998,301
1965.547873,1705,314.459999,301
852.800047,2342,316.913,280
1550.778829,1423,318.807998,270
1856.412336,1781,320.937,250
866.705924,853,321.507998,156
1380.117889,1289,323.342998,230
757.330295,751,323.853998,147
473.623065,525,325.269998,90
1596.020492,1556,326.250999,284
1854.401588,1601,328.26,301
903.773301,859,329.833,185
1363.400795,1346,330.692998,203
578.084469,608,332.147002,120
428.238049,474,332.499997,93
1412.853669,1339,334.376999,218
1644.903906,1559,335.400998,226
538.783788,571,336.8,107
1698.008306,1551,337.794997,286
1796.028446,1798,339.942,256
218.372435,297,340.180002,62
2240.512005,2166,342.505998,281
817.495689,785,344.045998,170
2306.246826,2047,346.285998,301
1161.790183,1130,347.018997,178
358.09233,421,348.343998,81
1190.683042,1102,349.076997,228
500.568969,537,349.453998,101
863.832638,861,351.033998,148
588.894242,602,351.451998,128
912.010536,867,352.029,184
1058.59666,1010,353.692998,182
1197.291973,1120,355.424,219
1354.476355,1238,356.242002,253
1250.76467,1202,358.002998,191
1154.024549,1075,358.703998,225
1414.967352,1297,360.540998,253
838.185792,817,361.088998,161
658.041943,730,362.589998,119
1064.217624,2008,364.849998,288
354.297952,403,365.166,91
1187.173471,1360,366.029998,209
1492.161302,2048,368.309,259
543.101264,559,369.68,129
1905.818728,1654,371.717,301
1234.830996,1122,372.460999,257
1016.248775,976,374.09,185
1015.888551,976,374.740999,180
639.022045,638,375.184,141
1755.665574,1506,377.133999,301
1293.369726,1455,379.064997,209
2221.919407,1966,381.287997,301
1426.154162,1360,382.161998,215
1750.826643,1489,384.114998,301
559.531774,624,384.549,80
1339.870379,1237,386.358,242
1804.750147,1663,388.413,280
553.186852,579,388.820999,114
1853.699741,1808,390.977998,254
2075.360227,2549,393.576998,282
1532.179005,1444,395.527998,234
576.613992,607,395.950998,118
1092.731623,1029,397.627998,208
1423.798257,1388,398.511998,227
888.184249,852,400.107998,173
1162.628941,1258,401.874998,217
1057.524938,946,402.533998,256
912.741379,856,403.102998,198
762.493868,784,404.653999,127
439.677019,473,405.000998,102
623.76639,628,405.437999,137
1196.096259,1093,407.152998,246
728.446636,717,407.642998,144
744.382741,725,409.115998,154
247.430261,319,409.391998,66
1039.775419,965,410.032998,215
1464.578089,1356,411.897998,251
1844.082712,1707,413.979998,280
537.341189,564,414.379999,114
598.610414,624,414.813,121
697.004986,692,416.276,150
289.396205,376,416.650998,55
1043.732611,974,417.302998,215
1829.158616,1722,419.434001,242
713.351202,705,419.926997,150
210.024265,297,421.143001,54
-1922.751093,2459,423.667998,252
1750.04203,1619,425.705999,272
598.797022,638,426.166997,107
526.043818,557,426.562999,110
577.830637,615,426.993998,111
431.58914,471,428.330998,97
376.084163,426,428.649998,88
2044.783712,1907,430.827999,282
1424.055427,1358,431.699,208
1120.572631,1071,433.416,187
1162.281649,1118,435.106997,189
