#{"t_start": 1707334145.9283414, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-46.6,263,0.247999,0
284.0,1118,0.978999,3
-22.0,170,1.147001,6
237.0,989,2.809001,28
-29.8,118,2.942998,14
36.9,277,3.172,19
22.4,284,3.408998,25
186.3,621,3.84,24
82.4,281,5.041998,23
23.4,237,5.265,21
102.9,386,5.557998,24
-8.8,156,5.716,15
205.0,474,6.060001,69
4.1,189,6.235001,27
13.0,171,6.400001,16
-19.2,149,6.550998,14
68.7,311,7.790998,29
-62.0,60,7.904999,3
69.2,205,8.097999,3
-29.8,100,8.221998,10
-29.4,100,8.344998,11
382.2,653,8.813998,72
170.6,366,9.096998,56
-54.2,83,9.209999,6
-13.4,125,9.346999,14
-39.8,94,9.465999,8
153.4,379,10.753999,56
-39.4,69,10.867002,2
-51.4,59,10.965999,2
170.2,390,11.262,48
-52.7,63,11.364999,4
-53.0,57,11.461999,2
-9.0,104,11.586001,9
33.3,165,11.748001,6
19.1,162,11.908998,18
-31.8,110,12.036999,14
-49.5,61,12.135998,3
353.1,580,12.565998,26
-61.6,59,12.664998,3
36.4,182,13.841998,18
34.6,171,14.017999,21
222.2,420,14.329999,46
2.8,146,14.479999,3
291.0,527,14.856998,97
298.2,504,15.218999,67
27.4,183,16.368,20
-49.2,59,16.48,2
-45.0,62,16.588999,2
42.0,176,16.759999,24
-57.9,59,16.857998,3
336.5,564,17.254998,36
25.2,156,17.412998,8
92.9,254,17.626998,3
-51.4,62,17.728,3
-52.2,51,17.825,2
193.8,397,18.125999,51
-54.4,55,18.222999,2
-41.6,81,19.314999,5
-50.7,65,19.426999,4
-52.0,62,19.532999,3
360.0,613,19.960999,78
1.2,142,20.109999,16
-52.8,61,20.212999,3
-52.0,65,20.317999,5
-52.7,61,20.421,4
-49.8,62,20.522999,2
-52.4,59,20.624001,3
-17.0,118,20.758999,15
-42.9,91,20.877999,7
-42.1,71,20.982999,5
67.6,224,21.177999,28
144.8,321,21.428998,43
-45.2,61,22.501,2
162.8,352,22.797999,29
308.7,535,23.182999,62
-49.8,61,23.283,3
199.9,418,23.591999,84
-28.2,93,23.711,5
-60.2,69,23.815999,4
-49.6,61,23.913998,4
-50.1,74,24.020999,4
-56.9,58,24.118998,2
-45.8,75,24.228001,4
-56.6,56,24.324001,2
-54.0,57,24.421999,3
-51.6,63,24.522998,3
76.6,237,25.734,25
111.6,255,25.962001,4
121.4,269,26.182001,45
-51.0,63,26.283001,3
-39.5,73,26.390002,3
-48.9,63,26.489998,2
268.6,468,26.830001,71
264.3,477,27.173998,47
97.6,221,28.350998,29
80.4,240,28.58,26
462.9,719,29.071,142
566.1,833,29.620001,134
-51.2,63,29.719999,3
-41.3,78,29.829,5
-55.5,52,29.922999,2
-51.6,56,30.996999,2
-26.2,116,31.147001,5
-14.5,98,31.275998,8
124.0,262,31.495,28
-51.2,54,31.590999,2
0.6,119,31.724999,11
55.3,200,31.905999,29
-47.4,72,32.012999,4
-53.0,51,32.108998,2
36.5,157,32.263999,17
-49.3,61,32.363998,4
460.0,743,32.869999,131
-60.0,52,32.965,2
45.6,161,34.124999,22
41.9,150,34.294003,16
60.2,197,34.478998,5
-44.0,59,34.579,1
-48.0,53,34.674,1
-10.1,94,34.794,7
-52.0,53,34.888999,2
154.9,345,35.159998,42
163.3,307,35.405998,37
8.2,128,35.546001,13
181.6,330,35.803998,47
159.7,305,37.017001,12
-46.8,67,37.135999,5
178.3,347,37.407999,41
-49.4,69,37.510998,4
53.4,193,37.688998,1
-48.2,59,37.787998,2
-45.0,58,37.885998,2
-45.5,68,37.987999,4
-49.0,57,38.086999,2
-45.0,65,38.189999,2
-3.2,115,38.319999,10
-11.1,100,38.442999,9
26.8,149,38.592998,16
-47.6,60,38.692999,3
9.7,126,38.831999,13
-48.2,60,38.931998,2
-51.6,60,39.031998,2
-46.8,65,39.133,5
-50.0,55,39.229999,1
-9.8,113,39.359998,11
242.4,466,40.725001,72
-51.4,66,40.828999,3
-47.2,70,40.933998,4
-12.9,141,41.081999,6
56.2,200,41.265,5
-38.3,80,41.375998,7
-50.5,59,41.475998,1
224.9,405,41.779999,39
-47.5,74,41.889001,5
164.7,358,42.166001,34
-49.7,79,42.276999,4
10.4,135,43.408001,16
-21.9,124,43.571001,7
272.8,522,43.947998,90
-29.0,108,44.075998,2
-60.5,74,44.186002,6
26.4,155,44.340999,14
208.3,439,44.663999,57
-48.4,64,44.767999,2
-54.0,63,44.868999,4
-60.0,83,44.983999,6
113.7,308,45.232001,15
-44.0,72,45.339998,3
-55.8,56,46.392999,2
-48.4,76,46.522999,4
128.8,311,46.782998,6
-30.7,105,46.911001,11
-47.8,98,47.032999,11
-56.3,56,47.130001,2
-45.0,85,47.245998,6
-6.7,139,47.393,4
