#{"t_start": 1707865996.6739159, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-46.6,263,0.680001,0
284.0,1118,1.434,3
-22.0,170,1.601,6
237.0,989,3.255,28
-29.8,118,3.390002,14
36.9,277,3.624,19
22.4,284,3.863,25
186.3,621,4.309001,24
82.4,281,5.556,23
23.4,237,5.793002,21
102.9,386,6.099,24
-8.8,156,6.26,15
205.0,474,6.611,69
-17.5,163,6.776,23
-54.3,54,6.875,2
-2.0,145,7.026,12
191.7,489,8.397001,35
49.4,197,8.603,12
-49.8,74,8.714,5
-56.5,59,8.819,2
20.6,165,8.987093,21
358.2,619,9.432501,84
-54.2,64,9.538501,5
-50.2,65,9.645502,3
-39.4,77,9.759501,5
291.2,610,10.199501,75
113.3,299,11.586951,47
102.0,288,11.832952,46
-58.2,59,11.93295,3
-48.6,65,12.035952,3
42.6,182,12.209952,8
353.6,594,12.628951,70
380.0,615,14.05195,104
-11.2,121,14.204953,13
-52.6,61,14.308951,3
24.0,157,14.469017,18
-51.7,61,14.571362,4
31.3,164,14.743361,4
-48.8,75,14.854361,6
694.8,1085,15.579362,166
-51.4,62,15.682364,3
-44.5,86,15.798364,8
33.1,165,16.989362,18
-54.8,61,17.108362,2
-44.2,66,17.226364,3
-43.2,67,17.331362,3
-30.0,94,17.453363,10
-48.5,64,17.557363,3
341.6,563,17.962362,117
-56.0,52,18.058362,2
-52.1,61,18.159361,2
-61.1,51,18.256362,2
-42.4,74,18.367362,5
-54.1,54,18.465362,2
62.7,195,18.646362,27
-43.0,78,18.757361,7
-47.0,58,18.860361,1
-52.2,55,18.959364,1
-51.6,72,19.069362,3
29.6,184,19.244364,28
28.0,146,19.396362,15
-49.2,62,20.513362,3
-51.2,61,20.641362,4
-49.2,60,20.756362,2
-50.3,63,20.862363,2
72.6,199,21.067362,29
-52.1,66,21.180363,4
-43.0,72,21.298361,3
702.3,1006,21.970362,142
211.8,369,22.256362,64
-45.6,67,22.361362,3
106.9,232,23.572362,39
23.8,165,23.744364,10
477.1,696,24.232362,88
-52.3,55,24.329362,2
16.8,131,24.473362,12
-53.0,61,24.575363,2
-56.6,57,24.676362,2
183.8,338,24.946363,1
-54.4,58,25.048362,3
265.7,442,26.366362,74
26.9,134,26.528362,12
-7.3,107,26.659362,11
-52.0,56,26.758364,2
130.9,256,26.979361,35
79.4,218,27.175363,33
218.0,390,27.477362,64
-5.4,107,27.608362,9
-50.0,55,27.706361,2
-45.8,64,27.809362,3
43.0,169,27.975362,18
-47.4,67,28.080362,4
158.0,294,28.331362,55
-50.0,54,29.437365,1
-49.1,59,29.549362,3
444.9,699,30.044363,124
-53.0,59,30.145364,2
-53.1,55,30.243361,3
-53.2,63,30.346362,4
-47.8,68,30.452363,2
-56.0,54,30.549362,2
-53.0,55,30.648361,2
-52.2,56,30.747362,2
-47.8,64,30.855362,4
-53.0,52,30.951362,2
-53.0,54,31.049362,2
-47.6,62,31.151362,2
-53.6,64,31.255362,3
75.5,196,31.441362,26
-50.2,67,31.547362,2
17.0,135,31.692362,12
188.5,366,33.029364,54
-53.2,58,33.137362,2
324.6,510,33.521364,91
38.8,183,33.699362,20
112.7,236,33.910362,26
27.2,171,34.078363,20
-51.4,61,34.182362,3
-8.6,110,34.314363,6
-25.4,104,34.443362,10
-48.0,64,34.547362,3
-52.4,56,34.647363,3
-55.1,53,34.745362,2
-49.4,61,34.847362,3
-55.6,62,34.950362,4
23.9,143,36.123934,16
-49.4,60,36.242933,3
-50.4,59,36.352932,3
-52.0,59,36.455934,2
-51.0,52,36.551933,2
-54.2,71,36.659933,4
-45.2,71,36.768933,3
256.0,442,37.104009,12
34.4,204,37.322008,15
-50.2,58,37.426008,2
-43.8,64,37.533008,2
-51.2,59,37.637008,4
-42.4,68,37.74501,3
-47.6,72,37.85601,4
27.4,147,38.012008,15
-51.0,67,38.119008,4
23.6,144,38.27501,15
11.6,132,38.423008,12
456.0,727,39.977008,125
165.2,373,40.27401,88
-38.5,76,40.387009,4
152.1,316,40.650008,26
-48.6,63,40.754008,3
-45.4,62,40.860008,3
42.3,170,41.030008,22
24.1,155,41.195008,16
-51.4,63,41.300009,2
-42.0,69,41.408007,3
477.6,819,43.167008,117
1.8,135,43.31701,11
-47.7,80,43.43201,4
53.0,185,43.610008,14
-55.4,69,43.71701,3
-48.2,71,43.82601,5
723.3,1097,45.68873,170
-35.9,82,45.807729,4
-55.2,50,45.903728,2
375.8,610,46.334729,102
451.6,693,46.834729,104
326.2,576,48.446727,81
-47.4,61,48.559728,2
-41.9,66,48.665728,4
-49.5,64,48.769728,2
259.4,457,49.112728,37
72.6,209,49.301728,35
222.4,366,49.586728,4
-39.1,74,49.695729,3
-47.3,60,49.795729,2
399.4,590,51.229727,114
-46.4,65,51.348729,3
-49.0,65,51.45373,3
-45.4,61,51.554728,2
189.6,328,51.823728,33
194.8,359,52.102728,65
-41.0,75,52.211728,5
160.8,340,52.482729,19
-36.6,77,52.594728,3
-45.5,66,52.698727,3
