#{"t_start": 1707889052.476341, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
109.4,529,0.401998,12
-14.0,287,0.637998,22
-5.0,300,0.881998,5
208.6,998,2.517998,27
-26.2,133,2.685998,11
-46.2,79,2.797998,4
-29.4,143,2.945997,8
19.0,214,3.135998,29
265.9,665,3.587998,31
240.9,767,5.077998,55
-53.0,62,5.200998,2
349.8,672,5.674998,87
133.0,400,5.973998,36
48.2,214,6.164998,32
49.2,249,6.376998,41
-8.5,143,6.526998,15
436.1,900,8.137998,97
-40.8,74,8.245998,4
-51.0,58,8.345998,3
-49.0,59,8.445998,2
-45.4,80,8.556998,5
-53.6,60,8.663998,2
-41.6,80,8.775998,4
-50.8,63,8.879,2
-48.7,85,8.992998,5
532.0,990,10.655998,131
-48.0,59,10.767998,1
-37.5,92,10.889997,6
7.8,155,11.045998,16
-54.4,56,11.143998,3
381.4,705,11.623998,70
-42.3,89,11.740998,7
250.3,540,12.125,79
-42.9,88,12.240997,6
-18.4,141,12.388997,18
1251.5,1798,14.533998,223
46.0,214,14.728998,13
-44.3,77,15.837003,4
-44.6,71,15.951998,4
-64.7,60,16.059998,2
540.0,834,16.629998,103
-43.0,89,16.749998,8
-27.4,124,16.889,12
161.3,353,17.162998,65
3.0,158,17.321998,20
13.6,159,17.479998,5
-34.1,97,17.601998,8
778.6,1127,19.343998,176
355.8,621,19.771997,114
260.7,475,21.075998,53
-45.3,73,21.201998,3
79.6,249,21.415998,31
-35.4,88,21.530998,5
230.8,447,21.857998,53
223.2,412,22.167998,66
-54.0,58,22.266998,2
25.4,154,22.423,19
10.2,147,22.573998,20
336.6,536,23.960998,99
161.0,344,24.239998,54
77.6,251,24.453998,18
185.1,369,24.735998,58
-52.6,68,24.839998,4
655.4,949,26.443,128
11.6,172,26.619,20
153.3,361,26.897998,66
510.3,781,27.417998,168
549.4,820,29.002998,91
-47.4,86,29.125002,7
-41.9,78,29.237998,5
103.2,278,29.467998,17
-54.6,66,29.570997,3
-47.6,80,29.682998,4
70.2,233,29.883998,29
-21.7,111,30.013998,9
-45.0,71,30.119998,3
-26.3,101,30.243998,8
188.0,389,30.537998,72
-52.6,67,30.641998,3
425.3,711,32.133997,84
-26.2,123,32.270998,8
128.6,330,32.528998,53
-50.0,69,32.634998,4
-42.4,88,32.751998,6
13.0,164,32.912998,23
-41.0,85,33.028998,4
166.5,340,33.293998,55
13.0,169,33.458998,18
-57.4,68,33.562998,4
309.0,538,34.931998,74
180.2,395,35.228998,57
94.8,267,35.450998,15
-24.4,115,35.582998,10
221.8,448,35.909998,68
372.0,600,37.303998,98
434.8,703,37.797998,75
-47.4,64,37.901999,3
273.6,545,38.289998,88
254.4,466,38.629998,84
248.2,501,40.012998,64
746.4,1126,40.737997,149
245.6,536,42.093998,69
562.8,857,42.682998,127
268.2,464,43.022998,76
296.4,518,43.391998,98
596.4,979,45.052998,119
486.4,794,45.582998,116
521.0,838,47.144998,122
130.5,308,47.391998,60
245.4,458,47.724998,60
371.9,613,48.148998,105
396.2,573,49.524998,119
355.6,640,49.972998,114
440.7,705,50.454998,119
196.4,351,50.726998,67
242.2,458,52.086998,58
364.5,586,52.499998,70
26.8,172,52.664999,14
190.2,352,52.936998,68
262.2,498,53.295001,93
1241.7,1627,55.321998,218
598.4,949,56.949998,144
437.9,665,57.407998,97
920.2,1242,59.200999,168
393.0,659,59.653998,92
603.8,855,60.220998,141
1037.5,1503,62.199998,193
608.5,1093,63.906998,164
50.3,201,64.092998,25
364.6,700,64.569998,122
1000.0,1416,66.508997,170
698.8,1085,67.211998,152
1213.4,1790,69.351998,182
1287.3,1799,71.445998,197
609.3,922,73.051999,185
115.2,271,73.303998,11
861.1,1438,74.216998,189
1084.2,1595,76.189998,205
761.3,1202,77.950998,208
76.4,201,78.135,33
871.4,1324,78.977,169
141.4,295,80.207998,46
1308.3,1947,82.450002,184
491.5,717,82.947998,154
101.9,259,83.167001,4
866.9,1394,85.038998,229
852.2,1279,85.852998,185
318.6,537,87.200998,100
161.9,321,87.462998,9
-32.0,92,87.582998,7
-38.0,110,87.711998,8
1079.2,1439,89.629998,230
750.4,1083,90.345998,193
870.4,1346,92.197999,176
8.2,151,92.353997,14
-56.8,63,92.455998,3
942.2,1379,94.332998,236
-45.0,80,94.468998,4
1062.8,1674,95.519998,256
797.6,1111,97.239998,190
1235.1,1810,99.393998,256
606.9,796,99.928998,144
1098.4,1692,102.006998,248
371.0,650,102.455998,123
596.2,920,104.098,149
1554.6,2277,106.483997,237
1379.4,1969,108.722001,258
479.1,767,109.238998,121
353.0,685,110.673997,126
455.6,729,111.184998,121
1539.0,2313,113.648998,271
1743.8,2458,116.166998,287
1529.5,1926,118.423998,301
1521.7,1917,120.662998,301
110.1,248,120.873997,27
-39.4,87,120.990998,5
601.3,773,122.480998,105
1367.2,2149,124.827998,244
1183.0,1630,126.832998,250
1074.0,1475,127.786998,220
1075.9,1365,129.691998,233
1257.1,1582,131.684998,271
1623.4,1923,133.868998,241
1553.6,1816,135.986998,301
831.8,1147,136.767998,202
1601.3,2072,139.062998,287
1615.7,2055,141.378998,272
1669.6,2163,143.756998,237
1191.2,1617,145.765999,251
1530.8,1967,147.988998,256
1658.8,2129,150.311997,253
1343.3,1807,152.448998,297
2228.3,2768,155.158998,301
-25.3,100,155.282997,6
1214.1,1595,157.318998,245
783.6,1059,158.996998,155
1201.4,1559,160.019997,248
1140.3,1494,161.983998,198
1623.9,2030,164.195999,301
822.0,1154,165.911998,157
957.6,1313,166.774997,199
1077.1,1323,168.642998,203
988.8,1330,169.496998,204
866.2,1051,171.230998,160
2170.6,2538,173.830998,301
2250.0,4195,178.415998,294
1750.4,2059,180.716998,301
1131.0,1574,182.713998,174
1032.5,1522,184.695997,58
1181.6,1419,186.614998,246
1678.7,2172,188.975998,301
1820.6,2230,191.391998,301
1910.8,2278,193.774998,301
2657.9,3130,196.692998,262
1803.6,2128,199.030998,301
1348.7,2183,201.426,186
1523.1,2295,204.854998,146
1086.2,1514,205.846998,227
1821.2,2217,208.243998,270
2133.2,2385,211.738998,301
1260.9,2227,214.166998,172
2158.0,2608,216.797998,267
1784.9,2135,219.157999,260
1507.8,2411,221.649998,189
2069.4,2560,224.238998,231
1116.0,1917,226.452998,111
1229.0,1854,228.649999,105
2059.7,2582,231.263998,301
2300.9,2646,234.938998,301
2622.9,3075,237.859998,301
1523.0,2338,240.303999,183
2616.0,2804,244.024998,301
2086.4,2298,246.442997,301
1800.8,1904,248.629997,301
2772.9,3029,251.528998,301
2130.9,2199,253.918998,301
2043.2,2308,256.386998,158
750.8,921,258.006998,124
722.8,917,258.615998,151
697.4,931,260.220998,149
2028.6,2223,262.646998,154
1668.6,1984,264.888999,239
2175.4,2435,267.410998,301
934.4,1154,269.156997,182
1308.6,1610,270.181998,214
1815.8,2034,272.460997,231
1288.4,1648,274.499998,237
1793.8,2131,276.852998,189
2628.8,3007,280.771998,264
1270.6,1479,281.712998,208
1405.1,1899,283.926998,136
2511.3,2907,287.720998,301
2156.8,2254,290.107998,301
2058.1,2337,292.546998,301
1888.1,2175,294.914998,170
463.8,615,295.341998,94
-24.6,93,295.461998,5
154.4,332,296.722998,9
1841.6,2324,299.196998,230
1810.8,2447,301.723998,225
2231.1,2574,304.313998,290
368.1,559,304.706998,7
2312.7,2720,308.456,274
835.5,1068,309.153998,92
2711.7,3156,313.140998,211
922.9,1076,313.844998,141
1019.9,1186,315.607998,163
-13.6,99,315.731998,6
2330.1,2524,318.357997,301
1767.5,1908,320.636998,211
1824.9,2003,322.917998,301
2408.6,2665,325.565998,301
2351.2,3154,329.544998,207
2902.9,3126,333.518998,244
2305.5,2477,336.103998,301
2262.8,2592,338.728998,301
2185.3,2579,341.341998,301
2295.1,2892,345.137998,283
1406.3,2223,347.543998,166
3067.2,3463,350.684998,273
2120.5,2362,354.126998,301
2384.5,2880,356.905998,292
1787.9,2017,359.169998,273
2123.7,2295,361.589997,301
2351.2,2611,364.207,301
1518.9,2258,366.596998,148
517.7,676,368.064998,102
2351.5,2803,370.809998,168
1961.8,2158,373.183998,176
2629.8,2798,376.935999,301
2468.7,2682,379.613997,301
2662.7,2817,382.340998,301
2968.9,3308,386.369998,276
1895.9,2096,388.692998,255
1802.4,2003,390.973998,231
1179.2,1437,392.881998,157
934.4,1082,393.600998,151
2784.3,2885,397.423998,301
1543.5,1803,398.583998,169
3101.0,3219,402.591998,301
817.9,956,403.225998,135
2541.3,2893,407.049998,248
2136.5,2433,409.590997,283
1447.9,1773,411.726998,195
4102.4,5189,416.958998,264
1866.4,2240,420.355999,177
2342.7,2739,423.117998,301
2041.3,2306,425.543998,260
2232.9,2428,428.038998,301
2350.2,2567,430.603997,200
1684.8,2026,432.894998,182
2446.2,2613,436.510998,301
2140.8,2348,438.960998,301
1255.8,1381,440.811998,170
2270.9,2409,443.354998,145
852.6,1002,444.014998,121
1307.4,1824,446.185998,98
342.5,454,446.520998,72
1231.5,2226,448.943998,184
1342.1,2334,452.430998,196
2372.8,2552,455.028998,301
3192.6,3449,458.196998,270
1772.4,1930,460.397998,252
2230.1,2549,463.969999,241
2818.5,2994,466.817998,285
2683.8,3397,470.979998,283
1349.1,1484,472.923997,216
2220.2,2361,475.399998,301
588.5,708,475.883998,110
1401.7,1536,477.885999,235
223.1,332,478.150999,51
2064.4,2182,480.477998,164
1713.4,1886,482.681998,138
1271.9,1627,484.718998,161
1982.5,2318,487.162998,285
2494.5,2800,489.876998,301
2533.0,3079,493.767998,282
2165.9,2354,496.203998,301
1742.2,2009,498.462997,233
2040.9,2366,500.943998,293
2905.2,3134,504.861998,301
2275.0,2363,507.374998,301
658.9,792,507.917998,113
3309.5,3982,512.395998,264
253.2,364,512.676998,41
1843.7,2159,514.996998,224
2207.5,2444,517.507998,301
2857.7,3399,521.635997,294
369.1,517,522.010998,91
1920.2,2199,524.437998,247
571.2,740,525.966998,130
1800.4,2018,528.246998,256
2776.2,3143,531.206998,271
1778.1,2156,533.560998,152
1924.0,2282,536.038976,161
1143.5,1596,538.067544,74
479.6,714,539.583545,30
214.8,336,539.853544,42
-33.6,74,539.962547,3
1830.3,2148,542.307544,176
367.0,479,542.662544,63
1777.8,2033,544.927544,238
751.5,885,545.519544,122
522.7,645,546.946544,76
468.0,604,547.373544,74
1812.5,2105,549.651544,250
2031.9,2492,552.230545,301
1785.3,2142,554.611544,211
3192.7,3991,559.109545,272
3311.1,3624,563.370545,301
3747.5,4389,568.140545,294
1322.9,1594,570.150544,185
-44.2,61,570.252544,2
-36.4,70,570.361544,3
-21.5,92,570.481544,4
-42.3,63,570.584544,2
14.1,127,570.725544,10
-36.2,67,570.831544,3
9.3,133,570.976544,9
266.4,381,572.230545,7
-39.2,68,572.348545,2
-48.0,56,572.453544,2
2768.4,3143,575.629544,297
-46.3,57,575.728544,2
-45.4,60,575.828544,2
-42.0,65,575.932544,2
370.1,496,576.293544,6
1166.2,1657,578.316544,160
2185.6,2530,580.894544,280
304.9,431,582.215544,69
400.5,523,582.597544,8
270.3,396,582.901544,49
-24.4,99,583.025544,7
709.8,865,584.598544,134
-38.5,82,584.715544,4
-41.8,71,584.823544,3
361.0,492,585.186544,73
2240.7,2526,587.772544,301
3369.5,3792,592.111545,301
1938.3,2110,594.462544,301
1243.1,1504,596.409545,216
1609.0,2072,598.695544,170
1968.0,2377,601.153545,251
2622.3,3084,604.034545,287
3161.7,3555,608.255544,247
1780.1,1941,610.517544,140
1007.1,1157,612.284546,174
1549.4,1877,614.454544,217
1919.0,2256,616.898545,282
641.6,799,617.442545,111
562.9,694,617.922545,96
2200.2,2449,621.463544,301
2006.9,2385,624.037544,280
2220.5,2444,626.590544,301
1196.3,1389,628.488545,186
1095.1,1276,629.315544,203
2311.9,2506,632.885545,301
215.8,333,633.163546,8
310.4,437,633.491544,6
419.0,539,633.880545,69
2075.4,2387,636.352545,301
2255.9,2583,639.959544,301
1251.6,1473,640.913544,199
2053.1,2280,643.353544,301
349.7,502,644.728545,8
2719.5,2966,647.578544,301
679.7,865,649.158544,127
2231.4,2536,651.780544,239
1688.6,2053,654.088545,169
412.7,523,654.469544,70
2739.2,2894,657.226544,301
2869.6,3442,661.363544,251
-29.0,75,661.476546,3
213.7,336,661.744545,41
2571.7,2849,665.527544,282
415.9,543,665.918544,4
1758.7,1967,668.207544,187
1811.2,2147,670.564545,266
-44.0,60,670.665544,2
-27.5,92,670.785546,6
-46.2,62,670.888545,3
-36.5,71,670.996545,3
-32.3,74,671.104545,3
-37.4,69,671.211545,2
-38.0,66,671.315544,2
-44.0,60,671.416544,2
-9.6,103,671.542545,5
-28.7,81,671.654544,3
-44.2,61,671.755544,2
-34.1,76,671.866544,3
-35.0,68,671.972544,2
-41.3,67,673.038544,3
-33.0,69,673.162545,2
-42.0,62,673.279547,3
-43.0,61,673.381544,2
-42.1,62,673.483544,2
-46.0,55,673.581544,1
-26.4,86,673.696547,4
-33.2,73,673.804544,3
-43.0,61,673.905545,2
-39.1,63,674.009544,2
-30.1,73,674.117544,2
311.1,427,674.439544,8
266.0,379,674.732544,66
-30.1,72,674.840544,2
-49.3,56,674.939544,2
-48.4,57,675.039544,2
-34.0,75,675.148544,3
191.9,302,675.392547,3
-45.2,60,676.461545,2
-44.4,66,676.578544,3
-35.5,74,676.696544,3
-33.3,72,676.805544,2
30.6,149,676.960544,16
-26.8,93,677.083544,6
296.3,412,677.396544,58
196.1,314,677.649544,10
-25.8,83,677.764544,3
14.6,127,677.906544,11
89.0,195,678.086544,16
-28.4,78,678.197544,3
1078.6,1201,679.966544,10
653.7,770,680.491544,3
85.4,207,680.680544,18
-42.3,70,680.786544,3
-33.6,75,680.896544,4
417.7,538,682.302544,8
328.8,444,682.636544,8
232.9,363,682.919544,53
-24.0,81,683.033544,3
-26.3,84,683.150544,4
105.6,215,683.344545,3
1992.3,2124,685.689544,301
13.6,139,685.838544,12
-11.7,101,685.963546,5
-29.9,82,687.047545,4
32.3,156,687.222544,13
1807.3,2181,689.581544,170
2241.2,2646,692.220544,301
2930.3,3404,696.362547,300
2067.6,2621,698.992544,238
359.3,488,699.348544,89
1318.8,1542,701.328544,211
1533.4,2104,703.610544,298
-39.2,66,703.715544,2
3203.2,3564,707.961544,294
1818.6,2072,710.294544,189
664.9,908,710.902544,146
1183.0,1733,713.007545,101
0.4,116,713.141549,7
2301.6,2749,715.882544,301
1009.3,1289,717.713544,177
1571.3,1716,719.816544,301
1858.2,2113,722.157544,301
1831.9,2058,724.474544,301
1839.0,2222,726.882544,301
2257.8,2552,729.484545,301
147.6,278,729.715544,34
2282.5,2591,733.293545,301
1965.4,2377,735.816544,301
1124.9,1511,737.786546,222
1286.1,1574,738.833545,205
2760.2,3379,742.942544,301
1592.1,2154,745.303547,182
-22.3,90,745.422544,4
1979.1,2158,747.795544,301
2110.2,2257,750.224545,301
2230.5,2569,752.827544,301
1763.2,2116,755.174545,301
2084.8,2619,758.842544,301
1935.3,2332,761.294545,301
1294.5,1534,763.298545,225
2570.4,3180,766.231544,280
2454.1,3146,770.217545,301
2249.7,2452,772.764544,301
1823.0,2136,775.096545,301
2897.5,3134,778.042544,301
2216.0,2466,781.572544,301
2987.6,3316,784.691545,247
1648.9,1895,786.938544,183
123.2,260,787.159544,3
2892.7,3203,791.134544,301
2477.0,2701,793.851544,301
1576.3,2145,796.201545,161
145.8,284,796.436545,7
-28.6,93,796.557544,4
1940.9,2333,800.021544,256
1917.5,2157,802.369545,250
2214.7,2546,804.929544,301
1933.8,2872,807.694544,223
1178.1,1910,809.928545,160
2618.7,2814,813.688544,301
1709.5,2197,816.071546,175
1933.0,2286,818.492544,227
1652.7,2176,820.848544,188
2349.7,3286,823.922544,259
2059.8,2578,827.589544,272
781.0,905,828.197545,150
1337.1,1796,830.354544,130
2428.3,2598,832.997545,301
664.9,807,834.522544,116
1578.8,2002,836.810544,130
2297.3,2585,839.446546,301
2488.1,2671,842.144545,200
2909.5,3278,846.193545,301
693.9,831,846.758544,6
264.7,380,847.050544,4
3.3,122,848.139543,9
-18.7,89,848.277545,5
-31.3,75,848.392544,3
1500.9,1915,850.607547,128
-23.5,85,850.750544,3
3528.8,4022,855.243544,296
3313.7,3613,858.533545,301
1788.1,2096,860.855545,188
615.9,846,862.429544,126
2953.7,3393,865.541544,250
2366.9,2623,869.218544,301
356.9,464,869.563544,3
1290.1,1936,871.809544,134
1813.3,2945,874.661544,209
-48.5,61,874.763544,2
185.4,316,875.022544,32
2754.3,2936,878.841544,301
1625.4,1979,881.091544,266
3088.1,3539,885.328544,220
2569.0,2746,888.070544,301
1599.5,1894,890.277545,187
2041.1,2396,892.781544,292
2593.3,2779,895.516546,301
2462.1,3027,899.447544,232
2555.5,2661,902.126544,301
2532.5,3297,906.201547,220
-37.9,75,906.313544,3
105.5,224,906.514546,3
908.6,1073,907.224544,123
-37.3,72,907.332544,3
155.8,282,908.531545,15
2773.4,3020,911.386544,301
3125.5,3484,915.620544,245
2061.3,2362,918.136544,183
201.5,316,918.393544,5
36.1,152,918.548544,14
1261.5,1514,920.497546,199
-33.5,76,920.608545,4
2504.2,2951,923.426544,185
2752.3,2901,927.294544,301
103.1,223,927.497544,4
2629.0,2874,930.389544,200
1176.2,1399,932.297545,174
2241.1,2535,934.912545,301
2916.3,3098,938.845544,250
2668.7,2964,941.713544,291
2461.4,2580,944.337544,301
45.2,182,945.491544,11
-38.8,81,945.630544,5
-47.9,67,945.737545,3
-11.9,125,945.879544,11
-46.7,63,945.983544,3
3.1,115,946.118544,12
152.7,273,946.352544,16
-17.5,101,946.480544,7
-42.6,78,946.592544,4
2423.5,2908,949.380544,301
2793.6,3011,953.285544,209
86.6,221,953.485544,36
2224.2,2605,956.119544,288
2172.6,2425,958.671545,217
-46.5,73,958.781547,4
2475.5,2747,962.503544,301
2656.2,2852,965.303544,301
2446.4,2652,968.896545,301
1332.6,1849,970.106545,141
1987.5,2538,973.667544,301
2134.8,2308,976.107544,272
2156.5,2539,978.711544,198
131.9,278,978.945544,36
1389.9,2065,981.227544,152
2067.9,2454,983.760545,277
2198.7,2655,987.464545,226
2106.6,2410,989.989545,301
2112.9,2409,992.518545,301
2546.8,3284,996.570545,295
2234.6,2493,999.163544,301
2333.5,2694,1001.840544,301
166.6,302,1002.087544,42
2050.3,2262,1004.482544,301
971.9,1244,1006.297544,197
2390.8,2994,1009.156544,288
2647.3,3100,1013.091544,254
1602.1,1832,1015.287544,301
123.8,253,1015.509544,39
1685.3,1996,1017.833544,175
1312.4,1589,1019.845544,251
423.9,777,1020.373544,146
2215.2,2428,1022.931544,301
2133.4,2405,1025.462544,301
2413.9,3037,1029.339544,251
1920.3,3965,1033.843544,174
2085.6,2969,1036.720544,244
2138.2,2516,1040.298547,231
123.0,254,1040.524544,42
2170.5,2639,1043.192544,282
235.4,437,1043.520544,66
2713.8,3078,1047.464544,266
553.2,740,1047.980544,119
2640.5,3528,1052.161545,282
391.8,596,1052.583544,109
2095.0,2367,1055.082544,301
2205.3,2660,1058.737546,301
573.1,748,1059.262547,135
1692.2,1939,1061.474544,176
683.5,1002,1062.143544,176
1812.5,2449,1065.710544,185
1252.8,1486,1066.694544,214
2009.0,2356,1069.203545,299
1863.6,2206,1072.597545,181
2401.9,2901,1075.423544,301
218.4,334,1075.695544,66
1311.0,1711,1077.746544,213
1622.2,2645,1080.405545,216
2577.4,2773,1084.075545,301
2576.0,3014,1086.970544,301
2603.7,3109,1090.920544,247
1886.6,2386,1093.465544,166
248.6,412,1093.779544,77
2528.2,2865,1096.569544,301
250.9,391,1097.818545,58
2247.8,2748,1100.551544,283
2234.1,2490,1103.153544,301
1472.6,1727,1105.290544,130
382.0,550,1105.686544,97
1801.4,2120,1108.029545,254
2507.1,2723,1111.681544,301
1930.2,2165,1114.040545,301
1836.4,2063,1116.322544,260
1762.9,2130,1118.661544,280
2886.2,3368,1121.806544,289
-52.5,78,1121.920544,5
614.0,943,1123.547544,182
-39.2,92,1123.669544,5
1670.8,2918,1126.492544,259
2531.8,2798,1130.239545,301
-11.8,152,1130.398544,16
1597.6,2033,1132.684545,171
821.7,1939,1134.928545,149
