#{"t_start": 1707886765.446501, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
62.2,428,0.339996,7
71.0,427,0.653996,12
197.8,1048,1.339996,56
52.9,363,2.607996,12
61.6,346,2.883996,13
-59.0,55,2.980996,3
43.5,291,3.215996,23
332.6,832,3.768996,59
-59.2,65,3.871996,3
10.8,217,4.063996,13
-46.8,68,5.161996,4
106.0,345,5.459996,36
-48.0,74,5.567996,3
292.0,710,6.052996,57
-47.4,75,6.161997,3
224.2,596,6.576996,28
523.4,991,8.240995,100
-47.0,71,8.346996,4
278.4,611,8.768996,75
44.3,233,8.969996,26
263.2,499,10.328996,9
-28.6,106,10.461996,9
25.6,212,10.650995,14
-53.8,64,10.752996,3
-45.8,73,10.860996,4
-49.8,64,10.963996,3
-50.6,66,11.065996,5
-24.7,97,11.186996,8
-48.2,68,11.291996,3
63.2,218,11.483999,29
-45.8,68,11.587999,3
-40.7,75,11.695996,2
-56.6,61,11.795998,3
-55.0,52,11.889996,2
-39.6,110,12.017996,9
-45.2,77,12.127996,5
163.4,346,12.397996,6
141.1,348,13.671996,66
-51.0,62,13.777996,3
-14.2,127,13.916996,9
-53.2,62,14.017996,2
-47.2,73,14.124997,4
-52.4,65,14.228996,3
66.8,263,14.447996,41
64.6,251,14.658996,34
-55.4,64,14.760996,3
-46.9,83,14.873998,6
-41.2,80,14.986996,5
371.6,667,15.440997,93
146.0,333,16.698996,51
59.8,234,16.902997,13
50.4,193,17.080996,31
-16.9,118,17.214996,6
33.8,180,17.382997,28
-37.4,87,17.498997,7
-53.6,62,17.598996,2
-46.6,66,17.701996,3
26.2,170,17.865998,7
-40.4,81,17.977996,5
-50.6,60,18.077996,4
-49.0,64,18.179996,2
-48.8,67,18.283996,3
-57.4,73,18.390996,5
72.9,247,18.601996,37
-48.6,84,19.670997,7
-47.0,75,19.795997,5
-23.5,139,19.953996,12
-44.6,66,20.057997,4
110.2,294,20.295996,4
-56.2,82,20.408996,6
-43.0,83,20.521996,6
70.2,227,20.720998,25
-48.8,67,20.824996,3
133.5,339,21.088998,46
11.2,175,21.254999,17
84.2,261,21.472996,22
202.9,421,22.793996,29
124.6,302,23.044997,34
-51.4,56,23.143996,2
134.2,311,23.390996,53
-51.2,71,23.497996,5
-54.0,60,23.595996,3
142.4,334,23.856996,33
-39.9,95,23.977997,9
-46.2,81,24.088996,3
156.6,435,24.407996,70
-46.4,73,24.514996,5
26.2,159,25.668996,5
-51.0,61,25.781996,2
249.8,498,26.138996,86
124.0,323,26.390997,56
-47.4,72,26.497996,5
427.0,764,27.011996,82
600.9,970,28.617996,123
-52.6,62,28.719996,2
-56.0,61,28.819997,3
107.4,290,29.056996,31
75.6,245,29.265996,30
-50.2,60,29.364996,2
16.0,139,29.510996,16
-52.2,62,29.611996,3
32.3,216,29.802996,23
256.8,512,31.162997,50
-51.4,72,31.269997,5
-49.0,87,31.385997,6
470.6,801,31.921996,108
271.4,558,32.313996,69
95.8,307,33.557996,43
82.6,253,33.787996,24
4.4,143,33.937996,15
-48.8,97,34.059996,8
77.6,262,34.277996,23
-49.2,77,34.386996,5
157.8,366,34.669996,61
-47.8,79,34.780996,6
-19.9,121,34.916996,11
46.0,233,35.120996,28
-17.8,122,35.257997,13
276.9,506,36.637996,80
366.1,695,37.117996,113
167.8,381,37.405996,77
797.0,1197,39.172997,205
79.0,259,39.391996,37
-40.6,91,39.509996,7
340.0,639,39.948996,58
199.6,400,40.249996,74
165.6,351,41.545996,58
379.8,655,42.002997,85
414.0,665,42.460996,108
57.2,222,42.656996,27
3.4,174,42.824997,24
-51.4,60,43.905996,3
214.3,425,44.261996,74
-29.7,83,44.375996,4
128.3,300,44.617996,13
-39.0,75,44.725996,3
535.0,797,45.258996,89
217.3,399,46.533996,71
188.0,351,46.842996,58
-29.2,83,46.958996,5
427.8,654,47.407996,117
-45.2,75,47.516997,4
-24.8,122,47.652996,13
261.3,449,47.984997,79
723.2,1045,49.699996,156
45.2,211,49.889996,22
261.4,517,50.256996,73
369.4,600,51.636996,119
312.1,499,52.018996,88
202.4,437,52.341996,63
249.8,473,52.682997,85
356.6,595,54.084996,98
454.9,755,54.620996,125
406.4,682,55.088996,112
330.7,569,55.488995,81
436.4,818,57.024997,98
355.0,563,57.419996,115
289.6,494,57.775998,87
-42.8,87,57.891996,5
504.6,783,59.439996,109
580.2,897,60.035996,129
402.1,644,61.492996,110
455.4,715,61.990998,90
444.4,727,62.484997,133
376.3,579,63.881999,87
312.2,530,64.279996,94
776.4,1071,64.973997,197
437.6,640,66.422996,109
350.6,542,66.811996,98
420.0,637,67.252996,108
308.1,538,67.632997,97
603.0,801,69.183996,138
481.4,681,69.650996,98
532.2,748,71.180996,115
562.2,786,71.726996,141
436.8,619,72.156996,106
532.0,699,73.609996,135
384.0,579,74.019996,113
364.1,583,74.428996,90
354.8,508,74.803996,72
284.0,432,76.159996,62
413.2,685,76.627996,92
519.8,721,77.117996,130
398.5,671,78.609997,131
755.0,956,79.239996,141
390.2,551,79.628996,125
370.7,549,81.017996,84
256.9,391,81.314996,61
138.8,284,81.546997,7
514.4,791,82.078996,102
723.2,1202,83.842996,134
498.2,765,84.359996,114
511.2,770,85.878996,132
650.6,870,86.458996,124
466.6,763,87.952997,86
881.6,1278,88.797996,167
1173.3,1618,90.828996,224
723.2,983,91.472999,168
555.0,776,93.007996,111
802.6,1193,93.779996,162
623.8,800,95.305996,144
873.3,1285,96.129996,187
266.8,409,97.465996,59
299.2,431,97.800996,58
300.6,445,98.127996,63
1003.6,1558,100.120996,137
386.5,525,100.497998,84
774.6,1211,102.265997,166
751.5,976,102.916996,141
1076.4,1695,105.015996,204
682.7,1026,105.688996,138
87.7,225,106.894996,17
788.6,1114,107.645996,175
766.4,1031,109.313996,149
943.6,1274,110.140996,211
301.1,528,110.517996,81
755.8,1004,112.173996,115
539.4,784,112.700996,123
792.7,1143,114.457996,144
800.6,1056,115.142996,184
1144.0,2031,117.395996,240
-31.0,73,117.503997,3
388.4,545,118.884996,13
621.6,926,119.497996,151
1072.4,1476,121.454996,213
704.2,932,122.069996,178
625.6,872,123.669996,152
683.8,1009,124.333996,170
512.0,743,125.837996,121
909.4,1315,126.684996,168
696.3,985,128.352996,149
1383.3,1977,130.595996,258
576.8,794,131.133997,120
489.2,662,131.590999,110
865.8,1245,133.404996,189
1421.2,1976,135.629996,218
787.0,1093,137.316996,204
1707.8,2230,139.734996,288
8.4,114,139.879996,6
1337.2,1800,141.987996,263
1160.2,1470,142.934996,242
270.0,407,143.239996,71
780.3,978,144.857996,173
804.2,1138,145.594997,196
1503.2,1952,147.827996,266
983.6,1266,149.659996,230
726.3,938,151.237996,175
1606.8,1987,152.490998,301
252.6,368,153.766996,57
1933.8,2348,156.222996,280
1157.6,1359,157.087998,211
2163.2,2538,160.713996,223
260.0,377,161.004996,55
623.9,804,161.543996,72
1743.6,2039,163.812996,301
907.4,1325,165.640996,224
221.4,355,165.917996,62
1534.8,1831,168.057996,301
437.6,599,168.474996,103
1794.0,2507,172.075997,291
346.2,474,172.445998,81
1917.7,2320,174.943996,301
1882.6,2648,177.568996,172
1229.4,1592,179.566996,217
1002.4,1300,181.410996,226
143.6,274,181.643996,51
539.4,685,182.114996,95
1170.6,1460,184.034996,270
1078.6,1421,184.934996,204
2264.9,3153,188.863996,244
1181.4,1485,190.823996,248
543.4,673,191.284996,93
1377.6,1681,193.368996,282
1075.6,1342,195.168996,175
232.6,354,195.465997,58
473.6,600,195.885996,105
934.4,1168,197.613997,216
1614.4,1918,199.777996,301
1068.8,1286,200.630996,188
2293.6,2665,203.303996,250
634.8,798,204.866996,134
218.6,335,205.134996,57
1314.0,1608,207.158996,254
1249.0,1623,209.165997,247
1729.0,2217,211.552996,283
1321.8,1918,213.725999,293
1572.2,1884,215.911998,301
1980.1,3193,218.880999,299
244.6,370,219.165996,67
