#{"t_start": 1706296483.968381, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-205.0,771,1.412002,14
-135.0,171,1.988,3
-179.0,337,2.663,2
-111.0,111,3.182,4
-260.0,1014,5.322,23
-141.0,823,6.277,110
-103.5,461,7.009001,49
-104.5,219,7.604001,28
-95.5,347,9.292999,18
-73.5,480,10.043,59
-34.0,702,10.914,68
-70.5,221,11.499,33
-81.0,65,11.997,3
-49.5,707,13.889999,111
-95.5,70,14.402,3
-47.0,281,15.048,44
-86.0,194,15.713,17
-85.5,64,16.223,3
-83.0,85,16.731001,6
-82.0,129,17.275,4
-1.5,499,18.051001,102
-88.5,84,18.559,5
-78.0,71,19.058001,4
-84.0,64,19.561,4
-84.5,107,20.077,12
-78.5,67,20.568001,3
-87.0,76,22.081999,4
-65.0,585,22.926001,21
-89.5,71,23.433,4
-81.0,65,23.935,3
-94.0,70,24.432,4
-84.5,78,24.935,4
-39.0,382,25.615,47
-10.5,356,26.29,73
-25.5,276,26.911,34
-89.5,94,27.440001,9
-93.5,74,29.045,4
43.5,492,29.841002,78
-89.5,54,30.336001,2
-57.0,188,30.970219,12
51.5,461,31.70617,120
-89.0,63,32.216171,2
-92.5,60,32.72617,4
-93.0,61,33.23617,4
-88.5,70,33.75517,3
-90.5,90,34.283172,9
-78.5,83,34.809171,5
-82.0,69,35.324173,2
-87.5,63,35.83717,3
-92.0,105,36.37517,10
-77.0,250,38.033809,5
-90.0,68,38.55881,4
-84.5,62,39.065809,2
-48.5,152,39.61881,16
-82.0,59,40.120812,3
-76.5,66,40.615811,3
-72.0,121,41.15281,12
-77.0,64,41.64381,3
-45.5,226,42.24381,28
-74.0,85,42.76381,4
-85.5,58,43.25881,2
-45.5,171,43.822809,11
-78.0,62,44.31881,3
-81.0,57,44.81381,3
-44.5,278,45.43881,20
-84.5,68,45.93581,4
-78.0,54,46.42281,2
-79.5,53,46.90881,2
-33.5,205,47.47881,30
-32.0,208,49.043809,14
-85.0,70,49.54981,4
-91.0,61,50.032809,3
-84.5,73,50.539809,5
81.5,539,51.308812,93
45.0,380,51.998811,90
60.5,469,52.738811,72
-84.5,68,53.230809,4
-71.0,161,53.78581,12
99.5,485,55.53881,93
95.5,584,56.39181,65
-69.0,61,56.890809,2
36.0,299,57.529812,48
41.5,339,58.187809,56
177.0,570,59.99581,97
-5.5,177,60.56981,25
-32.0,121,61.09781,13
7.5,169,61.65781,18
-67.5,79,62.16181,2
11.0,195,62.724811,24
-64.0,79,63.22981,5
68.0,334,63.87981,76
72.5,283,64.502811,40
-48.0,153,65.05481,12
-70.0,64,65.54181,2
31.5,340,67.14881,1
-67.0,88,67.675809,8
22.0,210,68.248812,22
-69.0,60,68.73781,3
-63.5,69,69.230812,3
-65.0,72,69.73381,5
-36.5,99,70.25481,9
-42.5,125,70.79381,12
-74.0,62,71.28281,4
-68.5,57,71.77481,1
-24.0,154,72.32481,18
-72.0,61,72.822811,2
-75.5,57,73.316809,3
-65.0,60,73.81281,3
-33.5,110,74.337809,11
-66.5,56,74.820811,2
-66.5,61,75.31981,3
2.0,189,75.88381,22
-66.0,74,76.39081,2
50.0,263,78.019809,33
-66.0,53,78.51681,2
-67.5,66,79.01781,4
-64.0,72,79.52081,4
85.0,288,80.15581,44
-67.0,58,80.65181,3
-64.0,55,81.13981,1
-61.5,69,81.64581,3
-66.5,52,82.13781,2
-71.0,59,82.630811,2
-75.0,64,83.13181,5
76.5,296,83.76681,36
-64.0,59,84.31381,3
266.5,568,85.10181,104
59.5,254,86.674811,35
88.5,259,87.30981,36
-62.0,81,87.80881,9
-31.0,94,88.32181,7
-62.0,74,88.820809,4
-69.5,53,89.308811,1
-45.0,105,89.82681,10
-68.5,61,90.326809,3
232.5,454,91.04581,85
84.0,249,91.64881,38
35.0,187,92.22281,23
-72.0,56,92.71981,2
-61.5,64,93.21281,3
-63.5,54,93.70681,1
0.0,122,94.241809,12
-21.5,145,95.762809,17
-62.0,60,96.280811,4
30.5,166,96.837809,21
-63.0,51,97.321809,2
-2.5,123,97.845809,10
98.0,304,98.48181,49
-63.5,53,98.971809,1
31.5,180,99.539809,25
508.0,826,100.47981,109
25.5,167,101.044811,20
-70.0,51,101.53281,2
-64.0,53,102.979809,1
