#{"t_start": 1706385366.222493, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-128.0,663,1.019518,22
-31.0,346,1.792563,11
-104.5,379,2.573088,19
113.0,931,5.200175,1
104.0,612,6.128788,67
44.0,469,6.954836,42
29.5,485,7.794427,10
-45.0,85,8.351427,6
-70.0,87,8.907426,9
73.0,331,10.991027,31
62.5,383,11.757022,42
-58.0,63,12.695023,4
20.0,230,13.40255,8
54.0,225,14.083548,26
314.0,710,15.094549,66
365.0,672,17.394299,112
-56.0,65,17.93982,3
-60.0,59,18.47782,2
209.0,420,19.291847,82
-48.0,74,19.850819,5
16.0,163,20.482821,5
-39.5,86,21.055821,7
-25.0,119,21.66082,12
-38.0,118,22.27482,13
72.5,255,22.957386,49
184.5,461,25.127488,75
-57.0,72,25.683486,5
-14.5,161,26.328623,19
324.0,614,27.282342,110
-59.0,70,27.836345,4
59.0,240,28.520343,29
-35.0,93,29.091868,7
170.5,404,29.90239,47
-54.0,61,30.45139,3
-42.0,88,32.322099,8
-26.0,139,32.954101,7
-56.0,59,33.491628,2
44.0,202,34.134621,13
70.5,304,34.852622,11
297.0,609,35.788623,75
504.0,837,38.232754,150
94.0,255,38.916754,35
-55.0,62,39.467757,3
-59.0,59,40.017755,3
-54.5,67,40.558271,2
-57.0,62,41.129272,3
667.0,1164,42.870449,2
-46.0,80,43.42907,5
53.0,214,45.381112,21
-19.0,113,45.995115,12
-15.5,110,46.579113,9
343.0,546,47.459114,101
-54.0,75,48.016115,4
6.0,175,48.645114,10
95.0,283,49.332113,5
-54.0,61,49.872113,3
345.5,537,50.754113,90
189.0,374,52.853334,45
-55.5,57,53.405333,2
-51.0,54,53.956334,2
-56.0,66,54.520334,3
-65.0,62,55.077331,3
-56.0,56,55.635333,2
-53.0,67,56.212335,3
32.5,192,56.893332,14
-55.0,56,57.456335,2
-47.0,69,58.015854,4
80.0,236,58.714377,20
-58.0,65,59.28238,4
-56.0,67,59.850376,4
65.0,254,60.549376,3
-55.5,58,61.108963,3
205.0,414,63.243086,34
83.0,222,63.943625,39
146.0,325,64.707193,17
-8.0,109,65.306195,10
133.0,308,66.049196,59
-54.0,57,66.600197,3
-57.5,57,67.14673,2
107.0,276,67.85525,41
-52.0,56,68.410248,2
-53.0,65,68.962836,5
69.5,252,69.64836,47
62.0,200,70.305407,25
85.5,222,72.281406,36
-63.0,58,72.861406,2
110.5,300,73.582406,46
-52.0,58,74.129407,1
-54.5,65,74.690929,2
-47.0,63,75.251452,3
356.5,584,76.16397,106
-42.0,71,76.727017,4
240.0,408,77.532014,75
-54.0,62,78.088017,3
717.5,1201,81.267186,1
-49.0,65,81.830186,3
38.0,201,82.489186,1
89.0,231,83.146709,34
113.0,298,83.857709,25
15.0,139,84.45623,14
16.0,152,85.068229,17
-51.0,58,86.906883,2
-51.0,59,87.473884,3
5.0,119,88.064884,11
10.0,137,88.657402,12
83.5,220,89.300922,27
-45.0,60,89.841447,2
-47.0,64,90.415446,2
43.0,192,91.102157,21
-57.0,61,91.675867,3
-37.0,86,92.296914,6
124.5,263,93.013433,42
-9.0,136,93.610012,5
-48.0,67,94.166069,5
-52.0,60,94.729067,2
