#{"t_start": 1706047808.1456761, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1645.823659,1001,1.105002,0
-1673.49017,1001,2.167204,0
-1622.318775,1001,4.31678,0
-1625.758128,1001,5.393781,0
-1518.768532,1001,7.51778,0
-1573.397143,1001,8.58278,0
-1472.757262,1001,10.65178,0
-1380.497259,1001,11.71678,0
-973.44172,1001,13.804781,1
-1367.129135,1001,14.876297,0
-1003.623462,1021,17.044889,1
-186.229719,1001,18.099891,5
143.553808,1001,20.180976,7
139.732509,1001,21.242899,8
188.938229,1003,23.270803,9
508.566999,1050,24.356802,11
507.042529,1005,26.418802,10
564.449443,1001,27.499318,12
579.846978,1001,29.656316,13
554.260093,1025,30.744165,13
745.602624,1001,32.962547,18
839.515146,1052,34.096447,19
840.374166,1012,36.412508,20
961.544611,1075,37.536509,23
1131.921041,1210,39.93227,29
1227.496428,1282,42.144863,29
994.229517,1039,43.242671,27
1112.075223,1153,45.506251,26
923.475296,1008,46.584034,23
978.995942,1029,48.683055,26
930.843183,1001,49.770468,25
1604.736492,1646,52.311664,42
984.5539,1027,53.405683,29
995.471362,1100,55.619083,32
3006.184278,3037,59.019731,84
2492.157772,2507,63.095739,72
2972.259208,2958,66.403399,88
2742.227928,2728,69.588303,85
3481.119003,3808,74.616772,112
2146.767826,2201,77.39543,78
3691.451181,3630,82.193074,133
5075.400698,5009,88.890166,184
6083.987431,7195,96.855273,261
6120.439745,6161,104.339642,237
4249.572009,4159,109.366475,187
4311.909066,4201,114.591148,188
3838.771536,3718,119.400061,191
8667.195035,8350,129.147752,391
6332.599363,6318,136.558758,337
6830.706615,6558,144.024085,343
10259.358344,10559,157.092485,549
8534.578582,8685,166.960906,470
10224.530893,11032,179.690863,568
7540.989094,7663,188.760879,422
7509.9722,8468,198.595757,465
6634.244538,7340,207.739754,421
7879.411407,9407,217.911754,515
13230.529765,12761,232.041526,692
10261.321785,10351,243.861526,586
10491.95939,10130,255.422062,616
5931.565251,6998,264.232063,412
7783.441227,9499,275.545124,548
2555.603176,2630,278.729687,192
8691.553572,9479,289.346289,575
6475.737426,8034,298.784685,497
8925.171387,9520,310.272375,581
4173.951492,4403,315.394966,305
5821.260253,6618,322.718237,420
3787.931185,3882,327.44781,269
8012.23315,10017,338.856811,598
11115.488695,12622,353.170524,767
6516.386828,6364,360.545834,451
4265.605553,4110,365.491673,321
12467.834877,13894,381.550982,900
5954.562073,7619,390.671403,505
8659.325595,8684,400.312577,591
5195.672877,7156,409.028577,445
7169.083472,6945,416.678084,490
9759.739845,11556,429.946084,693
7063.878892,8456,439.420083,567
4156.048325,4084,444.307665,329
11799.300758,11285,456.565663,808
4132.208851,3966,461.506665,331
6672.646868,6512,468.935545,511
8187.853016,9361,480.298987,665
2738.2692,2661,483.375803,243
7369.808799,7042,492.044357,563
6736.814283,7340,499.968843,574
6776.900834,6967,508.809047,540
5477.29762,5198,514.287046,445
5786.20891,5467,521.263129,485
6439.298999,6213,528.59013,508
4255.807646,5423,535.272132,416
6300.281374,5968,542.331127,497
6947.547031,6888,550.010128,543
6468.208526,6307,557.31113,506
5902.411085,5602,564.144129,464
1969.814227,2210,566.914129,172
