#{"t_start": 1705523480.8680549, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-5926.584042,1746,1.993,4
-114.949219,402,3.792,41
-4859.921363,710,4.711999,13
241.320015,374,5.404,36
187.385238,1374,7.746,90
-428.107629,512,8.53,15
-155.674389,374,9.224999,11
158.73609,360,9.915,41
193.152297,1005,11.972001,72
139.389797,273,12.613,24
1083.457622,1167,14.842,125
371.171474,580,15.68,53
533.970033,604,16.510999,85
701.99353,730,17.426002,122
1081.648199,1160,19.648001,124
271.454455,377,20.345002,53
1239.120189,1182,22.587,200
-41.913936,106,23.118,10
312.743558,420,23.844,57
-27.790772,112,24.374,11
504.182345,562,25.183,110
384.880345,477,26.968,65
-11.19576,132,27.518,18
-17.597395,136,28.069,15
891.596496,985,29.130003,123
489.8044,916,31.176,132
1084.804358,1041,32.267,197
-69.4932,82,32.779,4
922.926976,973,34.853,121
502.773234,558,35.65,99
-82.370174,75,36.167,5
152.565452,262,36.803,48
932.037788,934,38.88,159
-59.012924,81,39.403,6
-46.612394,103,39.931,9
797.191367,784,40.861,169
74.022927,283,41.502,27
106.866797,238,42.118,23
312.314349,409,43.82,85
-57.691674,94,44.355,6
-37.979108,99,44.884,9
-24.269314,127,45.427999,14
500.353995,553,46.229,105
641.112327,676,47.104,130
525.725682,569,48.946,116
752.815945,832,49.913,154
285.885326,369,50.61,73
439.624753,508,51.387,114
581.107456,621,53.316001,124
616.202074,660,54.200001,119
380.614741,436,54.954952,90
218.413219,333,55.63495,45
127.971592,249,57.317949,41
-109.454228,101,57.87495,2
765.425674,790,58.834951,140
-85.069243,67,59.349951,4
346.33481,481,60.11495,92
211.270964,324,60.76995,57
429.173663,490,62.61195,103
310.129217,386,63.32495,81
686.647941,699,64.21595,151
267.368534,362,64.91095,69
-81.887041,77,65.42395,5
625.534926,653,67.372988,133
333.306522,412,68.102987,84
-62.164063,79,68.620987,7
749.611486,770,69.543987,142
262.958415,361,70.232987,72
763.697949,754,72.200987,168
1113.657609,1092,73.338987,197
793.099203,806,75.320987,150
691.942373,706,76.209987,143
712.648917,723,77.109987,147
611.64888,683,79.049987,119
179.888792,306,79.705987,60
999.499776,1006,80.783987,153
950.291304,938,82.860989,163
394.689192,443,83.593987,107
438.405463,576,84.410987,128
-912.690303,378,86.220988,3
620.975581,630,87.073987,155
728.61217,747,87.988993,145
