#{"t_start": 1714082265.502474, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
-1001.78289,920,2.229,1,11
-235.356825,369,3.093001,2,3
76.589001,306,3.873,11,1
-111.583114,111,4.422002,1,1
-731.745109,768,7.177002,2,7
73.367827,415,8.127026,12,3
-2876.215331,774,9.875039,16,0
-3118.558627,843,12.921121,6,1
-1055.066172,1201,16.129872,29,4
-586.116955,709,18.762875,3,7
-385.851171,591,20.095881,16,4
-2962.143796,1045,22.668941,18,5
116.691088,224,24.345944,20,2
-253.362287,203,25.014928,0,1
-208.907516,267,25.73944,3,2
-329.881603,482,26.83895,13,3
-51.399334,435,27.810469,13,3
-244.237446,540,29.037469,17,4
85.276051,915,32.208468,57,3
-62.810495,165,32.806466,8,1
7.517433,134,33.368468,6,1
63.211088,370,34.257467,25,3
-3852.656263,1039,37.816568,25,7
-18.119036,111,38.357569,10,1
-5770.34939,1201,41.545582,10,10
-69.078139,123,42.170581,5,1
-307.18766,220,43.921583,1,0
-303.744284,300,44.711596,2,0
381.346995,1240,48.059905,33,15
4.453033,221,48.744889,3,1
-809.68177,682,51.35549,2,10
-169.425735,120,51.943501,0,1
10.432115,369,52.819521,21,3
-45.581987,214,53.476523,2,1
-3661.079974,1201,57.650847,6,15
234.468628,361,58.512844,17,1
-68.880826,63,59.031848,3,0
-29.470217,95,59.564847,8,0
-177.57656,376,60.452845,5,4
44.278605,271,61.179847,10,1
-2238.410724,1201,65.513929,3,16
-222.276341,194,66.158966,0,1
-479.23084,288,66.912015,2,3
-584.621775,488,68.011012,1,5
-102.626592,276,68.75491,11,1
-449.18736,556,71.029948,9,1
-946.324198,723,72.680522,5,9
-1938.621883,771,74.457207,33,5
-7652.086418,1398,79.472591,25,12
-405.387279,330,80.284756,5,1
-259.110813,693,82.829278,12,6
157.294144,260,83.546277,29,1
-1158.862491,766,85.310795,8,7
690.327172,968,88.640797,67,6
-450.120027,427,89.672795,3,2
161.074133,509,90.807797,28,2
-35.785181,92,91.351798,7,0
223.567488,312,92.138568,48,1
266.452861,449,93.154164,34,1
-35.074677,92,94.719217,7,0
396.207969,577,96.00524,57,2
48.974341,178,96.625241,21,0
528.05914,629,98.018249,64,1
434.833562,555,99.241764,79,5
225.964226,397,101.18128,28,4
-11.057887,103,101.718279,7,1
554.077731,601,103.033279,88,1
-55.360795,77,103.54728,4,0
745.204858,788,105.351278,104,0
-62.52371,118,105.90329,4,1
44.457863,156,107.505286,21,2
-49.722986,77,108.038299,6,0
16.560994,142,108.619301,8,0
15.79544,141,109.199303,14,1
1738.647688,1549,114.956086,320,17
-71.409974,60,115.480086,3,0
591.15718,1280,118.996085,192,9
271.431898,850,122.00416,74,7
2262.768047,2037,130.434984,371,16
84.876438,199,131.079994,26,3
-36.980755,93,131.60401,8,0
-63.779585,66,132.114007,3,0
961.597923,867,134.124961,229,9
87.974846,214,134.789808,18,0
-68.914769,63,135.311804,3,0
177.713315,271,136.067955,40,2
-75.431364,54,136.579957,2,0
-64.513831,65,137.094918,4,0
-50.862618,78,138.655879,5,0
-67.473507,63,139.188746,2,0
331.167704,396,140.13092,76,2
8.182268,125,140.697867,16,1
80.596872,205,141.350869,12,1
937.936611,940,143.623822,193,7
47.786073,499,145.844869,41,4
7.960242,183,146.471869,20,1
10.940958,142,147.052388,7,0
-462.029776,368,147.92039,3,2
314.016135,466,148.960391,25,1
603.001964,605,150.309388,141,5
144.912803,260,152.042391,24,2
-49.135015,83,152.574389,7,0
681.685417,658,154.034401,156,5
41.44324,171,154.647403,12,1
-46.817723,82,155.17595,3,0
624.83944,659,156.632485,103,5
627.770278,687,159.18454,76,2
100.634783,220,159.857549,17,1
1304.22765,1158,162.852707,275,15
718.255589,686,165.415314,165,4
265.900986,364,166.315314,44,1
-51.119602,83,166.850827,7,0
788.196261,755,168.543869,166,6
1151.421765,1031,172.133932,253,7
-37.244082,92,172.649946,6,0
-23.577167,103,173.185948,9,0
354.064988,424,174.153954,67,1
-76.957693,109,174.702971,2,1
629.099203,662,177.160015,120,4
662.502778,651,178.60823,151,5
311.604907,410,179.550228,42,2
222.753294,322,180.362783,39,1
604.884954,619,182.726473,129,1
890.372565,821,184.622544,208,7
-60.11003,132,185.190577,5,1
569.352508,617,186.555575,89,3
472.789061,517,188.713584,89,5
634.605239,668,190.213593,103,1
724.60794,705,191.806867,150,4
-44.636804,84,192.335868,6,0
1171.51714,1159,196.37428,199,11
860.934284,840,198.317292,159,5
1317.013128,1174,202.414862,277,15
636.276742,652,203.863873,123,6
730.045733,705,205.426393,160,8
887.894067,884,208.537392,143,7
1075.581629,1040,211.123393,172,5
145.48869,257,212.799404,27,0
673.758941,684,214.330435,113,4
900.825794,873,216.389132,196,5
-54.103159,80,216.915143,6,0
-55.703105,74,217.434143,3,0
1913.401133,1744,224.150874,316,18
554.985469,594,225.449872,102,1
1508.703855,1336,230.161564,311,11
1026.934307,970,233.509801,190,5
1563.822461,1364,237.349435,341,18
1163.825165,1035,240.925436,267,6
708.901452,678,242.43567,168,4
1246.485403,1114,246.297318,285,9
1212.241719,1080,249.020394,269,11
-72.490816,56,249.521392,2,0
-37.349253,92,250.051396,5,0
410.040596,447,251.070002,102,3
189.356043,300,252.847634,29,2
-5.814018,118,253.403633,14,0
43.484349,163,254.004633,15,2
1698.148491,1433,258.159634,402,17
772.074884,729,260.786647,184,3
138.484888,245,261.493645,27,2
736.490361,688,263.032651,188,6
1168.974278,1019,266.573167,299,8
1372.534181,1192,269.695169,312,11
1669.514488,1453,274.961758,351,19
1419.9303,1203,279.128324,353,20
2189.996019,1883,286.590892,445,27
902.328771,827,288.622184,214,8
1434.291313,1248,293.00291,331,12
1078.565622,953,295.289009,277,9
1404.056136,1228,299.612892,312,10
908.251459,819,301.497903,225,6
1234.253627,1089,305.279902,310,8
1253.448243,1080,308.001917,309,13
-61.793829,69,308.520917,3,0
-33.876059,94,309.054926,7,0
1640.455177,1348,313.842542,431,19
1752.802437,1507,319.37162,384,28
1707.277341,1452,323.609622,396,15
-46.66656,84,324.142875,6,0
-59.287359,151,324.730874,8,0
1713.344655,1487,330.213414,374,20
1427.364265,1236,334.55393,324,14
1942.083911,1667,340.823292,420,19
1511.784459,1323,344.497009,324,13
1155.529659,1012,348.025336,286,6
1779.560066,1534,352.653356,380,19
-32.867444,96,353.192377,7,0
2211.17794,1902,360.760683,446,21
1377.265287,1203,364.944683,327,14
2170.62826,1836,372.175261,468,24
3198.576378,2723,385.42887,630,42
1895.493414,1574,391.256884,463,22
1427.86383,1213,395.48996,353,16
569.729539,546,396.693521,166,2
1458.380774,1208,399.897402,387,15
2165.623655,2561,412.955729,579,43
1806.612932,1518,417.506279,414,22
2027.158884,1692,424.020331,477,26
3048.294712,2535,435.852353,645,36
2177.454541,1847,443.12248,464,27
1406.588614,1203,447.31248,353,13
2616.389284,2188,456.666063,564,37
441.612765,488,457.752578,92,5
680.923994,643,460.188578,178,4
802.977734,756,461.901577,186,9
3143.005262,2616,474.37975,660,41
2771.839152,2312,484.569034,605,35
2120.457621,1792,491.558449,465,20
1876.914823,1571,497.414649,443,18
2189.733214,1842,504.696255,484,23
2174.234333,1841,511.961462,477,25
1270.367143,1104,514.765473,307,9
1540.502851,1420,519.919599,327,10
271.828907,355,520.767641,55,2
2378.802169,2003,528.965962,517,25
857.32278,797,531.853015,201,4
1974.093061,1655,537.095582,459,19
2463.499164,2068,545.677243,533,33
1932.972493,1603,551.628758,461,22
1723.022115,1443,556.842209,405,19
854.654467,782,558.624234,216,6
586.182598,573,560.893173,139,5
3450.12522,2955,576.110662,633,43
2257.797547,1866,583.481512,530,29
1066.980539,931,585.704543,278,11
2174.217593,1810,592.748281,505,25
-59.655126,69,593.263277,4,0
1536.346299,1299,597.858279,377,14
498.214585,499,598.962286,132,4
1833.30995,1547,604.666447,432,17
870.59351,773,606.419443,238,7
3347.575533,2822,621.554621,662,48
-41.265893,87,622.079659,7,0
1217.032482,1048,624.673229,306,15
1607.171778,1350,629.448359,396,14
1724.035714,1452,634.681207,410,17
3250.977924,2805,648.652225,599,42
1422.354384,1198,652.891264,355,13
158.461282,254,653.602777,41,1
2510.052733,2482,665.026357,551,33
-55.254029,73,665.537358,5,0
1765.390089,1497,670.995616,402,17
1754.491049,1476,675.338364,414,21
3954.665616,3350,695.215048,744,48
1026.89888,923,697.430059,248,5
1608.073944,1396,702.458331,353,16
3596.94644,3097,719.946675,639,42
1765.258665,1471,724.32173,431,21
-36.616431,91,724.850741,7,0
2390.406699,2002,733.044383,527,28
3296.421243,2788,747.875035,642,44
3238.009574,2899,762.646623,613,42
2665.921146,2243,772.351229,559,33
299.519154,367,773.231228,65,3
2591.524084,2172,783.511134,560,28
2421.257423,2017,790.770205,538,28
3155.23546,2647,804.472842,647,46
2030.45278,1663,810.748136,508,21
1508.768099,1323,814.427192,320,11
2723.828545,2297,824.495304,568,35
572.434138,576,826.746319,132,3
-15.979747,133,827.304839,11,2
2387.35571,1995,835.435406,535,30
3437.203212,2959,850.644765,701,48
784.507088,732,852.288774,190,7
2787.682839,2334,863.642743,606,38
95.050142,215,864.30074,20,0
219.57369,296,865.057741,60,1
84.475028,193,865.67674,30,0
3716.948713,3162,883.77057,713,54
1942.24868,1621,888.808208,461,20
335.454465,388,889.708893,87,1
182.407429,284,891.455942,39,0
265.843208,373,892.336942,40,0
103.960846,224,893.000945,20,2
126.071486,236,893.682951,30,0
251.129115,360,894.558472,39,0
141.295508,253,895.281469,26,1
69.154413,178,895.905467,24,0
1208.13943,1095,899.707468,252,15
1630.474171,1365,904.571167,405,17
255.944239,344,905.403168,52,0
1267.44455,1091,908.155761,304,10
2653.604379,2256,918.033326,533,28
3897.789328,3233,936.807878,802,54
1820.084917,1505,942.323011,458,22
2046.239799,1701,948.792246,481,22
275.197258,351,949.648246,58,2
3328.772726,2822,963.725345,645,47
104.415046,221,964.390857,27,0
1757.20643,1484,969.762857,416,13
1970.359235,1648,975.959448,459,18
1383.138692,1167,979.000998,353,14
383.132897,425,980.993,96,5
637.459333,611,982.354998,162,5
1500.699512,1276,985.837007,359,13
3311.906342,2824,1000.973403,628,39
577.033746,568,1002.225917,147,4
2925.947614,2455,1013.450303,604,37
2158.851881,1813,1020.681443,483,27
298.158935,366,1021.561447,74,0
1533.31491,1305,1026.238443,364,14
1740.648632,1453,1031.514219,428,18
1900.214383,1595,1037.444341,444,21
1731.740261,1448,1041.687348,422,17
2570.781942,2154,1050.825763,554,33
