#{"t_start": 1706283823.3757694, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-571.104075,508,0.785997,16
-84.061488,172,1.352998,9
-484.430254,458,2.080997,28
-53.657893,164,2.635997,7
-82.849731,291,3.272996,12
-2544.682641,1201,5.473998,24
-67.090875,87,5.988996,6
-318.621022,660,6.843006,41
-769.828351,616,8.675008,9
437.288023,499,9.440007,93
-17.891518,121,9.963007,14
-0.0685,157,10.501006,10
-124.437609,865,11.460008,80
14.329615,671,13.290008,50
74.52545,451,14.022007,34
-363.362614,605,14.831006,17
294.266357,405,15.520015,42
144.171524,267,17.091016,35
-30.541749,517,17.864017,20
-19.377394,149,18.402016,10
904.60904,946,19.401016,147
-86.972139,64,19.897017,2
210.56344,342,20.554018,30
21.6473,276,22.169016,17
-78.745141,70,22.672029,4
-36.945197,103,23.187029,11
-84.247523,66,23.676031,4
349.723564,493,24.417031,60
463.660739,537,25.178028,86
157.780033,276,25.792032,35
-307.409872,747,27.688043,45
-64.997871,87,28.187043,7
260.165719,541,28.996043,63
43.93626,330,29.644042,16
452.843972,529,30.405044,83
-782.527992,789,32.339057,57
15.192647,156,32.885057,15
264.520042,405,33.579055,45
-61.386148,91,34.083055,7
-143.314869,276,34.698056,12
243.490956,374,35.368056,29
331.533945,427,37.065055,68
-19.873666,127,37.600057,9
525.453847,789,38.511058,52
590.438652,650,39.347056,94
930.937884,919,41.336055,166
671.209543,694,42.192053,139
436.608167,522,43.887567,78
363.542325,431,44.620567,88
142.226407,269,45.231567,31
238.94939,326,45.873567,67
350.611523,425,46.574568,85
456.386902,553,47.353568,73
254.190437,544,49.10257,77
171.382272,303,49.727567,29
343.336483,420,50.422567,88
227.172163,322,51.058581,56
-87.05358,64,51.548577,3
-20.871875,127,52.070579,12
-76.114745,71,52.566577,5
520.761303,566,54.354577,114
657.977388,691,55.220577,124
280.595723,452,55.941579,54
576.081167,617,57.739577,112
-6.022412,136,58.293579,16
672.389362,805,59.219578,122
893.18414,892,60.195577,151
233.498936,327,61.83658,62
243.637151,341,62.499577,68
250.146889,400,63.185577,47
-79.77908,73,63.678579,3
662.524057,661,64.511587,155
209.02258,612,66.298587,77
126.866871,377,66.992588,72
520.684757,606,67.798587,120
108.485258,239,68.392587,29
168.134704,280,69.013102,42
277.429406,717,70.857102,120
372.160401,437,71.572102,80
323.322583,392,72.355103,91
-44.569039,105,72.873116,6
31.496434,162,73.422115,19
-45.377104,98,73.938116,8
572.198527,629,75.788116,107
437.936781,537,76.572124,89
295.33502,385,77.252124,68
2.679388,146,77.790125,13
980.165223,1014,79.811125,146
83.696112,207,80.399134,26
807.437136,837,81.341133,135
139.516254,263,81.945134,39
-5.549503,151,82.487134,11
553.412472,593,84.281011,110
233.511782,501,85.036316,37
471.44449,527,85.799316,99
-64.74561,76,86.297317,5
548.299233,743,87.190316,145
311.920279,386,88.848347,84
-66.891581,553,89.620347,78
159.174465,257,90.223347,52
972.960946,973,92.215348,153
806.246686,813,93.155357,157
847.142312,821,94.091357,194
491.159485,540,95.851358,109
271.069538,356,96.522357,67
256.02365,360,97.187358,64
-85.825512,66,97.677357,3
361.504726,438,98.386358,79
912.490444,885,100.369356,198
586.571133,629,101.195357,115
-76.431075,70,101.690356,3
-91.390207,67,102.17936,4
297.943145,376,102.850358,81
525.137862,567,103.642358,122
589.154492,617,105.451356,140
353.019261,420,106.159358,93
959.009509,889,107.123359,230
307.263329,510,108.929358,92
383.556103,449,109.643356,98
501.945846,536,110.412369,124
-54.223708,99,110.926368,11
667.18539,682,112.761369,141
-57.365426,90,113.278369,8
491.795472,495,114.024369,120
53.249311,197,114.60137,11
969.758539,930,115.600368,191
435.903859,525,117.349369,76
364.422033,501,118.096369,73
411.409087,477,118.82837,91
992.246162,1007,120.863368,184
586.755249,611,121.687427,136
288.62639,394,122.379368,73
811.516663,829,123.314368,141
722.960127,731,125.218369,144
1289.489288,1205,126.37837,244
902.058694,869,128.341378,191
741.774644,726,129.226378,172
-75.434438,88,129.729399,8
835.773441,821,131.64338,186
1008.891397,953,132.657378,222
777.40346,763,133.560379,168
1468.290483,1934,136.110609,242
534.06517,556,137.865608,128
731.979767,717,138.737608,175
374.431291,449,139.453608,87
-49.445869,99,139.969606,9
424.048908,528,141.72561,96
795.584126,783,142.659606,183
1210.798112,1116,144.765606,253
689.095325,718,145.668607,136
1281.724451,1227,146.840607,252
1092.971107,1019,148.877607,249
778.120675,746,149.769608,179
965.211257,922,151.76464,223
905.527685,865,152.726639,211
1102.580461,1017,154.75264,244
1072.765826,989,155.789639,242
46.523814,174,156.34164,24
1382.630348,1260,158.531639,279
1132.412122,1053,159.607639,244
755.903816,729,161.49064,181
1151.165651,1127,162.611639,241
318.350367,384,163.289639,99
1340.201928,1212,165.439653,282
880.559422,838,166.389654,198
654.998923,678,168.269654,139
1374.06955,1241,169.446654,291
374.148786,461,171.156654,96
187.692997,298,171.787654,68
1129.184644,1249,172.970655,285
799.22445,776,174.852655,200
1374.220378,1245,176.035655,289
952.330919,852,177.976655,258
1016.645942,949,178.990656,234
1438.396401,1300,181.198653,313
1391.699551,1265,183.353654,283
718.777439,720,184.250653,179
676.904344,666,185.091653,179
1364.557002,1247,187.264653,290
1244.2307,1145,188.392671,276
625.970799,624,190.160672,163
950.201763,892,191.140671,216
1354.916329,1215,193.293671,303
2542.607547,2278,196.079736,422
1136.211619,1046,197.151736,254
1356.701951,1237,199.320761,296
1098.885655,992,200.355761,258
1716.008336,1542,202.721759,332
1745.907279,1555,205.076696,368
1008.673918,921,206.066696,258
1629.505702,1465,208.352696,324
699.608902,688,209.211706,182
825.330235,802,211.147706,198
1032.916105,954,212.158708,241
768.561235,741,214.03772,190
2068.028385,1830,216.531721,394
1778.394842,1560,217.91972,381
1110.253449,1000,219.963733,283
1925.038208,1688,222.389736,400
390.750083,449,223.119733,108
1009.918632,953,224.126733,229
1597.273087,1475,226.509735,308
1759.280503,1614,228.904762,318
735.190605,759,229.810762,167
1924.736957,1740,232.282763,375
1428.761527,1299,234.510763,289
2309.818874,2037,237.155763,429
460.207567,639,237.992764,144
2056.100528,1809,240.504762,409
1975.088483,1768,243.004763,369
1499.551843,1298,244.234762,359
1152.898226,1038,246.298781,279
1687.850356,1494,248.612781,354
1237.871009,1587,250.01478,341
1495.656244,1323,252.24678,339
2302.115451,2038,254.88878,414
1326.223342,1218,257.067791,276
1877.513215,1689,258.51979,378
755.990611,742,260.42679,179
1614.970787,1398,261.705811,379
908.629189,866,263.672811,192
464.130962,510,264.420811,126
1722.039578,1512,266.762812,366
1916.965472,1682,269.196814,399
1751.078464,1539,270.557811,376
1839.143957,1645,272.987825,365
1556.022409,1378,275.245824,370
1899.160253,1660,277.672823,397
524.261206,542,278.547825,151
2122.919961,1828,281.060835,451
1613.428492,1449,283.370835,320
1776.70447,1539,284.741835,410
1296.007063,1153,286.868835,307
-17.369417,144,287.413834,19
1621.731121,1418,289.687836,369
1436.496496,1306,290.908855,307
807.913776,774,292.799867,194
425.13046,478,293.533867,111
1790.592744,1574,295.906868,377
257.859358,354,296.571867,85
839.507031,805,297.497869,199
770.761979,731,299.354869,202
2303.859121,1982,301.933869,480
1889.005825,1671,303.373868,376
449.234135,496,305.094867,134
1455.782879,1273,306.305867,347
2082.448176,1784,308.762882,456
983.06888,913,310.787882,246
994.36129,925,311.807881,239
1337.870308,1176,313.995884,323
2214.159708,1965,316.577884,409
725.959745,701,317.463881,195
2108.592029,1797,319.957885,475
2220.635488,1918,322.525894,463
902.858988,853,323.486894,212
779.491941,761,325.337893,191
1956.278304,1671,326.798894,451
1606.941892,1425,329.082893,356
990.551819,909,330.070894,260
2203.494254,1944,332.662216,433
735.634411,734,334.532216,167
1760.62692,1600,336.876218,352
1688.82862,1512,338.236216,351
2231.510089,2756,342.289217,449
1910.653668,1742,343.771215,361
1770.913436,1543,346.095215,393
2614.009639,2591,349.047216,517
2530.329813,2445,352.933226,501
2002.820155,1766,355.415226,399
2095.672127,1815,356.943225,454
1828.572282,1591,359.321225,399
2357.585519,2057,361.955225,471
2284.919737,1992,364.586225,457
2438.38468,2133,367.284225,465
958.322725,870,369.264225,246
496.923596,516,370.022226,145
228.80631,328,370.662226,63
504.386954,532,371.427225,132
2534.999545,2528,375.317225,510
2908.522601,2526,378.250261,538
2539.635967,2252,381.066261,494
2641.076404,2316,383.852262,497
1257.898319,1118,385.937769,314
1092.390114,987,386.993768,267
1740.35358,1527,389.299769,379
557.382182,617,390.113769,126
2391.870004,2107,392.78577,461
1705.189552,1575,395.156769,354
2049.551304,1792,397.672769,419
1129.113511,1051,398.75177,242
1946.019946,1684,401.184768,442
2136.382416,1842,403.76277,450
2686.524214,2323,406.572355,541
2134.739988,1868,409.124611,425
787.098354,738,410.01461,215
2165.177352,1919,412.58761,408
655.387996,640,414.403613,185
1351.996328,1207,415.56561,302
889.596029,852,417.520611,210
305.561831,386,418.209613,85
468.598361,509,418.971612,124
494.983648,529,419.737611,130
2056.141932,1761,422.198613,445
773.591947,775,424.091632,181
1328.248759,1148,425.231633,338
1940.605205,1644,427.625631,456
1309.143213,1169,429.747631,302
569.467941,605,430.586632,161
1802.761831,1568,432.950633,411
2368.63406,2073,435.622631,473
1247.740719,1096,436.726631,318
2642.920404,2271,439.507631,540
1034.666478,924,441.515633,275
2277.529135,1958,444.137631,483
1165.034494,1079,445.228632,254
1072.839228,986,447.251631,257
1024.437349,959,448.266631,233
912.090302,864,450.201631,214
1259.250517,1155,451.349633,272
1964.189323,1712,453.801267,420
2818.168387,2405,456.680266,573
736.757838,698,457.546269,199
3557.764141,3081,461.777269,645
1492.898721,1324,464.002267,341
2285.738481,2030,466.635267,430
625.046361,654,467.480266,137
1594.181026,1404,469.760267,354
1544.747862,1403,471.043267,317
2822.607174,2473,474.923963,507
2094.606555,1877,476.502962,381
2898.473369,2527,480.431962,541
1395.31856,1255,481.626961,310
2786.45977,2423,484.494961,533
2720.983688,2359,488.33096,520
1164.886517,1040,489.404963,291
2386.87642,2283,492.217962,462
2599.341492,2267,494.98996,504
990.926383,909,496.96597,246
1544.876112,2435,499.842971,482
1321.018569,3231,504.217979,511
2410.231935,2919,507.412978,507
2253.787122,1945,510.016979,485
3155.283509,2793,513.110979,528
1991.092645,2040,515.768978,435
3213.542951,2876,519.928979,522
2936.411606,2522,522.903986,583
3178.801987,2776,525.977987,565
2224.086523,1928,528.546987,458
2519.889188,2487,531.420987,490
2290.7337,1999,534.047987,445
2022.458896,1763,536.568987,421
497.310117,546,538.315475,118
252.273951,351,538.998476,77
1985.472497,1760,541.475398,395
2108.774008,1828,543.025398,450
2438.368256,2188,546.70195,418
1734.288591,1839,548.257947,346
994.830805,968,550.26526,191
632.260247,673,551.117262,129
1930.153072,1684,553.574262,414
1998.222701,1821,556.101263,343
1637.14176,1465,558.415262,346
2254.977216,1971,561.020261,450
1972.246228,1715,562.495261,423
540.788984,587,564.29027,123
2156.483204,1887,566.84027,439
1025.996278,969,567.867296,227
1780.6432,1568,570.222295,383
958.507203,941,571.235296,185
551.444078,1218,573.381295,182
2551.131185,2210,576.142306,505
452.843354,497,576.894305,124
