#{"t_start": 1707503475.5287688, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-413.053255,529,0.454001,12
121.128483,287,0.704062,22
-319.576632,300,0.996063,5
-721.677672,998,2.997063,27
-46.89037,105,3.180063,6
-4074.509521,1201,4.025063,33
-2650.445332,1194,6.054065,16
-8604.059605,1201,7.007062,13
-504.89821,589,8.627063,12
-1602.07632,895,9.331137,29
-205.471496,326,9.613137,7
-396.431505,529,10.019196,23
-53.827925,114,11.392195,7
-8686.271388,1201,12.295195,13
-738.352958,426,12.677249,12
-5483.453462,2103,15.304248,64
-489.28374,1259,17.595304,57
-87.305678,62,17.703304,2
-146.712075,249,17.974305,7
-90.387923,59,18.081305,2
431.754794,501,18.462304,74
-495.629282,479,20.004305,7
-0.829313,111,20.165304,14
-88.679042,59,20.292304,2
31.308242,168,20.479305,16
-118.033603,205,20.676305,10
-95.512336,53,20.781304,1
64.42395,205,20.990305,19
878.122711,1145,23.090304,113
-82.87147,198,23.304305,15
-99.36434,50,23.406305,2
1218.474763,1774,25.787358,136
-155.32964,271,26.057356,10
-152.823181,126,26.230359,5
-42.328612,106,26.40036,7
253.766368,424,26.799356,54
42.933697,177,27.000356,17
-90.779636,57,27.125356,2
153.372621,317,27.392356,31
-65.742871,79,27.526356,5
-165.236941,158,27.764356,3
-3.771697,134,27.921356,14
-81.46549,63,29.181355,3
492.329154,586,29.672355,57
-408.751415,1914,32.320355,141
398.505908,466,32.694355,82
164.998512,275,32.948356,43
1742.103034,1884,35.451356,219
-90.633826,57,35.559356,2
-77.029397,65,35.669356,4
-62.97263,83,35.815356,5
-67.538475,79,35.933357,4
204.924725,322,36.202355,38
-77.338033,69,36.331355,5
-278.820087,857,38.199355,116
-67.089073,76,38.320355,5
176.094786,1282,39.256355,140
154.420345,261,40.676355,40
-83.93348,64,40.812355,4
-90.948347,65,40.939355,4
13.284477,149,41.124355,21
138.173117,264,41.377355,43
-19.989623,122,41.552357,11
-71.013292,80,41.681355,5
-88.247256,66,41.817355,3
-95.112035,55,41.944355,2
-66.357979,80,42.063355,5
-68.092289,78,42.180355,3
-0.392072,141,42.337355,14
499.141936,594,42.831356,81
-85.596865,69,42.942356,5
-78.994082,67,43.053356,4
194.544264,349,44.532355,48
-77.308673,76,44.677356,4
100.945524,237,44.928355,23
392.534622,518,45.359354,45
-902.473376,404,45.687355,13
-79.745047,76,45.804355,4
-87.07328,454,47.419355,17
-74.573607,78,47.567355,4
-80.918288,72,47.693356,4
-31.076992,115,47.834355,10
-7.263752,142,48.011355,12
504.228386,593,48.459355,72
-50.660556,98,48.589355,7
153.862508,307,48.867355,16
237.301813,348,49.154355,51
89.523668,541,50.773404,36
-284.681095,669,51.272404,46
173.232292,293,51.568404,37
143.769909,1300,53.738404,116
1333.372155,1469,54.756407,137
-69.980106,77,54.874404,6
-306.727946,1967,57.505405,118
556.797892,616,59.160468,101
-48.248819,103,59.307468,7
39.434244,188,59.499469,15
296.085754,382,59.821468,69
132.394728,269,60.069468,23
861.769124,904,62.002469,117
53.188046,338,62.318468,18
-57.208461,92,62.448471,5
-1240.926891,2397,65.341468,181
1068.160084,1304,67.549469,142
58.299018,437,67.907468,23
492.506685,711,68.466468,70
1066.761301,1086,70.404468,148
380.632347,469,70.795469,60
446.378648,618,71.255469,64
-52.347183,90,71.395469,9
114.567069,235,71.612469,41
920.643375,924,73.554468,144
796.742647,1378,75.723468,132
590.811402,701,76.304468,71
-1670.998173,1910,78.846468,118
1266.498031,1254,79.715468,164
180.537714,343,81.243468,42
184.673206,314,81.514468,35
-56.388033,84,81.644468,7
335.194012,594,82.16947,63
91.243453,291,82.465469,31
1464.883097,1902,85.005468,214
828.955071,2541,88.101468,219
-15.681578,250,89.483468,21
1662.894426,1689,90.66152,286
462.40405,546,92.273577,76
-152.855858,635,93.001647,53
1812.804832,1834,95.506718,224
507.724144,636,96.007786,90
464.815076,548,96.456786,93
1287.589225,1558,98.833843,197
1648.008052,1841,101.261886,209
2092.933842,3164,105.901945,243
986.473249,1490,106.927945,187
1896.749915,1893,109.518945,285
869.993493,905,111.408945,132
345.186479,436,111.761945,61
1895.010143,1912,114.376945,278
205.884211,326,114.665945,40
289.970856,380,114.976945,56
852.871006,890,116.783945,129
485.758278,576,117.274948,67
-69.416927,82,117.422946,4
383.684656,453,117.835946,80
1468.443434,1440,120.014945,186
1553.617537,2464,122.928946,278
283.128391,383,123.292945,45
285.785847,381,123.611946,64
-1044.798889,1303,125.718946,103
669.483209,751,126.273945,107
42.537601,176,127.729945,22
1493.525755,1458,128.80004,204
419.731382,499,130.341038,75
1903.559278,2049,133.083039,282
135.967824,249,133.350038,41
1207.686655,1229,134.269039,180
1778.729715,1671,136.642038,270
-266.631863,111,136.84504,0
365.105831,505,137.249039,65
941.081984,3070,141.754038,278
1338.837202,1922,144.356038,214
906.974753,1354,145.338038,165
1282.358976,1439,147.55304,213
941.995909,1072,149.644084,121
1607.072314,1611,150.762144,241
768.629032,794,152.528144,119
1829.970115,1882,155.052145,258
1626.651688,1969,157.610256,261
676.482551,710,158.204361,123
1020.833464,1006,160.140407,168
613.765198,719,160.733407,121
788.200111,828,161.389407,127
-161.273617,128,161.537407,1
815.245872,829,163.457461,144
1590.683559,2218,166.181595,286
576.597177,635,166.664594,108
602.586631,667,168.433653,93
285.599734,434,168.825652,76
1156.701469,1139,169.670653,184
759.424451,794,171.442698,127
990.227935,975,172.152697,179
1375.449183,1320,174.402699,220
1049.750523,1002,175.137804,156
2391.485833,2124,177.740874,301
1236.242878,1185,179.840874,200
355.377532,2578,182.781874,265
874.808762,890,184.703873,145
1443.174462,2656,187.730875,259
1294.307395,1259,188.754873,184
1397.517762,1680,191.092874,245
2130.056365,2102,193.794873,278
1894.324187,1824,196.211876,263
129.422917,242,196.432874,40
1572.238191,1499,198.796874,237
1309.95185,1245,200.881875,217
1970.679294,1889,203.423876,262
1743.666187,1649,204.628875,260
764.940317,780,206.413873,141
1711.252323,1611,208.852876,267
1198.696914,1738,210.162874,225
1054.87723,1015,212.064874,199
1949.264346,1700,214.602873,301
-712.45541,2268,217.463874,207
434.125494,517,217.882874,89
1506.53436,1431,220.138874,236
1875.494009,1745,222.524873,290
771.811181,811,223.117874,140
997.279493,989,225.061873,178
1720.515806,1469,226.243873,301
1993.990643,1852,228.781877,299
225.765522,329,229.105873,59
860.284969,863,230.910874,157
2189.027535,1954,233.538874,301
1954.304599,1707,236.041873,301
559.635363,606,236.535873,117
213.380032,322,236.817874,53
1754.621568,1645,239.247924,266
1509.850711,1438,240.242019,266
1184.86095,1105,242.231108,231
1662.369374,2062,244.960173,301
-52.810537,93,245.088174,5
1602.643034,1803,247.591282,259
602.869356,627,248.067373,138
1545.593511,1469,250.429372,271
1649.641174,1413,252.596473,301
240.398439,335,252.917535,65
1607.772057,1506,255.552535,262
2084.647418,2233,258.499587,297
1848.962964,1721,260.953588,298
1933.081227,2974,264.26759,301
2311.466766,2424,267.103651,296
1454.156701,1363,269.287651,243
144.6238,280,269.578651,46
214.750439,309,269.866651,62
1508.123342,1404,272.043652,256
1871.542804,1807,274.544652,264
474.391554,527,274.986722,117
915.444824,934,275.71172,134
1385.786706,1290,277.801721,251
1406.792962,1498,280.14572,268
453.313842,520,280.553721,91
1581.643064,1482,282.796721,270
926.425743,914,283.521722,172
1028.948634,995,285.613775,200
2300.356693,2054,288.308775,301
1593.24423,1460,289.413779,287
1747.642409,1615,291.790776,288
1214.080943,1171,293.827775,204
614.061091,635,294.349775,136
44.699804,195,294.576775,24
139.17454,650,295.09985,68
484.660452,544,296.714849,97
1763.70231,1517,297.80785,301
173.233188,292,299.21785,49
790.925804,796,299.894851,163
564.069058,616,300.366849,124
314.583815,397,300.69685,75
591.73964,621,302.382849,126
2202.484919,2269,305.239851,301
560.208321,1991,307.80985,269
-4.156241,143,307.967849,15
1161.349327,1107,308.76785,214
1957.74859,1717,311.33185,301
-178.414159,1464,313.51985,151
967.997433,954,314.218849,170
948.601748,975,316.247851,135
1021.165428,987,316.97085,178
1453.19089,2076,319.670955,259
1185.250505,1138,321.670071,197
1903.619617,1762,324.080162,299
895.170106,888,324.834162,161
749.013228,736,326.599163,169
419.411023,479,327.003225,94
582.791877,643,327.517224,101
1451.173382,1368,329.658321,262
2119.348041,1941,332.38742,301
2270.743925,2032,334.983638,301
383.624948,434,335.456634,99
784.541948,808,336.134697,130
734.886185,745,337.994804,146
1708.945694,1718,340.491804,294
-90.636377,72,340.611804,4
1232.450527,1156,341.431805,233
781.648345,811,343.182804,126
2264.77782,2020,345.910955,301
1270.088528,1955,348.432068,222
204.516437,307,348.723069,49
1582.089343,1491,349.80607,255
956.531441,2057,352.488126,270
959.240469,913,354.311124,203
1278.79045,1239,356.440123,195
582.366143,636,356.948123,98
556.99356,616,357.437124,93
1823.106469,1724,359.800124,249
633.059058,665,360.381123,129
2280.332255,2307,363.174172,282
2093.031187,1850,365.719171,301
688.029437,702,367.47717,136
-983.633478,2385,370.377171,237
1738.99767,1765,372.805171,224
1818.842384,2068,375.432171,268
331.564406,418,375.815172,86
1836.26214,1713,378.165171,281
-41.33276,105,378.313171,7
2180.280966,2149,381.08117,278
364.076044,454,381.440172,82
1854.886862,1608,383.742246,301
412.448449,2012,386.513247,293
1295.135818,1235,387.435246,221
1571.716221,1481,389.653246,279
1220.183806,1189,391.797249,193
1027.035168,977,392.521247,209
1992.370184,1747,394.940247,301
1484.6597,1422,397.236247,239
508.508555,562,397.701247,100
1557.609053,1516,399.940247,224
1744.673196,1731,402.424247,193
252.720421,354,402.738248,53
1998.42936,1896,405.207296,262
617.586132,660,405.764357,114
1839.858286,1595,408.095415,301
615.150061,645,408.573416,138
1478.303836,1550,410.870416,254
464.216734,515,411.332415,109
575.722646,606,411.812418,123
1010.43131,980,413.735417,188
1551.307532,1417,416.099484,298
1718.81746,1847,418.600552,236
1324.880467,2100,421.364608,258
1317.609255,1704,422.627607,252
459.523702,525,424.221649,96
423.852837,492,424.655651,96
1762.682753,1921,427.222743,284
940.952631,1304,428.138743,161
-51.473823,98,428.268743,6
574.776149,618,429.961848,117
2167.308612,1926,432.528964,301
1811.300903,1702,434.844025,265
1832.434157,1885,436.285086,268
531.630847,579,437.944087,106
2010.915443,1919,440.418159,265
1845.992862,1722,442.878218,280
1246.643061,1153,443.753218,251
1687.74194,1703,446.178218,269
-332.102657,1799,448.632218,262
1980.880597,1885,451.118221,269
692.871282,792,451.815218,122
1226.249916,2081,454.469219,296
448.971623,1777,457.057218,196
1335.687971,1252,459.194219,245
1555.552906,2367,462.169219,264
550.052041,587,462.635218,112
1455.552309,1358,464.799335,259
1465.164747,1378,465.759335,241
569.357764,612,467.548335,119
2305.946068,2343,470.382335,301
2655.800109,2423,473.341335,301
-1957.612325,1201,475.360335,24
586.60177,622,475.845335,116
1665.762772,1677,478.297335,273
931.975924,890,478.967335,202
1356.651218,1277,481.046336,245
707.870517,748,481.704334,141
838.923859,841,483.514335,156
580.752198,618,484.014335,125
873.154852,861,484.638335,172
917.158978,893,486.521396,178
1760.693398,1634,488.820396,276
887.605987,892,489.573397,174
782.019842,809,490.197397,131
1760.850949,1821,492.738397,298
127.231006,2951,497.266399,294
1646.91382,1548,498.376396,260
1655.620625,1563,500.654396,263
855.333066,849,502.641396,172
1987.0913,1893,505.053396,255
1559.231933,1692,506.247396,258
2370.703509,2130,508.970396,301
999.692735,1003,510.907459,150
654.363827,737,511.489458,129
665.982718,683,513.249511,153
792.402474,792,513.87751,154
1225.492371,2103,516.472572,301
1965.959919,1860,519.100652,265
1066.986183,1060,519.841717,199
1155.59999,1121,521.879717,194
723.749657,700,522.446718,175
206.556951,318,522.749717,55
905.691294,879,524.603716,186
251.217064,488,525.009717,71
1085.121952,1071,527.017718,168
1436.219823,1392,528.054716,222
286.662721,373,529.568716,76
329.503208,406,529.946716,83
-68.415844,82,530.067716,5
239.773937,353,530.357716,48
445.815113,508,530.772716,91
766.961287,751,532.614827,172
636.635534,656,533.129827,140
707.862975,742,533.667826,118
808.543598,828,535.471826,131
347.689006,422,535.831828,80
318.963816,392,536.207826,81
584.537673,617,536.707827,120
1914.869424,1795,539.198882,279
509.748244,570,539.626884,103
397.531109,478,541.189962,79
829.485836,794,541.778961,193
957.364847,1002,543.761961,188
360.836868,430,544.125962,86
-2651.021962,2438,546.972963,216
272.494978,355,547.318966,73
1745.183487,1564,549.541961,301
1382.153044,1639,551.892963,259
1090.481127,1050,552.721961,192
1001.580481,980,554.609014,205
1507.184041,1443,555.667016,244
1269.747829,1216,557.810014,213
1229.420609,1186,560.029014,203
1771.365368,1667,561.376013,265
1178.02404,1105,563.660015,233
1669.254775,1553,565.908014,282
