#{"t_start": 1705417920.781874, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t
-822.505543,680,1.387167
72.303136,289,1.780925
-380.500467,209,2.181532
134.43569,283,2.571197
-3828.995256,1979,4.722556
-3779.385721,1730,6.69127
-1757.847429,1215,8.595859
-491.510791,1095,9.385891
17.501442,178,9.753564
-525.450587,524,10.265096
107.056603,398,11.765517
46.392578,193,12.135159
61.257349,215,12.505045
-2322.890515,809,13.147792
-7.512362,380,13.623538
252.782801,451,15.094636
106.375475,234,15.479017
-1000.967673,617,16.057277
-0.749849,222,16.435358
-1161.277427,856,18.161932
-25.597042,131,18.531943
472.734729,677,19.158439
162.90484,286,19.633389
115.843192,229,20.059846
1.439203,139,20.417451
873.048012,966,22.143431
105.873918,221,22.535459
-89.270054,67,22.863932
-83.23887,72,23.190152
-69.791746,77,23.534387
-82.73464,64,23.876549
767.222105,749,24.470651
-84.879875,71,24.788949
241.172742,359,26.238306
141.771407,277,26.667426
-25.689935,120,27.0226
-90.149968,61,27.337572
-94.029999,163,27.718433
-67.657042,77,28.06269
19.354936,245,28.468436
-98.589417,53,28.819766
-97.686196,58,29.174029
82.190387,325,29.611497
-76.407082,74,29.942089
-92.967819,58,30.270092
15.748768,366,31.686549
204.819616,327,32.12043
-209.694619,360,32.601436
-85.505755,69,32.995389
-2971.540273,667,33.648653
-74.557344,74,34.01224
-47.821599,195,34.433396
260.293206,382,35.913417
-85.340063,71,36.238245
716.455203,698,36.884513
-1411.339999,399,37.423344
-76.461828,79,37.753611
106.570342,231,38.136537
685.410426,704,39.725213
16.313519,160,40.078649
8.20624,151,40.435998
-70.611104,79,40.761256
233.664305,342,41.186056
-85.448349,68,41.510067
65.130661,201,41.881495
-92.763642,59,42.192577
136.245318,271,42.591604
-6.085782,131,42.932503
468.472234,645,44.573678
62.079842,187,44.933342
49.627188,309,45.375876
71.177251,411,45.827402
249.465629,344,46.253409
-62.263055,90,46.590406
-83.384054,64,46.915969
-6.910152,137,47.272211
-1.862506,140,47.619009
-15.842623,195,49.021512
432.727892,603,49.575007
624.586914,740,50.17147
335.613881,413,50.634362
273.346701,362,52.062529
506.233644,618,52.614503
662.393394,687,53.175885
635.946372,660,54.774254
1819.668607,1723,55.845528
1671.313974,1665,57.922906
911.995448,938,59.638187
3673.942738,4250,63.646643
-10.277859,129,63.993083
883.851606,853,64.689828
2460.148612,2260,66.951452
3106.783496,2828,70.41062
1189.246633,1137,71.175213
1960.692032,1814,73.206866
1329.869137,1278,75.055679
510.923984,556,75.590691
213.694395,321,76.004878
81.470558,321,76.418444
965.11735,935,78.031475
430.460969,489,78.511045
3936.681977,3700,82.235575
-22.530334,121,82.561338
194.962416,303,82.972959
3416.980454,3762,86.742929
77.546727,211,87.108343
3018.186988,2693,89.446249
-65.8306,87,89.835903
-41.867139,107,90.155406
1450.065403,1329,91.953931
2973.535035,2689,94.257154
2702.624849,2439,97.406138
2844.607526,2520,99.635278
3338.760332,3022,102.056873
104.488139,361,102.489074
3470.211689,3103,105.969721
-4.09623,145,106.310641
1809.238571,1619,108.213418
-58.314626,84,108.527783
1085.962231,1027,109.337156
2254.569983,2059,111.604825
2392.959602,2118,113.671364
531.339458,578,115.171456
2417.945924,2139,117.280217
-66.949617,77,117.600266
1141.358795,1067,118.315105
2649.964801,2335,120.530248
-54.172287,97,120.865438
957.76116,903,122.491866
3135.922238,2783,124.878165
1522.220467,1348,126.728889
1484.418125,1344,128.465598
676.914052,679,129.03747
1152.46911,1059,129.790035
3449.284272,3017,133.796067
936.449302,901,134.522506
3917.197779,3454,138.632715
1138.50469,1064,140.66885
2870.621484,2536,143.098938
2899.053121,2672,145.493235
601.324104,655,146.056348
2777.018395,2492,149.508668
-50.754155,95,149.838372
1953.829586,1723,151.780396
1025.586927,975,152.536015
1239.974631,1159,154.353199
2747.86049,2417,156.576156
1012.746125,928,157.25993
3044.557077,2690,160.571926
2409.244665,2394,162.933128
2909.731011,2571,165.48496
2276.43837,2001,167.62119
1823.271749,1623,169.551827
2938.966105,2672,171.933361
1157.011766,1036,173.576984
264.141577,362,174.026453
3033.233553,3123,176.695679
3395.689342,2942,180.182932
2391.16561,2114,182.295823
2950.073905,2853,184.677108
559.144199,605,185.248099
3387.409382,3058,188.718398
1074.245234,1004,189.421313
-67.246885,75,189.730092
906.121104,887,191.355471
2286.937268,2008,193.362044
1067.464326,1118,194.101173
2603.600596,2333,197.231237
2670.704523,2363,199.402786
512.853695,533,199.921014
939.796788,867,200.580486
2302.396755,2002,202.613527
4196.98507,3710,206.320254
590.260313,607,206.86025
3174.740009,3609,210.589105
887.812584,822,212.251391
502.155939,515,212.755345
-68.520018,74,213.086165
682.823896,665,213.66144
6042.110171,5360,218.974226
1692.773217,1511,220.88239
2532.998248,2218,223.029831
819.872066,823,223.640175
4875.890762,4670,227.810616
790.993992,741,229.413329
4795.578731,4290,233.777112
5795.686308,6328,239.489818
608.326977,605,240.014567
2242.214549,1959,242.107332
-62.753605,94,242.458697
1381.40192,1235,244.258093
293.880413,379,244.699997
3760.222686,3244,248.247799
1536.345182,1347,249.168208
5660.70975,6698,255.258737
642.904722,621,256.763982
3195.704699,2744,259.167947
2307.709631,2014,261.326846
4891.342445,4386,265.263529
-61.08606,85,265.591691
2955.408659,2527,268.784107
3286.220881,3330,271.636024
-64.971933,77,271.97125
1157.68981,1096,273.639602
1254.572628,1138,274.367768
1515.495138,1360,276.135613
454.029738,487,276.679919
2483.411423,2135,278.981065
-199.061143,166,279.324249
3256.204772,2902,282.682491
3608.499814,3187,285.157656
1641.255876,1484,286.986947
1726.718272,1493,288.827931
1239.249744,1107,289.546409
1804.945069,1570,291.358408
-36693.118104,35356,322.658142
916.151972,1178,324.352033
-62.007318,80,324.675856
871.136397,857,325.312495
533.913961,549,326.789753
884.969963,859,327.428475
189.429099,295,327.820781
1496.784282,1349,329.547023
-139.367308,137,329.884636
747.743929,737,330.461313
514.908885,557,331.893337
731.777442,718,332.486014
-65.26305,77,332.811303
1068.893743,984,333.545547
527.573688,602,334.984475
1333.69652,1341,335.784683
16.244938,152,336.123461
1817.624261,1648,338.035233
-156.252877,136,338.370411
719.7403,714,339.882778
1238.933196,1151,340.602652
1122.011803,1074,342.283128
1212.906569,1130,343.034972
3256.018238,2947,346.562457
3667.689241,3270,349.237634
1338.590733,1219,350.965721
189.29234,300,351.370904
2401.141004,2698,353.715541
2768.591448,2446,356.942634
1786.158661,1622,357.904422
3154.753471,3350,361.390839
1790.293732,1619,363.301547
4060.851264,3627,366.894724
3952.998444,3667,369.594836
700.693502,743,371.095839
-5560.747726,6572,377.030828
4719.08893,5490,382.364926
4067.761441,3608,385.152358
5020.080822,4530,390.273846
6256.828113,5918,394.910473
-66.442894,76,395.230933
2714.744644,9454,404.44813
971.9629,900,406.081304
2300.02764,2011,408.336573
3478.150537,3048,410.897048
-6945.968236,18461,428.058921
901.132873,852,428.714417
705.972072,702,430.208574
1285.066058,1201,430.983271
1122.364002,1047,432.630823
1505.10497,1341,434.404809
1601.021907,1413,435.262878
2284.42244,2366,437.408298
2744.464799,2433,440.57689
635.822573,938,441.233484
960.509493,894,441.888242
1841.446687,1629,443.787643
1430.803886,1272,445.486977
1987.233264,2611,447.765376
2450.963368,2156,449.907267
2409.62865,2118,452.00802
2323.721524,2078,454.159941
1079.240672,1007,455.853559
1374.150428,1227,456.638091
2872.958325,2534,459.966076
846.578546,785,460.57258
-65.091378,77,460.882886
2198.66708,2351,463.055203
-73.908796,69,463.383109
498.873346,559,463.914515
-188.42405,154,465.190686
207.398535,325,465.645729
3637.832337,3181,468.256175
3730.347078,3242,471.781738
1432.460531,1367,473.591497
298.417515,368,474.040971
1100.901234,1755,476.042564
4256.219827,3687,478.850254
3744.660505,3254,482.474169
1379.385008,1224,484.373341
2602.117695,7389,490.550786
