#{"t_start": 1706227855.4936013, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-268.0,1201,1.203997,4
-165.5,313,1.857998,35
-115.5,107,2.621997,0
-132.0,105,3.142998,0
-103.0,136,3.674998,6
-202.5,1804,6.241999,124
-105.5,372,6.927997,20
-86.0,98,8.492998,9
-28.5,519,9.295997,68
-4.0,816,10.256998,111
-92.0,254,10.863997,21
-82.5,304,11.504997,43
-94.5,72,12.006998,5
-61.0,197,13.593999,23
2.5,306,14.255997,34
-77.5,54,14.751998,2
34.5,392,15.441,88
-84.5,82,15.950999,5
-64.0,175,16.516,25
-91.5,85,17.006999,6
-86.0,76,17.515997,4
-39.5,204,18.094997,34
-72.5,84,18.607998,6
36.0,571,20.405998,126
-79.0,63,20.913997,2
53.5,407,21.628997,74
-72.0,62,22.124998,3
-71.0,68,22.631998,3
-60.0,106,23.156998,11
-7.0,244,23.759997,4
40.5,284,24.398998,53
-27.0,180,24.963998,26
-70.0,71,25.466997,3
67.5,408,26.169998,81
-28.0,205,27.759999,35
-43.5,98,28.298998,8
-74.0,63,28.791997,3
-67.0,57,29.287997,3
2.0,181,29.860998,24
-80.5,59,30.357999,2
-74.5,70,30.855998,4
-67.5,76,31.360998,6
-34.5,158,31.916998,11
-61.0,77,32.411999,5
-68.5,58,32.910997,2
-74.5,54,33.390997,2
-65.0,58,33.883997,1
-71.5,68,34.375998,5
-71.5,51,34.853997,2
37.0,282,35.476997,41
-67.5,70,35.979998,4
-36.0,132,36.508,12
-76.5,56,36.994999,2
-64.5,51,37.483999,2
-70.5,58,37.981997,1
17.5,226,39.578997,42
-64.5,57,40.101998,3
-69.5,56,40.593,2
120.5,379,41.279999,78
-63.0,62,41.778999,2
-4.5,181,42.346997,22
-69.0,56,42.841999,1
85.0,278,43.465997,28
-39.5,109,43.993998,12
-67.5,58,44.490998,2
-76.0,58,44.982998,3
39.5,265,45.602998,42
-82.0,56,46.094998,2
-15.5,146,46.643998,15
190.5,520,48.436997,78
14.5,157,48.989999,13
-26.5,113,49.516997,10
-65.5,64,50.010999,3
-61.5,51,50.498,1
-67.5,70,51.001997,3
-20.5,103,51.516997,10
-64.0,59,52.012997,2
13.5,176,52.576998,24
-27.5,114,53.094997,11
-25.5,105,53.613001,9
-60.0,52,54.107998,1
4.5,163,54.665998,25
115.5,332,55.324997,51
-27.0,110,55.840998,10
-60.5,73,57.357997,4
-65.0,54,57.881998,2
-31.5,103,58.387997,9
-63.5,55,58.881998,1
-63.5,68,59.375,3
113.5,327,60.034,44
-8.5,121,60.568001,11
15.0,162,61.117997,17
-63.0,59,61.604998,2
-61.5,56,62.089998,3
19.5,180,62.657,1
-15.5,103,63.168997,9
-49.5,61,63.670999,2
416.0,833,65.654997,192
-22.5,103,66.182,10
-63.0,53,66.674997,1
-6.5,111,67.190999,9
-25.5,113,67.714997,12
-3.5,142,68.251999,16
-26.0,100,68.768997,8
230.5,508,69.529998,70
-22.5,113,70.056,9
19.0,141,70.59,11
-63.5,61,71.075997,1
187.5,411,72.772997,76
-64.0,58,73.306,2
-4.0,135,73.848998,8
5.0,140,74.386997,15
-59.0,69,74.882997,4
-12.5,117,75.405997,9
-64.0,45,75.887998,2
-20.0,123,76.415998,11
-60.0,52,76.896999,1
71.0,247,77.493001,37
-67.5,57,77.989998,2
-59.0,56,78.480999,3
91.5,263,79.092999,25
75.5,240,79.704997,33
-18.0,101,80.230999,8
-65.0,52,80.716999,2
-67.0,55,81.221997,2
-27.0,105,81.743999,9
-29.0,101,82.261,9
193.0,443,83.995997,102
-65.5,53,84.490997,1
-62.0,62,84.986997,2
-16.0,125,85.521997,12
22.5,171,86.087997,19
23.0,189,86.655,23
-81.5,54,87.142998,2
-37.5,104,87.665997,10
605.5,1151,89.832998,207
-56.5,55,90.325999,1
-62.0,53,90.813,1
-19.0,112,91.336997,10
7.0,161,91.893997,19
-20.5,110,92.414999,11
-56.5,55,92.898997,2
112.5,251,93.501997,30
-63.5,61,93.999,4
-30.0,102,94.522998,9
5.5,136,95.059997,12
-23.5,112,95.582,9
22.0,159,96.135998,17
-66.0,53,96.627,1
-29.0,97,97.135,9
-59.5,72,97.64,5
25.5,154,98.193997,18
59.5,207,99.804997,29
-53.0,54,100.301997,1
-55.5,57,100.799001,2
-57.5,52,101.282998,1
-55.0,53,101.768998,1
243.0,463,102.5,103
-59.5,52,102.983998,1
8.0,125,103.519999,11
-58.5,53,104.017999,1
-63.5,55,104.514998,1
-57.5,51,104.998997,2
27.5,154,105.548998,16
185.5,358,106.222,70
-58.5,53,106.699999,1
-57.5,57,107.192997,2
-59.5,52,107.674998,1
-59.5,53,108.163997,1
23.5,150,109.713998,16
-65.5,51,110.215,2
144.0,285,110.841999,41
33.0,161,111.391999,18
-25.0,94,111.903998,8
-58.0,51,112.388997,1
-62.0,54,112.875997,2
-55.0,51,113.352,1
-24.0,93,113.857997,7
57.0,203,114.431998,26
-57.5,49,114.916,2
-10.5,105,115.655999,9
-61.0,52,116.147997,1
-57.5,52,116.629999,1
-13.5,103,117.146997,9
-18.0,111,117.658997,9
-56.0,52,118.142999,1
-9.0,113,118.665997,10
453.5,710,120.568,184
-6.5,107,121.096999,10
1.5,121,121.622997,10
-62.0,49,122.102999,2
-24.5,94,122.613997,7
48.0,172,123.167998,19
6.0,119,123.700997,10
22.0,158,124.250999,19
-5.5,104,124.765999,9
77.0,213,125.350001,28
-8.0,105,125.873999,9
41.5,159,126.420998,19
-61.5,57,126.909998,1
-53.0,70,127.407998,5
-56.0,52,127.895999,1
385.5,557,129.701998,124
95.5,221,130.294997,25
-2.0,106,130.817998,9
-57.0,51,131.298998,1
-56.0,52,131.779004,1
157.0,287,132.405,40
-55.5,60,132.898,4
216.0,378,133.568998,71
-14.5,102,134.086999,10
-64.0,46,134.569998,1
-56.0,56,135.056998,2
-58.0,51,135.538998,1
-12.5,100,136.051997,10
-61.0,53,136.532998,1
-19.5,93,138.058999,7
203.5,343,138.737998,44
-7.0,97,139.247999,8
-58.5,53,139.744,1
-10.5,101,140.259,10
-9.0,111,140.788998,10
88.0,215,141.375,35
-21.0,94,141.885999,7
-50.0,58,142.382999,1
209.5,354,143.046999,62
20.0,137,143.591999,13
-55.0,51,144.073997,1
315.5,465,145.804998,103
355.0,501,146.584999,101
-23.0,93,147.103997,7
157.5,276,147.723997,36
-61.5,46,148.212999,1
-54.0,53,148.698997,2
-53.5,51,149.193997,1
-54.0,51,149.680997,1
-8.5,104,150.203,9
-58.0,52,150.695997,1
-57.5,52,151.184,1
8.5,126,151.722998,14
-9.0,98,152.241999,8
75.5,186,152.815998,28
59.5,162,153.370997,16
37.5,153,154.924997,17
-55.0,52,155.437999,1
-16.0,99,155.958998,8
-53.5,51,156.447998,1
93.5,210,157.038998,28
168.0,297,157.672997,38
-5.0,98,158.189997,8
-3.0,105,158.717997,9
-52.0,51,159.205997,1
-2.5,103,159.727997,9
38.0,158,160.276998,16
-4.0,97,160.782997,8
-20.0,93,161.293997,7
-5.0,99,161.805998,8
-55.0,54,162.305998,2
-55.5,51,162.791998,1
-14.5,95,163.310997,9
-54.5,51,163.801997,1
187.5,312,165.446998,45
-55.0,51,165.957999,1
-5.5,97,166.479999,8
-9.0,100,167.008,8
39.5,157,167.563997,16
112.5,233,168.160001,37
61.0,171,168.721997,22
-54.5,51,169.204998,1
463.5,661,170.063998,125
-6.0,104,170.583997,9
38.5,156,171.134998,16
102.0,218,172.732999,28
-17.0,93,173.269998,7
39.5,151,173.812999,17
-9.0,107,174.329998,9
-11.5,99,174.848998,9
-4.5,101,175.364998,9
370.0,534,176.145997,113
133.0,266,176.756998,31
-57.0,51,177.246997,1
43.0,154,177.796,17
-56.0,52,178.282997,1
293.0,447,180.035997,89
-54.5,52,180.548998,1
9.5,122,181.077997,12
-2.5,104,181.607998,9
-18.0,93,182.123997,7
-56.5,52,182.605998,3
-8.5,99,183.113999,8
-5.5,97,183.632997,8
34.5,150,184.169997,16
463.0,602,184.992997,123
-55.5,51,185.491997,1
-3.0,103,186.016997,9
-0.5,104,186.533998,10
388.5,548,188.356,123
0.5,105,188.876997,9
2.0,105,189.393997,9
-6.5,100,189.915,8
54.5,167,190.465998,18
-6.0,98,190.980998,8
392.5,518,191.734998,87
39.5,151,192.282997,16
-2.0,104,192.797997,9
-17.5,93,193.308998,7
-55.5,51,193.795998,1
35.0,150,194.338998,15
0.5,105,194.862997,9
-1.5,105,195.383998,9
-56.0,52,196.897998,1
48.0,155,197.461998,16
-53.5,51,197.949,1
-6.0,98,198.457998,8
-7.0,99,198.977997,8
-19.0,93,199.480998,7
-2.0,106,199.997997,9
117.0,230,200.601997,40
-53.5,51,201.095997,1
-14.5,94,201.598998,8
144.5,268,202.211001,37
-0.5,104,202.737997,9
-57.0,51,203.229998,1
42.5,152,203.778998,16
-3.0,98,204.299,8
-4.0,107,204.819998,9
106.5,226,205.397998,25
-5.5,97,206.935999,8
-22.5,94,207.456997,7
113.5,232,208.054999,43
-4.0,97,208.565997,8
49.0,163,209.117997,19
-53.5,51,209.601013,1
111.5,228,210.188999,32
-54.0,52,210.682998,1
44.0,157,211.237997,17
-13.5,100,211.755997,9
134.5,268,212.371998,32
1.0,104,212.887,9
-5.5,99,213.412999,8
-58.5,53,213.905997,1
-54.5,52,214.396998,1
158.5,274,216.027999,35
-8.0,109,216.569999,10
-55.0,51,217.063998,1
238.0,369,217.743,68
-3.0,103,218.267998,9
-6.5,100,218.779998,8
-16.0,97,219.286998,10
-7.5,97,219.803998,8
-8.5,97,220.318998,8
-52.0,51,220.800997,1
51.5,164,221.354997,18
-3.5,103,221.869997,9
-56.0,51,222.363,1
0.5,105,222.880998,9
76.0,194,223.661997,28
-2.5,102,224.178998,9
40.0,151,224.726998,16
-6.5,100,226.268998,8
328.0,467,227.026997,78
-18.5,93,227.534997,7
-52.0,51,228.025997,1
157.0,275,228.651998,47
-5.5,97,229.155001,8
113.5,225,229.745999,26
0.0,110,230.269997,9
303.0,437,230.978998,84
-5.5,101,231.501999,9
-4.5,98,232.02,8
-5.5,101,233.535998,8
37.0,152,234.1,16
-53.5,51,234.592997,1
39.0,151,235.137998,16
377.0,525,235.908998,101
110.5,225,236.496997,26
-7.5,98,237.005998,8
35.0,158,237.550997,17
102.5,223,238.137999,29
-0.5,104,238.662998,9
-55.0,51,239.156997,1
-9.0,102,239.684997,9
-6.0,99,240.200997,8
112.5,226,241.832997,30
-5.0,101,242.369997,8
48.0,154,242.920998,16
45.0,149,243.470998,16
-53.5,51,243.953997,1
55.0,163,244.505998,18
46.5,152,245.060998,17
-55.5,51,245.553998,1
44.5,154,246.105999,15
-52.0,51,246.599997,1
-55.0,51,247.092997,1
-4.0,99,247.618999,8
-55.0,51,248.114999,1
-5.5,99,248.64,8
-10.5,94,249.150998,8
-1.5,101,249.673999,9
-4.0,107,250.192998,9
-13.5,93,250.714999,7
42.0,153,251.259997,15
294.5,432,253.007999,100
-52.0,51,253.489997,1
0.5,105,254.003999,9
400.5,539,254.781998,100
-4.0,97,255.292997,8
-6.0,98,255.803998,8
-4.0,97,256.327998,8
1.5,106,256.855997,9
48.5,160,257.404997,17
-17.5,94,257.911999,8
178.5,292,259.540997,38
-5.5,97,260.082999,8
-3.0,105,260.604001,9
54.0,164,261.156998,19
-7.0,97,261.671997,8
-2.5,104,262.192997,9
47.0,154,262.754999,15
137.0,256,263.356997,35
43.0,151,263.899998,17
-57.0,49,264.385999,2
-17.5,94,264.899999,8
-3.0,100,265.415997,8
-52.0,51,265.897997,1
-17.5,93,266.406998,7
-5.5,97,266.924,8
25.0,134,267.458997,14
-14.0,100,267.981998,9
1.0,104,268.498997,9
-55.5,51,268.981999,1
-52.0,51,270.442998,1
-53.5,51,270.945997,1
-51.5,51,271.433,1
-6.0,98,271.956,8
-0.5,106,272.475998,9
-7.5,98,272.985997,8
-0.5,104,273.506997,9
-0.5,106,274.023998,9
-52.0,53,274.506998,1
-6.0,103,275.023,9
-7.0,101,275.537998,8
-5.5,97,276.055997,8
-4.0,97,276.563998,8
-4.5,98,277.076,8
1.0,104,277.599999,9
-4.5,98,278.125997,8
-1.0,102,278.643999,8
-1.5,105,279.156997,9
