#{"t_start": 1706306583.9840786, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-232.5,663,0.951001,22
-141.0,346,1.665001,11
-165.5,379,2.390001,19
-250.5,1201,4.732003,2
-103.0,324,5.404001,31
-169.0,1201,7.907002,24
-105.5,152,8.514002,16
-90.5,486,9.313001,73
-82.0,94,9.863002,8
-43.0,353,10.567003,39
-80.0,101,11.121002,12
-73.5,242,11.761003,47
-47.5,466,12.531001,82
-39.0,300,14.268,58
-54.0,155,14.864003,13
-13.0,285,15.549001,35
-39.5,240,16.181003,28
-24.5,278,16.837001,46
-32.0,265,17.479002,37
-89.0,67,18.006002,4
-72.0,70,18.519001,4
-92.5,82,19.036,5
-84.0,73,19.547001,3
-59.0,150,20.104001,10
-86.0,62,20.622002,3
6.0,473,22.443002,58
-62.0,125,23.343002,12
63.5,510,24.132001,93
-77.0,94,24.676002,7
-81.0,57,25.193002,2
-25.0,311,25.880002,44
-84.0,79,26.405001,5
-72.5,66,26.924002,4
-45.5,210,27.531001,11
4.0,319,29.177001,47
33.5,338,29.880002,48
-30.5,218,30.487001,8
-79.5,59,30.997001,2
-77.5,63,31.508001,3
-71.5,57,32.015002,2
-55.5,157,32.594001,4
30.5,359,33.283001,50
19.5,314,33.942002,70
-72.0,64,34.467001,3
-78.0,58,34.979001,3
-64.5,90,35.504001,7
-72.5,74,36.026,3
-74.5,59,36.540045,3
45.5,629,38.413044,100
-72.0,71,38.940044,4
95.0,568,39.757045,90
-78.0,60,40.261043,2
-81.0,70,40.769044,4
-78.0,87,41.290044,8
-78.5,84,41.808043,6
-80.5,64,42.316044,3
64.5,601,44.125043,104
-70.0,85,44.668046,7
-3.0,278,45.305043,34
-65.0,138,45.866255,15
-39.0,204,46.469255,27
-54.0,157,47.030253,13
26.0,406,47.755255,83
-83.5,62,48.258253,3
-50.0,131,48.814253,14
-37.0,147,49.380254,15
-51.5,111,49.924255,10
-76.0,64,50.443255,4
-78.0,61,50.955256,3
89.5,595,52.864255,117
-79.5,55,53.368255,2
140.5,607,54.227254,125
-75.0,64,54.743254,3
-77.5,62,55.259254,3
-66.5,79,55.780254,6
8.0,296,56.435253,9
32.5,332,57.109253,2
-69.0,65,57.617253,3
-66.5,101,59.141252,7
65.5,397,59.853253,42
-74.5,54,60.361253,2
-43.0,102,60.889253,10
-68.5,58,61.397253,3
-29.0,205,61.996254,40
-43.5,140,62.562254,14
-47.5,131,63.115255,12
-73.5,75,63.630254,4
-27.5,149,64.191254,15
-70.5,60,64.698254,2
-31.5,195,65.285253,33
-76.0,65,65.799253,3
74.5,359,67.495255,55
-68.5,55,68.016253,2
-9.0,234,68.632253,35
-34.5,123,69.184257,13
0.5,215,69.795254,25
-69.5,65,70.307253,2
-13.0,155,70.876254,13
167.5,663,71.747254,156
76.0,284,72.391253,20
-73.5,60,72.903254,3
-62.5,54,73.412253,2
-72.5,56,73.920255,2
-26.0,143,75.486253,13
-64.5,62,76.012254,4
7.5,184,76.603254,25
21.5,193,77.186253,23
-65.5,65,77.703254,3
-63.0,78,78.218255,8
-68.5,56,78.727253,2
-67.0,54,79.226254,2
-64.0,53,79.732253,1
-62.0,77,80.248255,6
79.0,314,80.917253,55
49.5,266,81.547253,41
-63.0,55,82.052254,2
174.0,485,82.817253,4
-67.5,59,84.308253,2
-38.0,95,84.867254,8
115.5,394,85.588254,80
46.5,211,86.205254,30
78.0,344,86.889253,30
-69.5,59,87.400257,3
-3.5,164,87.985255,19
-75.5,65,88.509253,4
-67.0,63,89.025254,3
22.0,212,89.634253,33
33.5,249,90.270996,40
-37.5,116,90.842999,13
186.0,464,92.602995,108
-9.5,148,93.168995,17
-64.5,59,93.684997,1
-24.5,125,94.233997,11
-63.5,62,94.755996,2
-68.5,55,95.268997,2
-29.0,112,95.839995,11
-67.5,57,96.346997,2
-65.0,53,96.864997,2
10.0,177,97.446997,18
-69.5,51,97.953995,2
-26.0,117,98.499996,11
-33.5,102,99.036996,9
-14.0,143,99.59,13
-32.5,108,100.135998,10
-58.0,54,100.635999,1
-68.0,57,101.144998,1
0.0,212,102.704995,28
72.0,295,103.375998,55
155.0,447,104.122995,77
-21.0,103,104.652996,11
-63.0,47,105.160997,2
57.0,246,105.779995,39
-63.5,54,106.289996,1
-31.0,95,106.818995,7
-61.5,53,107.322997,1
-65.5,55,107.819996,1
-13.0,135,108.377996,14
-13.5,126,108.923996,10
-1.5,145,109.508995,15
-60.5,53,110.010998,1
-59.5,52,110.524997,1
127.5,370,112.246997,53
-21.0,108,112.787996,12
-31.0,114,113.334996,12
-59.0,53,113.833995,1
-8.0,164,114.399997,21
-6.5,148,114.957995,17
-61.0,52,115.467995,1
-59.5,50,115.973998,2
0.5,133,116.543996,14
2.0,156,117.125997,15
29.0,189,117.74,25
11.5,156,118.323997,20
-65.0,58,118.852995,3
-67.0,53,119.369996,2
30.5,228,119.994997,30
-63.5,51,120.506995,2
-25.5,94,122.038996,7
-58.5,52,122.569997,1
-39.5,102,123.099996,10
32.5,224,123.709995,33
182.0,461,124.455996,111
-21.0,99,124.989996,9
-65.0,54,125.489996,2
129.5,325,126.162996,55
-62.5,54,126.669996,3
-6.5,151,127.237995,17
-72.5,56,127.742997,3
-61.5,54,128.248995,2
349.0,693,130.133996,129
-14.0,114,130.693996,9
-61.0,55,131.212997,2
77.5,247,131.849997,42
-31.0,107,132.389996,10
-58.0,52,132.898995,1
-62.0,59,133.411996,3
18.5,163,133.985995,19
372.0,772,134.929996,156
-53.5,62,135.440997,2
-60.5,53,135.949995,2
-25.0,94,137.484995,7
-61.5,55,138.010997,1
-58.5,52,138.516995,1
167.5,363,139.216995,43
-61.0,55,139.729997,1
7.0,162,140.307996,15
-4.5,121,140.852998,10
-30.5,94,141.385997,8
35.0,186,141.988995,21
-62.5,56,142.501997,2
-61.5,53,143.010995,2
12.0,165,143.597996,20
-14.5,139,144.176997,1
69.5,238,144.818995,36
-56.0,56,145.348995,1
26.5,158,145.924995,16
-61.5,53,147.405996,1
-67.0,55,147.924995,2
-68.5,58,148.437995,3
-28.0,100,148.973996,9
23.0,165,149.890996,18
-35.5,98,150.436995,8
-63.0,48,150.942996,2
53.5,217,151.553995,32
31.0,184,152.141995,24
-31.5,95,152.675035,8
-68.0,51,153.189035,2
-67.0,54,153.703035,2
-9.5,127,154.259035,13
-65.0,52,154.769037,1
-65.5,54,155.276037,1
105.5,338,155.954036,48
-58.0,56,156.467035,1
-64.0,57,156.976035,2
117.5,319,158.660037,60
9.5,177,159.248037,2
-8.5,127,159.798036,12
-31.5,96,160.334037,8
-61.5,56,160.850037,1
-58.0,52,161.359038,1
21.0,163,161.933036,20
-61.5,52,162.432036,1
-9.0,127,162.976036,11
56.0,192,163.563035,26
20.0,166,164.133036,18
221.0,455,164.877035,73
-11.0,118,165.417035,11
478.5,975,167.485035,238
75.5,231,168.096035,31
-5.0,135,168.643036,14
-76.0,59,169.153035,3
-58.5,54,169.662035,1
-16.0,96,170.190036,9
-14.5,99,170.724036,8
-72.0,57,171.228036,1
83.0,243,171.863036,32
-59.5,55,172.367038,2
50.5,201,172.971035,21
68.0,205,174.601035,27
68.0,241,175.247038,9
-57.0,51,175.757035,1
-61.0,54,176.258035,1
-58.0,53,176.759035,1
82.5,260,177.389035,37
-60.5,54,177.887035,1
-61.0,53,178.384035,1
-61.0,53,178.883035,1
-31.0,94,179.414035,7
21.0,172,179.995036,20
-14.5,110,180.536036,11
-17.5,93,181.064035,7
307.0,628,182.890035,120
149.5,339,183.589036,62
116.5,292,184.243036,40
53.5,194,184.833037,29
-58.5,53,185.340035,1
-63.0,56,185.852036,1
-22.0,96,186.385036,8
89.5,276,187.027035,30
10.0,138,187.584035,16
29.0,158,188.154035,17
-27.5,96,188.687035,8
-58.0,54,189.194036,1
-62.5,58,189.707037,1
45.5,184,191.281036,22
-6.0,112,191.851035,11
-53.0,52,192.357035,1
31.5,160,192.930039,17
57.0,196,193.521035,24
52.5,201,194.117035,23
-23.0,103,194.652035,11
-55.0,52,195.158036,1
28.5,154,195.727035,17
40.0,174,196.307036,21
-11.0,107,196.849035,10
-23.0,99,197.382035,8
24.5,159,197.956036,19
-55.0,52,198.461035,1
89.5,237,199.081035,33
-11.0,105,199.617036,9
63.0,202,201.174034,24
-55.0,54,201.690035,1
-55.0,51,202.195035,1
-59.0,53,202.702035,1
-32.0,95,203.235036,7
-64.5,47,203.739035,1
-57.5,52,204.244035,1
59.5,184,204.834036,20
-55.5,51,205.341037,1
95.0,225,205.956036,28
-60.5,53,206.463035,1
2.0,114,207.005036,10
-21.0,93,207.541035,7
34.0,159,208.113035,17
21.5,155,208.681035,17
-24.0,95,209.212035,8
174.5,380,209.916037,61
-13.5,105,211.417036,9
-58.5,54,211.939035,1
73.0,222,212.542035,31
-59.5,53,213.046035,1
-11.0,110,213.582038,10
-30.0,96,214.105035,8
45.0,183,214.685035,21
29.0,161,215.246036,18
172.5,332,215.914036,60
37.0,161,216.490035,18
77.5,264,217.125036,28
-31.0,97,217.660035,8
-6.0,114,218.206036,9
99.5,249,219.79004,33
35.5,171,220.378037,18
-55.0,54,220.886035,1
-6.5,104,221.423035,7
105.0,282,222.067035,50
-64.0,53,222.575036,1
-59.0,52,223.079035,1
-20.5,94,223.609035,7
183.5,341,224.292035,39
-21.0,93,224.823035,7
145.5,336,225.501035,62
88.0,262,226.136035,35
34.5,159,227.653038,17
110.0,260,228.296036,41
35.0,151,228.864036,17
32.0,153,229.433035,17
-23.0,94,229.963035,7
34.5,153,230.530035,17
37.5,150,231.094037,16
-56.5,52,231.600035,2
13.0,139,232.161036,16
-18.0,94,232.694035,8
-6.5,100,233.229035,8
89.5,229,233.846037,27
250.0,425,235.534037,78
107.5,273,236.181036,51
-20.5,97,236.712035,9
25.5,157,237.275035,19
31.0,178,237.857035,20
36.5,151,238.423037,16
77.5,232,239.034036,23
-5.0,115,239.579035,10
-61.5,54,240.085036,1
-1.0,121,240.631035,13
-58.0,52,241.130035,1
38.0,168,241.697035,22
9.5,137,242.254036,16
34.0,151,242.809036,16
-55.0,53,243.316036,2
-11.5,101,243.852035,8
90.5,239,245.414034,31
216.0,427,246.143036,88
-53.5,51,246.641035,1
-3.0,109,247.172035,9
-60.0,53,247.671035,1
29.0,151,248.232035,16
28.0,156,248.791036,19
-6.0,106,249.325035,9
-6.0,114,249.860036,10
-15.5,93,250.390035,7
56.5,189,250.971037,28
48.0,181,251.548036,19
-3.0,105,252.087035,9
30.5,150,253.618037,16
231.5,378,254.330036,53
-7.5,103,254.869035,9
-17.5,95,255.404036,8
82.5,231,256.019035,32
40.0,169,256.596035,16
-7.0,100,257.131037,8
-56.0,51,257.635036,1
-11.0,105,258.164036,9
-4.5,114,258.700035,9
35.0,161,259.270036,20
-56.5,54,259.778035,1
34.0,152,260.344036,16
42.5,159,260.914038,17
66.0,188,262.464035,20
-53.0,52,262.979037,1
-11.0,100,263.514036,8
-7.0,100,264.047036,8
359.5,586,264.878035,142
-15.5,93,265.400035,7
-5.5,107,265.938037,9
44.0,153,266.50604,17
223.0,414,267.223035,73
-5.5,99,267.755035,8
-1.5,112,268.290035,9
-20.5,94,268.820036,7
47.5,177,270.357034,21
155.0,306,271.026035,43
-19.0,94,271.557035,8
358.0,542,272.363035,98
2.0,115,272.909036,10
-6.5,102,273.446035,9
41.0,159,274.009035,18
-5.5,111,274.553035,9
-2.0,103,275.409036,9
-53.5,51,275.916036,1
30.5,159,276.488037,16
-6.5,107,277.026035,9
1.5,116,278.558034,9
-4.5,100,279.117035,8
-19.5,93,279.651036,7
-4.0,97,280.177035,8
-55.0,54,280.683036,1
-5.5,101,281.215037,8
-56.5,50,281.720035,1
37.5,152,282.286035,17
58.5,181,282.869035,21
-4.0,97,283.401037,8
-55.5,51,283.906035,1
97.5,225,284.522037,23
-13.0,96,285.058035,9
31.0,154,285.624035,17
-6.0,104,286.161036,9
33.0,159,286.724037,17
-5.0,100,287.260035,8
-9.0,99,287.792035,8
35.0,153,289.298037,17
-6.0,105,289.854036,9
3.0,115,290.398035,10
-14.5,97,290.931036,8
122.5,252,291.558035,33
26.5,153,292.127036,17
39.0,165,292.702037,19
39.5,160,293.271036,18
35.5,152,293.830035,17
34.0,150,294.388035,16
158.0,284,295.034035,30
-57.5,53,295.539035,1
-19.0,94,296.066036,7
-2.5,102,296.601035,9
-2.0,103,297.135037,9
179.0,319,298.772036,50
-1.5,105,299.313036,9
-1.0,104,299.850035,9
-6.5,102,300.390035,9
69.0,195,300.984035,24
-2.5,105,301.521036,9
-55.5,51,302.024035,1
-1.0,108,302.565038,9
