#{"t_start": 1707506149.7445252, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-143.0,293,0.307,31
-151.5,372,0.629001,4
-239.0,668,1.201,4
-263.5,1201,3.34811,5
-102.5,352,3.684109,29
-149.5,888,4.31411,24
-94.0,521,5.91921,18
-93.5,428,6.31121,13
-113.0,1079,7.113281,108
-78.0,478,8.704376,51
-93.0,125,8.877376,11
-83.0,67,8.986376,5
-59.5,218,9.214376,29
191.0,1944,11.896375,156
27.0,346,12.184375,50
-74.5,59,12.288375,4
-86.5,59,12.395377,3
-78.5,60,12.507375,2
-73.5,68,12.625448,4
-75.5,69,12.764448,3
-85.0,68,12.877447,4
45.5,393,13.198447,69
-24.5,218,13.405447,22
-78.0,63,13.511446,4
163.0,731,15.297495,135
-14.0,204,15.495495,3
-30.5,175,15.680549,18
32.5,353,15.989549,49
-75.5,68,16.125549,3
92.0,569,16.616604,70
-80.0,63,16.723606,3
-14.5,173,18.060686,24
252.0,761,18.624686,139
-74.0,60,18.734686,3
-73.5,61,18.845686,4
23.5,288,19.097686,18
-64.5,54,19.199686,2
79.5,404,19.522685,74
-8.0,156,19.699687,15
-33.0,141,19.861687,16
-6.5,165,21.179733,18
-73.5,59,21.310733,3
-71.0,58,21.422732,3
-70.5,63,21.557733,3
47.5,319,21.864733,56
-70.0,49,21.976732,2
-73.0,67,22.106733,4
-32.5,139,22.279733,12
46.0,279,22.564734,40
-69.5,56,22.675735,2
-52.0,107,22.844733,11
-66.5,56,22.950733,2
-66.0,54,23.053733,1
-77.0,64,23.163734,3
-41.5,149,23.326735,4
34.0,255,23.565733,27
146.0,476,25.272779,56
-37.0,107,25.41778,9
18.5,236,25.66485,3
-25.0,163,25.85685,19
-45.5,98,26.042849,8
-32.0,118,26.24585,11
-68.5,51,26.38585,2
-65.0,47,26.52185,2
-33.5,133,26.728849,13
-63.5,73,26.887849,6
11.5,212,27.147849,25
-72.0,66,27.26085,5
-63.5,69,27.397849,4
-13.5,164,27.603914,22
-74.0,66,27.723914,3
-59.5,63,27.844914,3
-74.5,56,29.081916,2
7.5,157,29.291914,21
114.0,330,29.573003,44
160.5,403,29.891915,93
-30.5,99,30.045914,9
-62.0,69,30.163915,3
-69.0,69,30.281914,5
-60.0,57,30.385914,1
208.0,547,30.842914,111
-71.5,61,30.953914,2
80.5,294,32.489913,50
154.0,373,32.825914,44
29.0,179,33.007913,24
45.5,201,33.200913,28
-62.0,60,33.306913,3
48.0,233,33.535914,36
-65.5,54,33.648914,2
112.0,310,33.928915,53
84.5,265,34.196913,35
-10.0,129,34.367913,13
-31.0,95,34.508914,9
-23.0,95,34.638914,8
70.0,250,36.038913,40
27.0,176,36.236914,21
47.5,185,36.457913,21
51.0,226,36.706913,1
49.0,201,36.931913,31
-5.0,139,37.091913,13
-65.5,57,37.214913,3
-60.5,49,37.342913,1
-26.0,98,37.474913,9
-30.5,101,37.616913,9
22.5,159,37.784913,16
-59.0,54,37.886913,1
-66.5,55,37.988913,2
-22.0,94,38.118913,7
-31.0,95,38.256913,7
20.5,164,39.590913,19
113.0,280,39.862913,28
228.0,444,40.220913,42
-57.5,52,40.320913,1
-28.0,93,40.446913,7
-11.5,115,40.590913,9
-11.0,114,40.742913,9
-53.0,52,40.852914,1
26.5,154,41.019913,15
96.0,243,41.245913,36
-30.5,95,41.380914,8
38.0,176,41.586987,25
-22.5,93,41.741987,7
-67.0,57,41.883989,3
4.5,132,43.172987,15
148.0,290,43.468988,50
-56.0,51,43.571989,1
-33.0,96,43.713986,8
-65.5,64,43.824986,3
-10.5,118,43.997987,10
41.5,178,44.203988,19
81.0,237,44.423986,42
-61.5,72,44.535987,6
-22.5,101,44.670987,10
-23.5,94,44.796987,7
-25.0,94,44.923987,7
10.0,128,45.072988,13
-4.0,131,45.224988,12
-18.0,94,45.352988,8
-62.0,54,45.453988,1
121.0,275,47.044987,43
84.0,228,47.279986,26
-20.5,98,47.411987,10
-32.5,95,47.546987,7
165.0,331,47.824987,62
-63.5,54,47.929987,2
-57.5,52,48.029987,1
-4.5,102,48.177988,9
148.0,302,48.462988,46
-29.5,94,48.614988,7
-64.0,52,48.715988,2
124.5,276,48.955986,36
7.0,131,49.104989,14
276.5,459,50.628987,96
-53.5,51,50.754987,1
143.5,273,51.002987,47
-55.0,52,51.106987,1
274.0,460,51.519987,106
-21.5,94,51.672987,8
-23.5,94,51.807987,7
118.0,247,52.065987,31
-14.5,99,52.199988,9
-56.0,52,52.301988,1
134.5,271,52.540987,44
82.5,199,53.890987,28
-53.0,54,54.003986,2
-15.0,101,54.149987,9
-55.0,51,54.251987,1
159.0,303,54.520988,54
90.5,234,54.738988,31
39.0,152,54.902988,15
175.5,307,55.187987,43
35.0,154,55.364988,15
36.0,155,55.532986,16
-18.0,93,55.659988,8
-3.5,105,55.796988,9
-16.5,93,55.925987,7
-14.5,105,57.283987,9
-10.5,102,57.454987,9
-1.0,107,57.604986,9
-60.5,53,57.705987,1
-16.0,94,57.833987,8
-12.5,99,57.976987,8
-12.5,107,58.112987,11
200.0,377,58.422987,77
22.5,149,58.607986,17
-56.5,51,58.716987,1
-52.0,51,58.831988,1
-18.0,93,58.964988,7
-1.0,125,59.113986,11
-18.0,94,59.241987,8
