#{"t_start": 1712795152.8041952, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-11.9,387,0.730038,27
-40.0,248,1.362038,15
-25.3,306,2.027066,0
171.2,1083,3.171107,42
738.4,2483,7.190257,195
308.2,982,8.276294,132
73.1,411,9.008328,47
-49.0,152,9.58636,11
199.7,562,11.412408,129
41.7,269,12.061434,46
47.6,301,12.732459,41
94.7,399,13.460461,39
531.3,1141,15.626459,309
55.7,268,16.275459,41
-62.8,75,16.80497,5
-67.1,66,17.31797,2
200.8,504,18.11297,99
339.1,704,20.067967,92
-65.5,63,20.59997,2
-63.6,58,21.11997,1
-65.0,54,21.63697,3
-59.6,68,22.16297,4
-67.5,56,22.67397,2
3.5,150,23.25597,19
-57.3,68,23.78197,4
-64.2,55,24.291972,2
-28.9,118,24.840982,12
45.6,232,25.46898,35
-66.0,65,25.992027,3
-66.4,55,26.502028,2
-55.9,70,27.041055,2
-60.9,63,27.578086,4
-65.2,60,28.100086,3
-41.8,88,28.643599,6
-61.7,61,29.167599,2
-64.0,61,29.693623,4
231.4,480,30.474623,110
8.0,164,32.151704,22
9.5,164,32.750772,21
158.6,375,33.469772,85
-2.3,134,34.041774,14
81.2,267,34.692771,44
161.8,384,35.416771,8
160.8,380,36.138793,67
-59.4,54,36.662793,1
-60.6,60,37.190791,3
117.7,321,38.899303,63
-66.1,54,39.424303,2
0.3,155,39.999815,16
-70.4,58,40.530335,3
-63.8,52,41.051336,2
183.8,441,41.815849,81
9.3,172,42.411848,20
-62.2,63,42.938356,4
-23.6,112,43.495356,11
-56.5,63,44.021869,3
-61.7,54,44.543388,2
-64.9,53,45.063388,2
15.2,186,45.665901,20
-61.7,53,46.188901,1
-28.6,118,46.751413,10
-36.5,103,47.296413,9
-54.3,64,47.825411,3
-66.7,56,49.459414,2
-64.7,59,50.008412,2
-56.7,63,50.536412,4
29.7,212,51.157413,27
97.7,294,51.831412,42
-68.2,54,52.344413,1
105.6,330,53.034421,42
1.4,143,53.604423,16
59.0,261,54.259423,9
-66.1,68,54.780435,4
-59.5,60,55.292436,4
-65.2,53,55.809461,2
-62.1,56,56.326461,1
-62.9,60,56.846462,2
41.8,241,57.482461,39
-63.7,59,59.003978,3
-62.5,51,59.52998,2
-58.7,62,60.051489,4
-3.1,158,60.633997,15
26.6,189,61.232997,19
-52.6,74,61.764506,5
-6.5,133,62.332505,13
20.2,188,62.930014,25
-7.7,144,63.503014,13
-65.5,57,64.014031,3
-66.9,57,64.535031,3
-52.8,72,65.059031,5
-65.6,57,65.577544,1
-3.3,147,66.153544,10
269.9,543,66.977089,110
275.2,521,68.793193,106
-23.9,107,69.343193,10
-58.5,62,69.866217,4
315.4,616,70.719251,29
-58.6,63,71.240251,3
-31.0,109,71.795251,9
-57.9,65,72.316251,4
-26.4,95,72.859762,8
-61.9,61,73.382762,3
-61.4,65,73.906273,4
-63.7,59,74.428272,2
-57.5,64,74.945784,3
-60.9,55,75.463783,2
-29.3,100,76.007293,9
-60.7,62,76.530293,3
-29.9,95,78.091335,8
-51.1,64,78.640843,3
-15.2,111,79.195843,11
8.3,173,79.784351,18
-63.8,66,80.312351,4
-62.8,61,80.835859,3
-65.3,46,81.350859,2
-56.3,62,81.875366,2
-25.1,108,82.422367,12
76.2,252,83.065878,4
-64.8,60,83.584388,3
-61.3,56,84.102387,1
-0.7,152,84.680897,17
-7.3,128,85.245896,12
149.4,353,85.936404,4
9.4,156,86.517404,16
74.5,244,88.106426,37
13.1,154,88.705939,21
114.1,288,89.36994,44
-55.2,54,89.890448,2
-58.4,54,90.403447,1
-56.4,55,90.918979,2
-22.0,111,91.470979,13
92.9,275,92.122979,57
225.8,452,92.883489,41
-2.8,159,93.460489,21
27.0,168,94.04,19
-20.1,106,94.90851,10
-1.0,146,96.472031,19
-50.5,77,97.008552,6
-52.4,66,97.525554,3
-62.2,70,98.048073,5
