#{"t_start": 1706373626.0475628, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
43.9,663,0.895999,22
-9.0,346,1.562999,11
-13.1,379,2.255002,19
210.2,1201,4.628998,2
6.0,317,5.300998,32
242.0,1154,6.486998,41
-43.6,181,8.084998,15
49.9,495,8.862998,33
42.9,389,9.573998,37
-63.7,79,10.09,7
11.1,309,10.741,38
-59.6,108,11.270999,8
-68.3,82,11.785,8
-41.6,175,12.352001,7
254.6,860,14.392008,94
178.1,627,15.332008,88
-71.3,72,15.840015,5
-46.9,108,16.374016,9
155.8,617,17.208017,103
-56.7,101,18.824015,10
20.8,255,19.500015,9
89.5,348,20.194988,51
-72.5,55,20.732987,2
223.3,647,21.642168,101
94.7,397,22.364167,45
-41.3,121,22.905166,13
-67.0,65,23.411165,4
-2.6,171,25.047165,23
-33.2,129,25.624166,13
63.9,261,26.302167,18
284.1,700,27.232318,85
-65.0,74,27.747316,5
-56.0,59,28.250315,4
-61.3,64,28.767316,3
-63.7,66,29.287318,3
181.6,471,30.079346,83
-61.6,68,30.622346,4
-67.0,71,31.179346,5
14.5,194,32.856344,27
-43.2,90,33.389346,6
105.3,302,34.029345,48
100.1,287,34.673347,46
-59.2,64,35.174345,2
55.2,230,35.774345,32
-64.4,55,36.263345,2
235.5,553,37.077345,117
13.1,173,37.645345,21
-22.7,122,39.203349,14
-53.3,73,39.766346,4
-48.7,78,40.289345,5
286.9,556,41.106346,125
-61.0,56,41.618346,2
95.0,282,42.259346,40
143.9,367,43.007348,56
264.1,496,43.779348,89
-16.2,124,45.503345,11
1.7,128,46.133347,10
104.7,276,46.828346,47
-26.1,106,47.391345,10
-18.1,114,47.929346,11
-53.1,62,48.454345,3
402.9,701,49.347347,147
-19.9,111,49.873345,12
1.4,137,50.420346,14
208.8,414,52.134344,66
58.2,201,52.737345,33
362.6,605,53.559346,97
-60.9,54,54.048347,2
550.4,901,55.051345,191
-56.6,63,55.548345,4
0.8,129,56.085345,12
-55.1,59,56.573347,2
-60.3,52,58.070347,1
-58.6,55,58.588345,2
12.2,142,59.135345,15
-64.0,59,59.628346,2
89.5,232,60.220345,35
-59.7,61,60.717345,3
165.0,344,61.386346,58
73.6,234,61.985345,3
165.9,328,62.638346,39
-58.1,53,63.119345,1
-54.6,51,63.606345,1
-20.0,96,64.120345,9
281.6,465,65.869344,60
-44.3,73,66.400346,4
-21.3,95,66.921346,8
-21.0,95,67.442345,8
-57.3,54,67.938345,1
11.3,138,68.486345,14
-29.0,96,69.012347,8
-56.4,54,69.508346,1
-57.0,60,70.011347,3
-51.3,59,70.514345,4
-38.5,85,71.028345,5
229.7,400,71.730345,85
-57.6,62,72.231345,4
-11.6,107,72.759346,10
-59.7,54,73.248346,1
12.0,141,73.792345,16
-20.6,94,74.320345,7
-52.5,52,74.811346,1
14.9,143,75.364345,14
