#{"t_start": 1708978226.4862776, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-510.238384,548,0.818999,17
40.240548,180,1.385,9
-4398.12138,765,2.306,8
-683.049269,350,2.971,0
71.17848,207,4.549,25
-117.643626,234,5.178999,9
-56.476733,916,6.164002,77
13.648633,161,6.717,13
3.000473,212,7.290001,7
17.378147,266,7.909999,7
-154.304318,762,9.829,77
-641.362733,1040,10.902999,36
-82.37539,977,12.938001,45
-1660.372545,1817,15.443,66
-66.010595,83,15.958999,6
369.872633,753,16.86,57
-679.367665,607,17.672001,25
622.123372,991,19.709999,134
753.94846,1622,22.114999,145
-48.408777,97,22.636999,10
18.288664,154,23.186999,24
541.881257,605,23.997999,101
427.183516,586,24.800001,70
-64.085551,86,25.309999,8
403.641762,602,27.105001,45
4.161798,208,27.685999,23
416.966171,490,28.435999,86
521.924791,584,29.236001,98
382.273555,482,30.970999,65
-58.272865,107,31.506001,5
533.056638,588,32.308,107
424.239942,671,33.163,84
504.932983,554,33.952999,115
505.465325,628,35.806002,107
-24.357872,113,36.332999,12
-7.139061,131,36.865001,18
604.079525,618,37.679001,146
402.014578,604,38.494007,86
60.358349,197,40.006999,19
-89.978107,62,40.518001,4
453.388991,514,41.283,105
-11.44864,138,41.820999,11
326.601246,409,42.512001,74
496.738891,537,43.277999,124
743.949988,757,45.153999,141
525.183382,542,45.935,149
859.954062,994,46.975002,156
55.580041,225,48.541002,15
-45.364771,100,49.070003,8
490.757419,530,49.835999,119
702.57514,694,50.695001,163
338.7019,407,51.397001,97
937.653916,930,53.367998,183
189.965176,312,54.011001,33
469.583551,511,54.770002,118
488.745758,517,56.505002,131
1063.499104,1003,57.562999,234
1418.396591,1298,59.805001,286
117.858627,246,60.408999,38
816.791473,770,61.315999,203
785.130644,766,63.210999,176
510.481247,547,64.014001,131
711.452385,695,64.877999,176
526.634159,554,65.652999,135
-81.239541,66,66.148999,2
82.345232,223,67.706999,29
610.333245,628,68.563,149
33.698231,162,69.109001,24
-43.531868,106,69.627001,10
740.911898,711,70.503002,183
1940.559243,1706,72.988999,396
812.113022,763,74.912,205
280.670153,430,75.63,65
348.433717,532,76.399,101
517.094152,539,77.249999,142
340.97142,418,77.944998,86
295.058276,375,79.593,86
476.019476,529,80.356999,113
198.042212,316,80.996,55
1088.619014,1003,82.999,257
844.974274,780,83.927999,226
801.739649,789,84.852001,207
1073.715785,984,86.905999,262
1838.384264,1606,89.309999,401
923.090352,866,90.289002,225
1010.290083,928,91.284001,244
2070.245045,1811,93.826,423
271.352198,367,95.470001,68
470.895974,654,96.321999,129
462.54787,495,97.069001,131
1412.734222,1273,99.265999,327
881.09825,831,100.207001,217
1823.158729,1658,102.618,370
1241.784325,1117,103.722002,290
106.758975,238,105.297999,36
153.461366,311,105.939002,49
486.616202,526,106.696999,118
863.444563,817,107.632999,213
1277.064501,1137,109.792001,299
2070.928912,2248,112.574315,464
-93.956529,58,113.057314,2
1130.429918,1009,115.082316,281
1900.260802,1613,116.485314,447
964.478044,913,118.489314,225
1931.527591,1692,120.970319,403
1675.083678,1484,122.298315,357
