#{"t_start": 1718642877.0673547, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
-2831.682627,975,2.385998,3,2
35.267479,210,3.041,34,1
-326.199457,194,3.663998,2,0
-3769.842469,1201,7.779001,5,10
-844.376785,497,8.869998,1,4
-116.391021,260,9.577998,21,0
-1.932423,279,10.304998,31,2
-223.640515,336,11.116999,10,3
-47.272112,127,11.676003,9,1
268.896744,474,13.733998,59,4
-87.823824,77,14.255,6,0
-146.093073,481,15.324002,18,2
-4193.638103,1201,19.451,21,13
-77.949809,81,19.968999,5,0
23.981768,201,20.603998,16,1
-12.719844,144,21.180002,19,0
-92.265037,66,21.689998,5,0
165.148285,419,22.641001,25,3
-83.126969,116,23.180999,7,1
-317.047864,207,23.826998,0,0
98.753149,292,24.577998,21,0
-31.701492,118,25.126999,10,1
1139.572426,1544,30.791001,150,15
-273.519996,166,31.406998,1,0
-73.408816,91,31.935998,6,1
-32.112764,172,32.542998,13,0
260.440208,492,34.638998,86,5
188.286813,442,35.646999,69,1
-90.93608,61,36.159998,4,0
-96.957593,68,36.659999,4,0
105.135795,339,37.473514,55,1
-87.73443,72,37.983516,3,0
641.584599,884,40.029514,166,6
460.054649,1563,45.709514,227,13
-70.525049,80,46.222515,7,0
-83.23404,83,46.742517,5,0
122.167788,151,47.319514,15,0
-100.244391,62,47.813517,2,0
662.552771,895,50.859514,165,5
-97.70847,69,51.365517,5,0
2.826772,196,51.989516,25,1
619.781148,836,53.908514,156,7
-95.932154,68,54.402515,4,0
-80.06179,69,54.908517,4,0
352.330323,575,57.127514,129,3
-96.153001,61,57.625514,4,0
2204.610622,1270,61.039514,272,8
523.831868,804,63.923516,163,4
295.176546,559,65.149514,108,3
371.138779,590,66.451514,91,4
604.914092,872,69.527516,197,7
-93.619558,68,70.031514,4,0
1430.608142,1514,75.482514,341,15
-83.507621,127,76.053514,5,0
1728.512347,1724,81.580515,344,21
46.032573,344,83.428517,33,1
519.288147,881,85.500514,125,9
484.006961,782,87.278514,163,5
288.39404,542,89.404514,97,3
-28.453262,240,90.087514,17,2
