#{"t_start": 1712249123.2388766, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1382.083688,931,1.065737,15
70.900894,246,1.695736,8
-38.961194,95,2.220735,3
-948.421764,865,4.233772,8
-1649.630542,609,5.092282,6
-368.000053,200,5.70828,0
-583.077733,310,6.370796,2
-392.913411,324,7.046312,0
-655.42559,671,8.935837,8
-3019.289517,1201,10.158881,7
-153.705543,112,10.70588,0
92.94487,231,11.31789,13
-218.516717,206,11.930898,0
-192.409916,255,13.578911,1
-421.200955,505,14.373922,1
-4449.527353,1201,15.572403,9
-7.970214,224,16.180411,4
-53.070171,138,17.777436,6
-423.064041,544,18.628436,1
-2413.530967,972,19.721444,9
-137.613321,285,20.39648,12
16.313734,147,21.95448,4
-148.380038,157,22.549493,0
-10.209197,151,23.119006,4
225.988968,337,23.792039,14
-212.602027,167,24.411046,1
-1301.468444,409,25.232083,3
-87.568331,168,25.812107,1
-1365.446741,572,26.742116,4
-334.688566,424,28.484202,21
18.000111,486,29.258726,11
-135.694265,168,29.824733,2
-286.576591,756,30.782248,22
-707.822009,699,32.858291,1
300.758064,404,33.580338,30
-3791.464915,951,34.649347,12
-407.730227,1470,37.052366,73
151.082076,262,37.683367,27
-1733.030615,638,39.615386,11
639.409766,693,40.530401,83
-63.215513,66,41.044351,4
38.94943,161,41.62335,16
605.869761,724,42.551361,82
-3.825718,124,43.098201,9
75.587203,201,43.693201,15
455.759052,532,45.499225,65
-63.815938,68,46.013232,3
0.077809,211,46.612232,17
-64.156761,65,47.124233,2
133.19386,389,47.841232,17
2149.292123,1946,50.5442,335
257.06197,331,51.214217,60
1459.673194,1324,53.53032,270
-67.088371,178,54.108347,6
427.290148,483,54.880347,77
-44.724432,82,55.411349,6
1423.858347,1271,57.743879,287
-60.823774,67,58.264396,4
234.129169,321,58.942396,55
115.578859,219,59.557396,38
-69.243055,61,60.075396,4
-43.141201,85,60.607396,7
-59.727431,69,61.132395,5
-71.766781,61,61.649398,3
-32.493621,96,62.183396,8
-73.055813,56,62.700396,3
57.935888,165,63.281397,23
1535.553574,1354,65.669575,319
12.858822,181,66.256572,12
0.029705,125,66.810573,9
-58.968746,70,67.324587,4
-63.62382,69,67.844587,4
135.255489,254,68.479586,21
57.149612,173,70.110596,20
-65.001226,66,70.648595,5
557.876525,585,71.484598,107
862.30315,850,72.485595,148
-68.248492,63,72.996595,3
-43.735541,85,73.523595,4
-51.96429,76,74.045595,5
2495.291701,2112,76.910595,534
-4.228146,119,77.460604,15
78.316767,326,79.196699,28
-47.433293,254,79.927697,15
-3.595349,193,80.528723,10
120.192394,222,81.143723,32
4045.602145,3315,85.810726,864
-41.406141,89,86.353726,7
86.405962,245,86.986726,26
190.550498,282,87.638726,46
2561.472281,2165,90.549759,531
209.836908,301,91.208769,47
-34.43505,95,91.740769,7
-2.301311,245,92.384773,20
353.138667,424,93.127785,66
176.614989,274,94.78783,36
1681.725131,1472,96.187837,349
920.766799,855,98.257837,203
548.232869,568,99.10784,112
1025.026837,922,100.159837,241
880.036541,817,102.198847,202
95.861426,215,102.805847,18
835.12175,815,103.783847,160
597.795274,581,105.680296,154
1024.476307,933,106.760322,231
-57.94055,73,107.291322,4
198.760154,289,107.952322,50
-49.345896,81,108.483332,5
1325.993226,1197,110.772929,285
324.944738,619,111.637059,99
131.573489,244,112.271579,31
242.119734,351,112.968587,31
119.656139,243,114.651713,28
-10.693151,115,115.226727,8
229.71032,419,115.972739,48
1.353069,120,116.53674,13
2878.495817,2470,119.623874,547
1345.058499,1220,121.932777,263
1266.700298,1161,123.146242,271
974.358562,902,125.256758,214
1395.499722,1236,126.511276,299
-27.127726,102,127.05919,9
970.508689,933,129.188751,228
279.201398,348,129.881751,70
1737.786281,1590,132.419059,318
1680.940698,1507,134.846087,312
999.361137,966,135.951098,170
1951.418978,1721,138.581135,367
1170.761912,1061,139.722986,250
2988.46773,2500,143.83211,630
1174.458763,1086,145.012121,258
353.142802,438,145.763155,49
934.411575,889,147.861752,181
1223.158247,1098,149.044751,266
1058.937316,953,151.20109,258
1665.800071,1466,152.615155,336
67.768872,188,154.251311,16
44.425346,167,154.868334,14
1179.190369,1103,156.053428,212
124.127699,237,156.677463,24
169.134369,271,157.316525,36
126.930104,242,158.946859,25
384.609239,443,159.716859,84
4.407824,176,160.298876,8
1331.099491,1173,161.498068,298
1389.509411,1233,163.804084,294
1723.043686,1519,166.341126,342
3389.87511,2873,169.681123,651
-57.340393,71,170.193123,4
2343.271361,1982,172.912141,497
-64.31461,68,173.42314,3
-53.600301,76,173.945141,5
173.086527,321,174.611778,30
-18.849006,107,175.146547,11
1566.013428,1347,177.481586,357
2661.913268,2222,180.314111,576
3160.885604,2694,183.457564,662
380.198614,445,185.217586,78
2811.572467,2372,188.207964,586
-4.058585,120,188.752974,12
1320.083806,1127,189.918981,331
2544.621432,2093,192.685008,591
49.780204,179,194.304006,13
2339.766276,1919,197.003597,558
3195.081933,2615,200.154742,716
2252.738048,1866,202.831335,525
2841.874749,2320,205.778385,661
3332.902813,2761,208.972384,713
3450.768662,2888,213.247359,705
3242.253836,2630,216.380738,751
2475.563228,2030,219.15074,588
3644.794059,2984,222.468777,800
4248.783782,3555,227.196995,833
5689.039181,6130,234.533184,971
3592.212166,2964,238.861041,769
4400.184614,3705,242.654062,831
30.519175,149,243.218062,19
3653.790946,3069,247.690603,726
3.919729,128,248.244115,14
3922.953225,6219,255.653203,922
5970.190402,5430,262.503196,966
3489.713975,2869,265.78548,763
4708.70549,4175,270.851119,859
3930.032917,3259,275.403335,810
5298.242152,5105,281.058365,997
5968.252141,5207,287.870419,1000
3622.7,2991,291.212039,770
4993.59805,4218,296.376046,916
4773.836578,3992,301.355098,922
173.27775,279,301.996098,34
2407.709105,1945,304.691595,602
2738.015764,2250,307.569195,626
1800.499335,5742,314.606,941
1018.087859,5251,321.48209,774
-194.445839,4573,326.814787,710
3101.526822,2561,329.923342,683
3059.235684,6651,337.614087,915
2276.986827,1860,340.269138,558
4128.093909,3471,344.897708,798
3517.68111,2906,348.196458,751
4713.444995,4560,354.690526,894
3284.36889,2734,357.853373,689
-67.764142,64,358.36327,4
4583.494729,4110,363.392493,810
4016.888559,9645,374.956997,1000
2943.835375,2486,377.963079,599
3033.765698,8395,387.6785,848
4580.961079,6525,395.240453,1000
2127.205927,1730,397.831,538
5925.0741,6093,405.117241,1000
2600.710593,2118,407.902297,618
2565.704035,2094,410.682394,611
6188.362359,5789,417.810614,1000
2158.378593,1752,420.41116,546
37.968133,158,420.983159,16
