#{"t_start": 1706289541.6862822, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1898.003707,1201,1.184998,4
-43.954374,313,1.826998,35
-196.997592,107,2.338998,0
-139.764194,105,2.851998,0
2.435134,136,3.388998,6
135.644087,248,4.924998,27
-727.090048,430,5.673998,0
90.547393,221,6.256001,16
-1210.252953,1201,7.416998,36
187.962727,349,9.040998,25
-17.023451,112,9.579998,8
280.994239,405,10.278998,25
-12.973123,171,10.837998,12
218.961411,443,11.555999,20
-861.336332,868,13.483998,33
-34.340979,89,14.004997,9
143.664751,303,14.637998,26
-21.993501,107,15.157998,10
143.948332,249,15.767998,37
78.505467,226,16.360998,17
-76.0042,119,16.897998,5
43.409996,167,17.455998,13
99.901766,282,18.084998,15
790.794136,1015,20.106998,103
455.67311,504,20.844998,91
-57.783075,69,21.346998,4
498.050904,581,22.148998,85
-34.184433,99,22.661998,9
247.34743,365,24.343998,26
107.361436,223,24.940998,18
-19.055118,108,25.461998,8
620.132184,688,26.324998,80
165.808093,283,26.957998,22
-38.079025,85,27.459998,9
66.898134,176,28.017998,24
675.084877,690,29.887998,122
-41.064324,87,30.391998,5
879.677578,898,31.374998,118
512.42284,945,33.370998,78
417.872031,484,34.121998,74
1170.120162,1291,36.349998,145
31.65732,149,36.920998,18
-69.358401,61,37.418998,3
10.978386,136,37.956998,16
165.689319,268,38.573997,32
65.62129,195,39.149998,13
-29.759886,100,39.661998,8
-52.233587,77,40.164998,4
-55.426324,74,40.669998,3
-37.593448,103,41.195998,9
-48.375881,81,41.697998,6
-61.094314,65,42.201998,4
-54.722751,77,42.699998,5
-59.676514,71,43.205998,3
635.65734,641,44.989998,135
-43.98452,89,45.519998,4
1016.598177,960,46.536998,194
-19.789655,113,47.060997,11
1341.47952,1273,49.273998,203
237.478696,326,49.938998,52
927.84241,913,50.936998,151
348.254554,423,52.592998,67
948.002668,904,53.598998,175
-15.478984,114,54.116997,9
957.538251,892,55.092998,196
1195.254578,1115,57.184998,212
834.063958,823,58.127998,146
269.347308,348,59.776999,63
1260.267884,1225,60.972998,181
51.035994,163,61.528998,27
1101.779421,1077,63.598998,164
1044.359348,997,64.670998,187
1143.060807,1081,66.804998,199
941.106732,899,67.794999,182
266.448522,351,68.463998,52
9.260135,130,69.003998,14
133.42255,980,71.079998,82
28.365409,156,71.617998,15
832.63225,791,72.536999,177
104.114744,381,74.207999,26
415.342459,465,74.948998,85
286.554462,373,75.625998,49
325.657528,393,76.306,68
479.699316,529,77.065998,87
-12.094359,115,78.571002,9
490.212193,550,79.355998,75
156.390181,260,79.960998,32
376.883894,449,80.674998,64
253.423691,330,81.319998,60
-31.473004,97,81.825998,8
-30.980475,97,82.336998,6
-16.747522,113,82.848998,9
153.177442,241,84.402998,44
677.626823,687,85.280998,126
1151.656983,1061,86.356998,231
562.21528,605,88.139997,99
600.161413,625,88.965998,113
812.29621,936,89.976998,146
635.195357,656,91.802998,116
667.915404,668,92.659998,131
1266.360336,1148,94.775999,254
757.874319,736,95.671998,159
467.652168,530,96.447998,74
-23.965062,103,96.969998,9
1112.544524,1065,99.046998,196
947.738334,904,100.032997,178
344.846371,405,101.714998,79
1205.422403,1126,102.853998,216
746.596311,749,103.763999,128
1508.438541,1357,105.975998,297
1906.452834,1932,108.585001,291
1303.500121,1180,110.729998,260
257.060459,341,111.397998,54
39.5551,159,111.952998,17
576.40174,609,112.766998,103
396.102545,451,113.491999,85
-51.959249,77,113.998998,5
1493.601356,1455,116.280998,276
1074.143359,992,118.309,220
76.769281,201,118.901999,15
1284.895222,1180,120.052997,242
1141.390968,1078,122.134998,226
901.822955,833,123.084998,205
1406.908967,1311,125.286998,235
1065.985972,998,126.330998,206
43.219101,159,126.888998,21
-12.338661,112,127.412999,8
2317.718475,2167,131.117998,353
26.260242,147,131.675998,13
36.32197,155,132.223998,17
26.815621,153,132.769997,8
1698.375804,1533,135.078998,302
-66.934552,61,135.598998,3
705.791867,695,136.460998,142
1304.509282,1223,137.633998,271
1835.291637,1680,140.057,293
82.285709,204,140.637998,14
1775.45297,1646,143.022998,274
75.555138,196,143.602998,14
84.103691,203,144.183998,16
-44.732781,91,144.696998,6
-41.331698,88,145.206998,6
268.327958,348,146.835998,68
1395.709325,1244,148.013,294
21.987696,155,148.565998,9
-29.677575,100,149.073998,8
1274.841841,1140,151.167998,270
-52.398741,82,151.677998,5
507.51267,544,152.454998,97
-49.624765,83,152.951998,5
-28.438317,99,153.455998,9
-22.413954,105,153.967998,8
1115.217367,1060,156.014998,242
1939.462839,2591,158.943998,468
597.093134,621,159.760998,113
