#{"t_start": 1708958257.2260628, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-266.638384,548,0.609519,17
58.640548,180,0.983701,9
-3908.52138,765,1.643369,8
-414.249269,350,2.112533,0
94.77848,207,3.791643,25
111.808301,254,4.25502,19
181.98747,292,4.713338,25
-67.85038,555,5.302932,25
848.773697,1136,7.209431,68
-17.533848,404,7.724657,43
-49.806288,87,8.079934,6
-1881.63441,906,8.857949,16
-1480.958645,971,11.117658,49
241.429863,316,11.586236,53
-143.706203,117,11.949849,1
135.031489,250,12.40026,20
-18.232072,395,13.172423,29
-96.008859,98,13.529093,0
144.902817,268,13.998209,25
-356.870858,133,15.497275,0
293.662687,486,16.054554,63
346.924783,484,16.617783,48
161.749787,718,17.319985,67
148.838913,274,17.775344,31
89.780233,208,19.307896,19
44.823987,170,19.692437,14
438.961586,503,20.248599,79
216.261344,388,20.738898,49
260.476302,375,21.208114,35
-47.137294,83,21.563532,7
137.735874,242,21.993025,34
403.869921,441,23.565098,103
-60.387621,69,23.877735,4
172.631764,268,24.279576,41
-67.931275,64,24.608742,4
219.968639,318,25.049092,41
592.938347,633,25.678832,99
-57.646473,72,26.038611,5
188.849728,281,26.478678,47
360.745343,418,28.002413,79
0.66402,127,28.413227,10
-64.255187,65,28.735632,2
440.758559,527,29.303788,55
289.41351,364,29.780728,62
730.618811,793,31.516214,105
527.646435,573,32.143131,111
123.711366,222,32.546473,29
552.455872,593,33.129406,96
70.172663,194,33.519028,21
433.619407,467,35.132011,106
-14.454564,327,35.603916,32
136.182251,231,36.013954,39
-55.15364,71,36.335778,4
321.931923,551,36.941728,55
222.76626,308,37.406487,47
-5.378693,152,37.774645,14
597.747729,678,39.617188,127
-164.521462,80,39.977517,0
932.499825,838,40.700687,233
666.064713,657,42.309118,139
900.590648,851,43.008888,230
1089.380445,990,43.792455,236
420.787842,453,45.329843,102
331.941918,551,45.902814,42
730.731026,690,46.52789,183
763.85348,719,48.171402,192
580.247932,574,48.729828,143
551.769012,553,49.275447,136
186.209801,462,49.778564,32
586.729928,578,51.351486,162
747.361878,702,51.969923,179
-60.97098,68,52.29197,4
-187.62376,222,52.668505,3
475.377896,502,53.176611,123
929.506608,830,54.907344,230
885.820897,801,55.575782,217
759.525202,719,57.29919,177
-45.423634,85,57.616928,5
555.895032,608,58.169617,142
611.371492,592,58.746157,161
1084.971319,961,60.512256,258
97.574903,207,60.887056,25
-32.245157,100,61.223006,9
62.303836,175,61.579431,20
-37.288155,91,61.910333,5
61.698758,174,62.268849,26
1043.0371,1042,63.034281,268
888.499745,806,64.754475,215
426.935583,451,65.24471,113
661.765686,634,65.825421,181
859.556878,776,67.498147,217
561.346708,549,68.065535,145
798.303929,737,68.74338,199
-44.104542,81,69.091771,5
713.287001,676,70.839674,169
