#{"t_start": 1706380280.0195246, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-10.0,820,0.969001,15
-197.5,479,1.718001,8
-91.0,130,2.245001,7
-88.0,182,2.804002,2
-99.0,342,3.466001,14
90.0,756,5.332002,20
-58.0,67,5.825001,4
10.0,246,6.423001,19
-43.0,80,6.924001,3
609.0,1725,9.380001,143
69.0,291,10.002003,5
68.5,296,10.635001,33
112.0,335,11.283002,59
23.0,382,11.967001,21
112.0,328,13.622,31
-60.0,61,14.107001,4
162.0,414,14.805001,77
-51.0,68,15.295001,4
18.0,161,15.839001,20
-51.0,71,16.329001,4
133.5,336,16.982002,28
209.0,456,17.706002,61
-52.5,67,18.187001,2
-51.0,64,18.677001,3
5.0,161,20.214005,9
-8.0,153,20.784004,18
-68.0,69,21.284001,4
87.0,276,21.907001,36
-50.0,77,22.410001,5
597.0,1036,23.481001,215
-58.0,60,23.967001,3
11.0,133,24.497001,12
-11.5,137,26.024,17
-67.5,62,26.523001,3
-55.0,70,27.015001,2
-56.0,52,27.496001,2
-54.5,57,27.986001,2
-64.5,58,28.469001,2
-58.0,60,28.956001,2
-52.5,72,29.446001,5
-50.0,63,29.937001,2
-49.5,63,30.426002,2
-26.5,96,30.926001,7
-46.0,60,31.405001,2
299.0,526,32.165001,97
-23.0,128,32.692001,5
386.5,673,34.486,119
-48.0,61,35.007001,2
25.0,166,35.553001,2
137.5,280,36.173001,30
-40.5,94,36.679001,9
-52.0,59,37.166001,2
-53.0,57,37.651001,2
-0.5,148,38.189001,5
-49.0,68,38.681001,3
599.0,946,39.696001,134
-55.5,59,40.182001,3
-51.0,63,40.671001,2
-50.0,63,42.144,4
-55.0,64,42.653001,4
-50.0,64,43.143001,2
-39.0,90,43.645004,8
-54.0,60,44.130001,3
-58.0,65,44.616001,4
-52.0,84,45.119001,4
-52.0,67,45.608001,4
-54.5,63,46.091001,4
511.0,810,47.019001,149
-59.5,60,47.506001,2
-16.0,152,48.044001,7
-41.5,84,48.542001,4
-49.0,69,49.036001,5
-55.0,79,49.531001,6
648.0,1030,51.584003,147
-54.0,55,52.068001,1
-59.0,62,52.555001,4
-57.0,65,53.042002,4
-60.0,54,53.521001,3
-52.0,58,54.002001,2
-56.0,54,54.486001,1
-55.5,63,54.976003,4
277.0,524,55.733001,27
-54.0,53,56.220001,2
-23.0,118,56.746002,12
-52.0,78,57.244001,4
-47.0,73,58.717,3
-46.0,77,59.229001,3
117.0,297,59.854001,40
-58.0,60,60.334002,2
-54.0,58,60.816001,2
-55.0,61,61.304001,2
6.0,168,61.851001,3
42.0,170,62.401001,16
314.0,594,63.210001,77
-59.0,59,63.693001,2
-11.0,131,64.220001,13
-55.5,66,64.712001,4
45.0,209,65.288001,30
-56.0,59,65.775002,3
-42.0,98,67.244002,9
-57.0,66,67.745001,4
122.0,303,68.386001,41
-41.0,86,68.892,5
-70.5,65,69.391001,4
-52.0,60,69.877001,2
-52.0,67,70.370002,3
-37.0,88,70.871001,6
300.0,521,71.639001,100
82.0,263,72.253001,32
-56.0,80,72.757001,6
26.0,179,73.316001,11
28.0,202,74.86,3
86.0,268,75.502001,7
-46.0,61,75.993001,2
-52.0,61,76.485003,2
-50.5,61,76.981001,3
-49.0,74,77.484,4
-42.0,94,78.003,7
-47.0,83,78.511001,7
221.5,417,79.222001,75
131.0,319,79.863001,15
259.0,454,80.594001,80
-42.5,90,81.092001,7
187.0,377,82.772001,63
-46.0,76,83.271002,5
-52.5,69,83.766001,4
384.0,608,84.591001,103
-58.0,50,85.067,2
-47.0,74,85.563001,4
-37.0,90,86.070001,6
-46.0,80,86.563001,4
-53.5,62,87.054001,3
478.5,749,88.930001,134
-48.0,78,89.449001,6
-43.0,67,89.940003,2
60.5,203,90.511001,19
88.0,300,91.146001,15
-56.0,68,91.639001,3
-51.0,75,92.137001,6
-20.5,118,92.662004,12
110.0,296,93.295001,43
-47.0,73,93.791003,4
385.5,599,94.605001,102
61.0,201,96.179001,2
-54.5,76,96.684001,6
85.0,246,97.283001,32
21.0,209,98.043001,18
393.0,649,98.892001,60
-34.5,94,99.409003,9
367.0,601,100.225001,100
-1.5,196,101.808003,19
-58.0,62,102.304001,4
177.0,387,102.981001,73
415.0,714,103.857001,111
21.0,209,104.431001,16
508.0,810,106.354001,112
344.5,573,107.150002,128
349.0,571,107.939001,115
730.5,1036,110.009001,215
-3.0,160,110.556001,20
117.0,311,111.199001,38
-44.5,83,111.701001,4
275.5,593,112.517001,8
7.0,177,113.084001,11
123.0,310,114.701,35
130.5,308,115.367001,45
560.0,783,116.288003,46
331.0,531,117.059001,73
278.0,452,118.762,87
-20.5,125,119.309001,13
193.0,362,119.980001,45
261.0,438,120.688001,79
180.0,336,121.344001,53
402.0,603,122.160001,127
63.0,223,123.704,30
-43.5,84,124.217001,5
2.5,154,124.750001,21
605.0,839,125.706001,166
86.5,254,126.310001,16
-35.0,107,126.821001,10
-49.0,63,127.306001,2
-42.5,88,127.809002,6
285.0,471,129.500003,87
-27.5,105,130.032001,9
158.0,333,130.689002,6
232.0,404,131.380001,65
-42.0,86,131.878001,5
243.0,420,132.591001,53
-41.0,81,133.089001,5
135.5,297,133.714001,32
330.5,565,135.518002,76
151.0,328,136.155001,51
309.5,518,136.918001,47
140.5,314,137.562001,47
213.5,381,138.241001,49
-52.0,61,138.732001,2
122.0,288,140.327,46
289.0,471,141.074,92
-47.5,63,141.565001,3
525.5,749,142.465001,139
336.0,514,143.223001,108
81.5,249,144.804,30
183.0,359,145.485001,58
183.0,353,146.144001,38
455.5,698,147.015001,113
307.5,500,148.743,69
241.5,442,149.482001,53
-46.5,83,149.986001,5
354.0,532,150.757004,104
712.0,950,152.746001,194
836.5,1130,153.908,234
257.0,446,154.622001,64
376.0,557,156.362,103
867.0,1128,157.496001,222
411.5,615,158.315001,116
256.0,431,159.996003,71
529.0,729,160.898001,125
305.0,478,161.640001,68
370.0,538,162.414001,83
450.5,635,164.255003,106
389.5,570,165.060001,90
452.0,603,165.873002,101
140.5,299,166.504001,4
406.5,578,168.281002,104
335.0,486,169.034001,79
661.0,842,169.985001,156
475.0,631,171.832,119
479.5,652,172.670001,100
308.5,458,173.395001,77
267.5,441,174.115001,60
538.5,718,175.998001,127
350.0,505,176.758001,81
497.5,677,177.616001,95
364.5,521,179.380001,68
429.5,584,180.183003,99
544.0,687,181.054001,162
459.5,612,182.885,107
451.0,609,183.716001,89
339.0,483,184.456001,81
507.0,655,185.307002,123
338.5,466,187.033001,79
413.5,547,187.820001,86
543.0,706,188.694001,104
392.5,548,190.423,58
314.0,442,191.162001,54
816.5,1017,192.228001,209
441.0,588,194.016,90
649.0,816,194.964001,149
445.0,609,195.791001,49
732.5,909,197.781003,244
648.5,795,198.716001,128
674.0,843,199.676001,135
399.5,538,201.473001,75
681.5,826,202.428001,154
591.0,729,204.286,112
594.0,758,205.218001,124
361.0,507,205.973003,60
972.5,1148,208.087001,212
635.5,764,209.006001,137
394.5,514,209.783,73
580.0,728,211.713001,94
736.5,892,212.711001,134
447.5,595,213.530001,76
761.5,905,215.528003,165
565.5,693,216.401003,120
764.0,920,218.403,190
854.5,1013,219.469001,194
506.5,643,220.312001,77
452.5,576,222.130001,92
1205.5,1368,223.399004,278
436.0,576,225.171001,63
968.5,1117,226.307001,203
418.0,536,227.083001,99
378.5,508,228.829001,83
658.5,784,229.754001,137
650.5,779,230.679001,154
408.0,542,232.442002,83
326.0,454,233.179001,59
525.0,660,234.029001,85
407.5,522,235.795001,98
560.0,681,236.672001,113
465.0,598,237.485002,50
441.0,566,238.280001,87
474.0,594,240.115001,77
538.0,665,240.978,127
857.0,982,243.039001,217
476.0,604,243.889001,85
949.0,1087,244.994001,188
440.0,560,246.791001,104
595.0,712,247.673001,130
863.0,992,248.729001,188
580.0,709,250.590001,119
369.5,505,251.348001,73
302.0,420,252.055001,50
516.0,649,253.896001,109
448.0,575,254.707001,85
318.0,452,255.431001,63
452.0,582,256.231001,88
56.0,168,256.784002,10
265.0,388,258.472001,46
541.5,672,259.336001,132
607.0,738,260.231003,97
303.0,432,261.925,57
529.0,688,262.803001,96
782.0,980,263.846001,134
605.5,756,265.773,138
647.0,799,266.706001,136
729.0,874,268.661,98
604.0,742,269.582001,135
610.0,749,270.486001,157
293.0,431,271.197001,50
241.0,361,272.842001,49
643.0,801,273.786001,143
181.5,301,274.420001,39
395.5,557,275.208001,78
497.5,679,277.067001,79
375.0,517,277.832001,79
593.0,764,278.937001,126
623.5,794,280.871001,133
365.0,498,281.625001,87
513.5,652,282.471001,116
663.0,802,284.406001,142
546.5,698,285.283002,123
349.0,493,286.031001,66
384.0,516,287.785002,96
724.0,884,288.784003,150
384.5,528,289.558001,82
