#{"t_start": 1707518899.918501, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-57.0,428,0.422999,7
-33.0,427,0.814,12
-123.0,1048,1.696001,56
18.5,511,3.725999,33
209.0,683,4.333,59
-39.0,257,4.593999,33
-66.0,87,4.738,6
112.0,601,5.268999,69
-30.0,139,6.82,11
37.0,228,7.072999,33
-52.0,56,7.202001,3
-43.5,76,7.341001,4
23.5,257,7.611,22
-24.0,138,7.801999,7
-58.5,60,7.935999,3
198.0,600,8.471999,56
-64.0,63,8.601999,4
-48.5,92,8.743,7
55.0,249,9.001,32
108.0,344,10.644998,51
-60.5,61,10.770999,1
-52.0,70,10.908998,3
-45.0,84,11.051999,6
17.0,145,11.248999,12
-48.0,65,11.376999,4
-57.0,53,11.994,2
85.0,245,12.248999,33
31.5,201,12.482,29
95.5,302,12.791999,59
68.0,244,13.065,48
-45.5,80,13.201999,6
-59.5,62,13.332999,4
285.0,595,15.137731,93
-44.5,88,15.27173,7
-41.0,90,15.421731,8
-51.0,68,15.550731,3
-49.0,63,15.672732,2
-55.0,67,15.794731,5
-48.0,69,15.924731,3
86.5,267,16.214731,3
-16.0,124,16.383729,12
-41.0,71,16.506731,3
-56.0,62,16.628731,3
-54.0,51,16.743731,2
9.5,185,16.954731,11
-47.0,68,17.09673,3
14.0,154,17.291731,19
-55.0,60,17.403731,3
-56.0,59,17.51873,3
-54.0,62,17.640733,3
126.5,339,19.382734,35
-57.0,60,19.493731,2
166.0,396,19.872732,49
-57.0,76,20.018733,6
227.0,543,20.51873,78
175.5,391,20.902732,74
-1.5,148,21.088731,13
-57.0,55,21.210731,2
8.5,171,22.85073,13
-18.5,119,23.03473,12
54.0,235,23.288732,18
83.0,261,23.570731,19
43.0,202,23.789733,34
-51.5,56,23.907732,3
-53.0,61,24.024732,2
-57.0,63,24.144731,3
92.0,263,24.40873,12
-50.0,71,24.545731,3
-50.5,72,24.678731,4
-57.0,62,24.809731,3
-40.0,76,24.948731,4
