#{"t_start": 1708448356.7382405, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
231.9,975,1.099996,3
-12.4,212,1.689997,35
171.4,817,2.636997,3
655.2,1558,5.120996,62
-22.2,147,5.679999,18
-61.1,70,6.187996,5
399.6,799,8.147996,110
436.4,861,9.120996,180
560.6,1066,11.274998,205
-30.3,101,11.801996,8
-46.4,78,12.306997,4
480.4,800,13.268997,188
112.6,305,13.944,11
-21.0,109,14.492997,10
270.4,491,16.30286,89
-49.4,70,16.816883,5
-32.4,87,17.340901,8
-17.2,110,17.882899,12
-42.0,67,18.382899,3
-51.8,65,18.881899,4
397.0,675,19.756899,127
-44.8,69,20.264899,3
-51.2,72,20.781917,3
157.8,333,21.446917,59
-50.4,61,21.959917,3
100.4,256,23.602919,4
-38.4,83,24.132917,4
-56.8,61,24.653917,4
404.8,631,25.517917,147
229.2,439,26.390917,17
-51.3,67,26.890917,3
-13.8,128,27.431917,7
33.6,179,28.072917,12
-52.8,66,28.598921,5
13.8,125,29.21592,11
92.6,242,29.848917,39
-4.0,137,31.506918,17
-47.7,64,32.039918,3
239.6,440,32.787918,66
932.8,1296,34.063917,318
-56.4,57,34.558918,3
-47.6,72,36.143917,4
-19.0,116,36.723917,12
241.2,455,37.460917,37
288.6,510,38.256921,129
420.2,659,39.147917,143
-44.2,64,39.645918,3
179.7,369,41.367922,44
213.1,404,42.087919,11
-47.3,67,42.592919,3
45.6,185,43.179917,25
-51.0,56,43.680918,2
107.4,265,44.306917,32
490.4,750,45.221917,204
6.2,140,45.773919,14
113.0,278,47.569917,4
-55.2,61,48.091917,3
-55.0,62,48.587917,3
-53.8,62,49.089917,3
-45.1,77,49.599917,5
23.4,152,50.159918,16
-39.5,76,50.670918,4
-22.0,95,51.190917,9
-47.5,68,51.716918,3
-54.8,67,52.223917,2
-43.0,86,52.736917,5
-50.1,63,53.239918,2
-48.8,66,53.760918,3
-51.2,60,54.268919,3
-47.2,66,54.774917,3
-44.2,76,55.282946,4
-9.8,122,55.83995,14
-15.8,108,56.370946,13
-36.0,78,56.879947,4
-52.0,66,57.379946,4
-33.0,82,57.897946,6
-1.8,132,58.438946,12
-42.8,72,58.943947,3
34.3,173,60.532948,10
-61.2,58,61.068947,3
177.6,358,61.748946,2
-44.2,63,62.240947,2
-37.4,98,62.760948,6
-32.4,102,63.280946,9
-46.8,76,63.776946,6
-47.0,68,64.272946,3
-51.2,64,64.786948,3
-21.8,111,65.328946,11
-52.1,67,65.860949,4
-52.6,66,66.387947,3
580.6,873,68.45153,177
-41.8,90,68.99153,8
195.8,400,69.742526,61
132.8,340,70.409178,4
-18.4,118,70.961181,11
41.8,204,71.543178,26
-11.7,117,72.072179,12
35.6,211,72.655178,20
-50.6,62,73.147178,3
-6.2,153,73.696179,19
-33.4,101,74.21318,6
542.8,773,76.129179,179
-25.6,112,76.657179,10
-46.4,66,77.161002,3
429.8,665,78.019002,166
517.4,734,79.993003,193
593.3,804,80.961002,221
-29.8,109,81.481003,10
170.0,342,82.142001,67
251.4,439,82.869001,69
477.6,678,84.723002,172
-39.7,112,85.249002,13
-42.0,101,85.766001,9
-54.2,64,86.265002,3
368.4,553,87.057002,122
321.8,571,87.854002,127
-51.6,62,88.343004,3
765.6,1032,90.441002,311
261.2,438,91.164001,105
45.1,231,91.766001,29
404.4,602,93.537006,151
215.0,392,94.234001,85
254.8,407,94.929001,81
405.0,611,95.752001,141
-9.8,157,96.310006,21
166.2,338,97.927002,45
643.4,875,98.935002,179
576.9,771,99.857002,212
191.6,398,101.564002,50
576.8,790,102.534002,228
352.5,592,103.34605,106
296.2,492,104.10805,97
402.8,600,105.964051,138
716.7,932,106.99105,229
634.8,870,108.953779,210
659.1,845,109.923779,205
402.6,594,110.739779,123
491.4,655,112.615779,167
336.2,476,113.367779,105
780.1,959,114.410779,249
400.8,579,116.203779,135
416.2,575,117.020778,135
574.2,746,117.927779,195
624.0,810,119.88778,221
386.6,527,120.661781,138
522.3,745,121.565778,177
807.4,1027,123.622779,274
1343.4,1617,125.988779,433
676.5,873,126.988779,246
599.8,791,127.910778,204
220.2,375,129.567779,69
679.6,869,130.565779,211
325.4,487,131.316778,111
1117.2,1375,133.602779,342
653.6,874,134.573779,210
855.8,1054,136.664778,279
335.8,480,137.413779,90
490.8,657,138.254779,140
539.4,733,140.139779,150
839.8,1070,141.221779,262
785.0,995,143.25478,235
900.4,1198,144.412779,226
199.2,348,145.078779,62
-33.5,100,146.560783,7
664.1,877,147.56478,240
-39.8,72,148.066778,4
-39.8,83,148.566778,7
1052.0,1276,150.779779,301
917.8,1159,151.92578,280
500.8,695,153.845779,145
690.9,902,154.846778,186
1501.6,1769,157.383781,432
706.4,942,158.390779,212
1086.9,1298,160.603779,305
419.5,624,161.433779,138
907.4,1107,163.519779,264
937.6,1150,164.657779,270
792.0,960,166.644779,246
1126.5,1348,168.856783,298
319.2,469,169.615779,81
700.2,907,170.606778,197
1021.7,1209,172.819779,281
239.6,380,173.500781,82
611.3,752,174.519779,158
243.4,381,176.143779,4
644.6,817,177.117779,183
449.0,608,177.941779,121
984.4,1197,180.078779,256
-18.8,92,180.584779,4
867.8,1096,181.688778,250
1463.8,1724,184.248779,350
1026.0,1254,186.58978,283
1013.6,1187,187.800779,243
836.9,1054,189.940779,189
1229.2,1455,192.396779,246
1462.2,1614,193.87378,344
1184.4,1357,196.225607,250
2364.6,2743,199.520624,483
1608.4,1810,202.138626,350
1343.0,1528,204.581625,275
2094.3,2284,207.682625,406
1706.6,1904,210.613173,329
1775.3,1943,213.466281,353
2163.1,2337,216.551281,418
4209.8,4576,222.212283,607
3349.8,3507,226.808219,480
1890.4,2056,229.58722,283
3285.7,3416,234.17122,501
2411.9,2538,237.31122,360
2496.8,2622,240.492219,436
2632.6,2764,244.743721,395
6033.7,6256,252.40172,756
2619.2,2778,255.588721,411
3724.5,3839,260.582721,508
5294.4,5667,267.723235,676
5159.5,5389,273.57724,734
1442.3,1552,276.086235,294
3024.6,3187,280.593235,454
2738.0,2860,283.973573,468
2403.4,2525,287.042574,352
4611.4,4827,293.664573,603
6377.1,6668,301.388573,735
3341.9,3472,305.999573,555
4326.9,4477,311.271574,641
4029.0,4132,316.666591,617
583.0,689,317.579608,125
2400.7,2514,320.67361,467
910.9,1019,322.785609,214
1857.0,1975,325.464609,393
1873.6,1984,328.183609,425
1813.8,1919,330.91061,448
700.0,802,331.871608,18
1095.7,1201,334.103609,29
924.6,1035,335.191608,214
489.6,601,337.082629,9
1895.9,1999,338.783628,400
1913.0,2019,341.513629,407
2754.9,2863,345.79281,509
1091.4,1201,346.98181,27
4570.2,4722,353.255813,679
1438.7,1550,355.629866,299
2068.8,2182,358.421866,410
1190.9,1296,359.678866,231
3566.8,3757,364.451866,537
3376.1,3549,369.047866,554
5870.9,6069,376.136164,809
2094.3,2224,378.900164,396
1712.0,1816,381.473164,328
1023.6,1128,382.619164,214
4754.1,5510,389.371843,565
4852.8,5377,396.204027,587
5940.8,6118,403.427697,715
8910.5,9459,413.727542,781
1500.2,1609,416.353877,288
4349.6,5072,421.984877,538
3983.8,4491,428.221934,426
-44.5,63,428.710934,3
-51.2,52,429.196934,2
2631.2,2770,432.305934,342
-24.0,85,432.814935,4
3962.5,4540,438.087934,483
281.6,389,439.754934,75
-32.4,74,440.281934,3
-26.8,87,440.799934,5
1559.0,1684,442.262934,278
265.0,378,443.936935,32
-3.2,101,444.461934,6
1843.8,1977,447.132936,325
327.8,444,447.860934,16
5019.3,6263,455.104934,512
45.4,166,455.665934,19
4197.8,4875,461.034076,530
753.6,864,463.010158,191
1064.8,1182,464.165157,241
2063.6,2177,466.942614,369
-7.8,107,467.460612,7
1186.8,1295,469.666615,254
1756.5,1868,472.222612,338
5024.0,5173,478.730615,655
2010.2,2117,481.453613,405
768.6,883,482.451612,198
1551.6,1665,484.887612,348
758.4,864,485.868612,174
1073.6,1183,487.986612,273
3.4,109,488.512612,5
5336.3,5900,495.542612,710
1689.8,1811,498.029613,397
1310.2,1439,499.357614,308
778.9,899,501.386612,226
733.8,865,502.360613,179
-34.0,77,502.862612,3
1054.2,1191,505.024612,286
1219.4,1335,506.284615,298
1569.2,1678,508.735613,354
1126.2,1260,510.932612,280
1145.3,1253,513.128612,303
578.8,682,514.029613,151
1480.1,1591,516.431614,345
902.2,1014,517.523612,220
-22.2,84,518.041612,3
715.1,828,519.983612,37
985.0,1098,521.113615,237
-20.2,83,521.622612,5
1101.0,1219,523.844612,255
813.8,928,524.871612,203
1594.6,1702,527.400614,365
1702.0,1842,529.982612,310
1261.2,1398,532.298613,232
1337.8,1458,533.635613,319
1672.0,1805,536.143612,382
667.2,776,538.054612,168
1211.8,1319,539.301612,283
2386.6,2553,542.271612,375
1860.4,1965,544.888612,434
2597.7,2786,548.981612,468
