#{"t_start": 1706471334.0880394, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
89.6,663,1.012103,22
49.0,346,1.774335,11
9.5,379,2.569486,19
472.5,1201,5.351007,4
180.0,593,6.263062,33
60.7,392,7.049123,3
45.0,316,7.776773,9
25.7,224,9.71976,24
250.8,633,10.681424,84
265.0,540,11.581033,124
95.6,315,12.295083,42
-41.7,88,12.848978,6
89.6,313,13.559061,10
-36.2,99,14.12422,9
-47.3,84,15.919451,7
64.4,221,16.594016,33
114.6,287,17.295054,15
-51.2,55,17.845055,2
-37.7,107,18.423713,11
266.1,488,19.258741,104
-54.8,66,19.807259,4
99.6,271,20.491821,4
-52.0,86,21.064863,7
97.0,279,21.774838,45
-33.6,123,22.39059,10
-34.5,95,24.271833,10
-46.5,88,24.853444,6
-52.2,62,25.39971,3
-54.4,61,25.939232,3
54.2,229,26.597753,42
-47.9,78,27.150309,5
-51.3,63,27.696877,2
87.4,248,28.369776,20
136.2,313,29.088047,41
-62.0,61,29.634696,4
246.5,451,30.454698,85
124.2,322,31.173797,42
-49.4,58,32.930479,2
121.8,313,33.664118,31
-51.0,58,34.206705,2
72.9,229,34.858751,24
-44.0,74,35.41087,3
-48.8,68,35.963983,4
-42.0,85,36.533067,6
246.2,460,37.363272,67
-43.6,78,37.921345,3
63.6,212,38.578188,20
-49.0,63,39.143798,3
229.0,450,41.296852,62
-50.5,64,41.866021,2
14.8,156,42.493826,21
-54.0,61,43.038615,3
-53.6,57,43.581527,2
-43.4,85,44.157654,8
-54.8,65,44.718741,2
-50.6,65,45.268076,3
-48.2,61,45.817704,2
-38.1,77,46.368749,5
114.2,292,47.071785,30
33.8,186,47.720406,21
188.0,406,48.507578,61
67.4,261,49.203725,7
31.4,190,51.168593,22
-34.6,103,51.763702,9
92.8,271,52.455993,45
-22.6,108,53.035604,7
164.0,380,53.819887,34
64.5,232,54.495127,9
266.8,526,55.373475,72
219.2,427,57.473272,73
75.2,273,58.200945,19
-52.2,65,58.753087,3
-44.8,71,59.313651,4
543.7,982,60.500019,122
-12.8,151,61.235628,13
372.1,687,63.538167,100
-12.2,112,64.125735,9
-45.4,77,64.686038,5
102.0,280,65.384597,47
371.2,659,66.353728,84
-54.9,82,66.92764,5
-24.8,125,67.522249,8
-16.4,154,68.132812,7
-41.8,75,68.696884,3
-47.2,76,69.2604,5
646.4,1052,71.71521,124
138.4,336,72.446969,55
560.1,913,74.812833,165
-23.5,121,75.435575,15
128.8,299,76.138656,55
-46.8,68,76.690333,3
