#{"t_start": 1714073845.731644, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
-1331.869836,1201,3.18538,0,1
-1052.723224,1201,7.344424,0,1
-1108.21861,1201,10.467455,0,1
-1130.664675,1201,14.649689,0,1
-1198.208159,1201,17.816854,0,1
-920.230876,1201,21.947788,0,1
-1124.558877,1201,26.186023,0,1
-1023.866084,1201,29.359936,0,1
-926.240145,1201,33.511937,0,1
-1160.460965,1201,36.687951,0,1
-1079.253479,1201,40.866996,0,1
-1118.68213,1201,45.061512,0,1
-708.318975,1201,48.198522,0,1
-846.969262,1201,52.332255,1,1
-1001.561628,1201,55.475802,0,1
-863.971674,1201,59.630937,0,1
-841.770145,1201,62.760681,0,1
-1018.623782,1201,66.90025,0,1
-886.312012,1201,71.009252,0,1
-1067.527665,1201,74.159821,0,1
-1210.712374,1201,78.269944,0,1
-541.386666,1201,81.392971,0,1
-980.354839,1201,85.617974,0,1
-502.538572,1201,89.763154,1,1
-151.417009,1201,92.920483,2,1
65.244666,1201,97.078741,3,1
86.734198,1201,100.208886,3,1
413.176476,1201,104.386174,7,1
344.248178,1201,108.531412,6,1
527.349573,1201,111.678271,9,1
400.264457,1201,115.814708,8,1
457.512487,1201,118.954344,10,1
545.920506,1201,123.10491,11,1
481.342529,1201,126.22848,11,1
154.062864,1201,130.39048,10,1
180.965753,1201,134.529294,10,1
306.86486,1201,137.653403,12,1
193.695956,1201,141.791464,10,2
217.037452,1201,144.928673,11,1
245.075215,1201,149.066251,10,1
216.987011,1201,153.244266,12,1
-15.046057,1201,156.37284,10,1
220.696563,1201,160.547908,11,1
156.830662,1201,163.697435,10,1
314.480742,1201,167.840438,12,1
467.770484,1201,170.97346,13,1
134.881529,1937,178.735497,17,1
810.688319,1201,182.854853,22,1
551.60722,1201,186.990171,16,3
609.846851,1201,190.140194,19,1
777.918618,1201,194.27204,19,1
759.348728,1201,197.414074,18,1
992.378064,1201,201.557667,23,1
816.169727,1201,205.713668,21,1
909.328038,1201,208.861252,22,1
979.073866,1201,213.008799,24,1
1046.238855,1201,216.21032,28,1
1064.96532,1201,220.390329,28,1
960.243501,1201,223.521372,23,2
1050.960669,1201,227.701904,27,1
1084.737578,1201,231.834917,31,1
1082.40983,1201,234.976506,30,1
1071.148626,1201,239.173573,31,1
1083.512388,1201,242.305687,31,1
1093.237784,1201,246.477729,33,1
1080.025708,1201,250.590776,30,1
1044.375743,1201,253.726877,32,1
1081.390982,1201,257.851075,33,1
1091.898731,1201,260.994237,33,1
19619.195281,20568,860.650156,588,6
14159.226605,13779,1134.966377,552,1
15812.037683,17158,1555.42731,735,5
12809.322667,12372,1778.61861,619,2
17289.128037,17664,2223.294653,928,5
17269.962337,16470,2611.958491,1000,4
9810.076413,11382,2802.411249,674,8
7706.556352,7309,2883.14109,538,4
9949.419274,9464,3016.331028,685,5
8620.963936,8232,3118.069921,630,8
8867.978216,8525,3226.610108,673,16
7607.911578,7142,3304.816244,604,5
8554.073581,8002,3401.638576,690,11
9426.924059,8882,3519.01509,767,19
11080.092355,10322,3676.179125,898,18
5703.995115,5333,3720.548501,511,3
7275.380217,7097,3798.024057,633,20
8570.505934,8000,3894.562977,710,12
6675.773224,6471,3958.89654,589,17
5859.312357,5455,4006.309153,543,13
5413.444713,5048,4046.536468,505,8
5494.53554,5117,4088.799326,516,6
4381.692391,4101,4116.72297,420,6
6396.201596,5941,4171.760144,594,13
6239.650498,5846,4224.289366,579,14
5697.903964,5308,4269.356562,530,15
6370.533569,5927,4324.315549,583,13
4442.106036,4193,4353.271491,389,10
5993.686036,5599,4402.763314,533,11
6932.439838,6442,4466.720046,630,17
3486.641334,3279,4484.79541,347,3
5426.845159,5047,4525.99215,520,7
5731.889266,5330,4570.36443,539,5
4596.626931,4284,4601.482041,451,7
7181.314301,6646,4669.063666,673,12
5711.715347,5300,4712.980768,551,8
6889.544863,6492,4778.637864,628,13
7566.7274,6996,4853.002063,711,18
6376.845447,5904,4907.626096,611,8
5869.44357,5517,4955.899849,584,10
4120.376926,3846,4979.820714,412,5
5849.577482,5591,5029.20275,578,14
7169.875226,6617,5096.318691,690,13
5682.106666,5250,5140.940564,571,11
4939.079224,4568,5174.606055,508,8
8828.371123,8103,5273.337391,863,25
6935.062258,6398,5336.557669,674,18
4829.57547,4476,5368.943996,491,9
4468.879608,4512,5402.836306,489,8
4411.093796,4136,5431.043057,477,5
4660.613446,4302,5461.317357,496,10
2773.700069,2612,5473.666956,299,2
5130.665277,4731,5509.523484,538,11
4085.503112,3776,5533.703875,448,2
3502.866981,3249,5552.475814,393,6
4629.389184,4264,5582.344959,504,9
2675.266125,2499,5593.809474,316,3
5609.267198,5141,5636.366495,607,18
5103.376198,4689,5671.532766,552,13
3519.235626,3256,5689.40892,402,6
5828.137062,5328,5734.725523,639,14
3446.410572,3193,5753.03661,393,5
5538.126985,5083,5793.776881,594,15
4623.107911,4257,5823.597886,503,3
6161.812491,5673,5874.445079,627,15
4708.684393,4335,5905.078145,514,7
4811.168336,4426,5936.946872,524,17
3931.947139,3631,5959.537489,440,9
35.136118,158,5960.118484,15,0
4598.182354,4231,5989.452228,506,9
4916.722268,4516,6022.458939,538,10
3868.249856,3565,6044.522969,443,4
3912.780258,3609,6066.852647,442,10
5423.367475,4973,6106.017722,589,14
4704.931302,4308,6136.402692,534,9
2894.550176,2675,6150.231414,357,6
-19.751142,108,6150.769928,9,0
-14.418676,114,6151.31993,9,0
-14.325914,113,6151.859928,9,0
-29.744211,99,6152.382928,8,0
-31.89491,97,6152.917932,7,0
-19.640541,109,6153.46093,9,0
-9.882262,118,6154.01793,9,0
-9.816446,117,6154.566928,9,0
4.600623,131,6155.12993,11,0
-3.090683,123,6155.67993,10,0
-14.441855,113,6156.216932,9,0
-18.856931,109,6156.758939,8,0
-12.313515,115,6157.305938,9,0
-14.475237,114,6158.83165,9,0
-6.634991,121,6159.411651,10,0
-13.278668,114,6159.965325,9,0
-17.783013,110,6160.511326,8,0
-7.996373,119,6161.066042,9,0
-18.640273,109,6161.611062,9,0
-23.162341,105,6162.152063,8,0
-15.514339,112,6162.699115,9,0
-8.793096,119,6163.250113,10,0
3.430841,129,6163.813115,11,0
0.041507,127,6164.380112,10,0
3.164504,130,6164.939131,11,0
-2.304075,125,6165.502131,10,0
-15.512319,112,6166.051646,9,0
-15.456785,112,6166.602658,9,0
-15.385998,112,6167.151179,9,0
-24.206394,104,6167.696178,8,0
-0.085477,126,6168.252177,10,0
-15.551891,113,6169.787176,9,0
-8.793049,119,6170.35518,10,0
-24.177479,104,6170.885178,8,0
-11.067403,116,6171.428178,9,0
-16.66347,111,6171.974184,9,0
-10.139858,117,6172.524178,9,0
-21.097489,107,6173.065187,8,0
-5.688465,121,6173.619187,10,0
-17.631861,110,6174.168188,9,0
-5.44301,122,6174.729819,10,0
-14.435688,113,6175.272817,9,0
-14.251536,113,6175.813398,9,0
-25.355752,103,6176.342396,8,0
-7.737769,120,6176.891023,10,0
1.314721,128,6177.444027,11,0
-21.106234,107,6177.988035,8,0
-22.059667,106,6178.530035,8,0
-7.767757,120,6179.095076,10,0
-19.851744,108,6180.612111,8,0
-22.038631,106,6181.166109,8,0
2153.3203,2144,6190.182987,146,0
-6.701002,120,6190.736009,10,0
2632.219872,2611,6203.075585,157,4
2408.535177,2415,6213.938946,131,6
2193.66307,2185,6223.229312,146,1
-13.127159,114,6223.77635,9,0
-13.160308,115,6224.324349,9,0
2791.707693,3448,6245.081929,165,18
1583.653696,1628,6251.141699,93,0
-14.186058,114,6251.693217,9,0
-8.815857,119,6252.251214,10,0
0.066719,127,6252.805732,11,0
-0.914419,126,6253.368733,11,0
-16.33214,112,6253.912732,9,0
-2.059561,125,6254.479733,10,0
-14.339815,113,6255.031733,9,0
-7.474491,119,6255.584735,10,0
-15.410537,113,6256.126731,9,0
-11.773358,116,6256.695741,10,0
-11.021566,116,6257.239733,9,0
2.342006,128,6257.804744,11,0
-5.843212,121,6259.355756,9,0
-7.658933,120,6259.932767,10,0
-6.550433,121,6260.484439,10,0
-1.115395,126,6261.044449,10,0
3513.015103,3221,6278.563214,429,10
-10.835768,117,6279.108238,10,0
2836.75072,2614,6292.543636,360,3
2.369326,129,6293.111636,11,0
-25.370178,103,6293.648636,8,0
-11.056354,117,6294.20064,9,0
-14.392854,113,6294.744638,9,0
-15.375265,112,6295.29864,9,0
-15.458452,113,6295.846639,9,0
-16.490517,111,6296.393637,9,0
-14.444323,113,6296.940637,9,0
-19.780245,109,6297.485639,9,0
-14.265338,113,6298.034137,9,0
-19.777789,108,6298.579148,8,0
-11.098296,116,6299.128147,9,0
-15.376371,112,6299.676155,9,0
-27.543327,101,6300.218155,8,0
-4.3092,122,6300.777027,10,0
-3.477961,123,6302.306053,10,0
3781.954087,3451,6322.088214,468,8
-16.79432,111,6322.622216,8,0
-15.557484,112,6323.163238,9,0
-14.226579,113,6323.714238,9,0
-15.542264,112,6324.25825,9,0
-6.690513,121,6324.80828,10,0
-26.378296,102,6326.369188,8,0
-18.891595,109,6326.933197,8,0
-16.583616,112,6327.479197,9,0
0.894434,127,6328.041715,10,0
-24.259712,104,6328.581725,8,0
-21.118367,107,6329.125242,8,0
-15.546148,112,6329.665241,9,0
-9.041857,118,6330.217242,9,0
-22.165888,106,6330.774242,8,0
-9.900622,118,6331.326242,9,0
-10.314699,117,6331.877242,9,0
-21.186337,107,6332.418241,8,0
-17.784102,110,6332.963243,9,0
-15.393885,113,6333.510243,9,0
-19.931945,108,6334.056243,8,0
-12.166954,115,6334.606243,9,0
-13.197402,115,6335.15225,9,0
-11.11578,117,6335.707251,9,0
-24.26973,104,6337.243827,8,0
-7.841293,119,6337.813838,9,0
-12.079014,115,6338.368837,9,0
-15.510467,112,6338.915868,9,0
-14.506616,113,6339.465878,9,0
-22.187938,106,6340.015894,8,0
2166.980027,2229,6349.619485,141,2
2020.524276,2028,6357.941065,130,2
-13.243618,114,6358.487078,9,0
1880.063454,3054,6374.51065,98,10
474.076509,567,6376.801651,44,0
2906.483463,2869,6391.224859,174,1
1937.703712,1954,6399.038656,121,1
790.316278,2102,6407.887419,57,3
1544.083222,2379,6418.540235,92,2
-24.342331,104,6419.078233,8,0
-15.22372,113,6419.624232,9,0
-2.191053,125,6420.173234,10,0
-2.295612,125,6420.711232,10,0
-11.105824,116,6422.273233,9,0
-8.672232,119,6422.851233,10,0
-19.919475,108,6423.394232,8,0
-15.504083,112,6423.943815,9,0
-15.40122,113,6424.496814,9,0
-11.106902,116,6425.044386,9,0
-17.654992,111,6425.642387,9,0
-6.739747,120,6426.188394,10,0
-10.99908,116,6426.747393,9,0
-11.203793,116,6427.298393,9,0
-20.045625,108,6427.841403,8,0
-8.952425,118,6428.396404,9,0
-21.103718,107,6428.943918,8,0
-6.546822,121,6429.49592,10,0
-19.868502,108,6430.030433,8,0
-13.297665,114,6430.581432,9,0
-13.345433,114,6431.124949,9,0
-26.46652,102,6431.664949,8,0
-14.344573,113,6433.219476,9,0
-14.476182,113,6433.790489,9,0
-15.267082,113,6434.33549,9,0
-19.912324,108,6434.880498,8,0
-0.911255,126,6435.441163,11,0
-16.631358,111,6436.000165,9,0
-9.953514,118,6436.556162,9,0
-7.739768,119,6437.114162,10,0
-11.010838,116,6437.670165,9,0
-14.386077,113,6438.219163,9,0
-11.103118,116,6438.774162,9,0
-16.615411,111,6439.322173,9,0
-18.927995,109,6439.867174,8,0
-11.110333,117,6440.416174,9,0
-14.315428,114,6440.959185,9,0
-21.039893,107,6441.506186,8,0
-9.839046,118,6442.066222,10,0
-22.10566,106,6442.613222,8,0
1.194461,128,6444.171289,11,0
-8.837503,119,6444.735287,10,0
-24.180074,104,6445.273296,8,0
-7.8001,120,6445.818297,10,0
-20.073738,108,6446.351816,8,0
-21.049304,107,6446.888823,8,0
-17.770768,110,6447.427824,8,0
0.070013,127,6447.985822,10,0
-6.562245,121,6448.536299,10,0
-6.396747,121,6449.097299,10,0
-4.462223,123,6449.650307,10,0
-11.169908,117,6450.199307,9,0
-15.591821,112,6450.750887,9,0
-11.028745,116,6451.302888,9,0
-13.262425,115,6451.856887,9,0
-8.014178,119,6452.416888,9,0
-25.281572,103,6452.953888,8,0
-15.69173,112,6453.497886,9,0
-17.647813,110,6455.052888,9,0
-8.804545,119,6455.630887,10,0
-15.440362,112,6456.173446,9,0
-6.502303,121,6456.735444,10,0
-5.515452,122,6457.2973,10,0
-2.216664,124,6457.848299,10,0
-8.868665,118,6458.401301,9,0
-13.37597,114,6458.949314,9,0
-24.392268,104,6459.481313,8,0
12.143773,138,6460.057827,12,0
11.038694,137,6460.625838,12,0
-9.92654,117,6461.180351,9,0
-12.248765,115,6461.74135,9,0
0.043738,127,6462.314863,11,0
-4.662159,122,6462.868384,10,0
-1.027888,126,6463.428384,10,0
-8.710682,118,6463.975514,10,0
3.118373,129,6465.540516,10,0
-14.433782,113,6466.097514,9,0
-10.877905,116,6466.647514,9,0
-16.564336,111,6467.198515,9,0
1.249803,128,6467.754515,11,0
2.267971,129,6468.306517,11,0
2.199977,129,6468.873514,11,0
-11.111664,116,6469.423514,9,0
-5.76562,121,6469.980513,10,0
0.145826,127,6470.536516,11,0
-11.14399,116,6471.082516,9,0
13.054971,139,6471.650515,12,0
-14.384795,113,6472.214211,9,0
-13.494891,115,6472.768211,9,0
-11.248212,116,6473.318013,9,0
-13.367428,115,6473.871025,9,0
3.518326,130,6474.444022,11,0
-4.532864,123,6476.013052,10,0
-3.177561,124,6476.596049,10,0
1.273777,128,6477.161047,11,0
-12.183295,115,6477.714047,9,0
-15.434575,112,6478.262562,9,0
-8.848426,119,6478.818561,10,0
7.541289,133,6479.390082,11,0
2147.095839,3068,6495.499203,138,2
3105.314079,2858,6510.828491,385,10
2290.43916,2425,6521.743903,144,4
2336.336544,2426,6532.769679,143,2
2599.820083,3781,6556.964437,154,24
3129.050976,2882,6571.463937,384,7
2469.307235,2296,6582.486669,311,5
3405.048831,4054,6609.835321,405,15
2427.80129,3323,6628.34703,144,4
1266.976383,2531,6640.067063,105,8
1786.968878,2906,6655.85266,123,0
4883.544144,4461,6688.104988,560,16
2423.598264,2257,6697.860569,304,3
2643.766573,2465,6709.091034,316,6
375.59858,471,6711.195046,42,0
2511.386706,2503,6722.752126,146,4
4147.12612,3790,6747.080462,495,11
2154.467305,3540,6767.852172,154,4
2077.842589,3267,6786.845897,136,3
1028.439844,2329,6797.085702,82,1
1611.287111,1636,6803.17423,113,1
2060.531787,3046,6819.144163,124,3
1010.322499,1061,6822.780179,87,0
1688.326056,2929,6837.687481,116,1
1485.64689,2649,6851.315804,107,1
770.373964,847,6853.24776,61,1
1827.331653,1840,6860.45554,125,0
1097.407228,2294,6870.477682,76,1
2976.126595,2936,6885.45105,178,0
3253.080309,4065,6912.939736,169,29
1044.243346,2139,6921.930316,84,15
2908.415355,3858,6947.101296,158,7
1810.31253,1836,6954.254755,111,1
1001.749698,1151,6958.214026,76,0
1123.165576,2272,6968.080266,79,3
783.640769,857,6970.058622,63,0
2565.155605,3946,6996.09839,156,4
733.826329,1934,7003.830267,66,3
1620.963083,2645,7016.490304,110,2
270.595318,1700,7022.936323,34,0
2070.438291,3243,7041.647873,139,6
2590.607756,3808,7066.211175,177,5
2460.977054,3748,7090.075346,158,8
1020.942629,2322,7100.276716,79,0
1061.034846,1127,7103.127717,70,1
1959.975794,1986,7111.21408,110,5
2074.052386,2072,7119.84073,138,1
199.015755,309,7120.626734,29,0
2239.515068,2240,7131.38364,138,0
518.483947,1648,7136.528954,43,1
2584.280121,2825,7151.591828,148,1
3677.847529,4832,7188.770254,214,3
2903.798289,4101,7216.66485,176,18
848.715125,1039,7220.226863,66,0
2434.361783,2489,7231.666394,155,4
1292.714063,1334,7235.35797,95,0
2125.479502,3223,7254.027101,124,7
2930.674836,2892,7268.621124,175,1
4194.176042,5330,7314.060168,221,13
2196.399237,3428,7334.666814,138,4
2670.954527,3747,7358.554461,142,5
1318.747122,1362,7362.367083,94,0
2840.404385,3874,7387.699385,165,3
3038.909859,2988,7404.141631,187,2
2265.766969,3447,7423.913651,138,10
632.607692,1636,7430.017612,49,1
662.396949,742,7431.669129,57,1
3032.895902,3121,7449.311816,175,3
1702.63227,2540,7461.075707,101,7
1845.569273,3130,7478.759794,115,2
3705.776973,4722,7514.536983,198,4
2743.707902,2720,7527.742263,160,4
1545.2137,2522,7540.424038,111,5
1387.340566,2434,7551.408723,104,1
1501.464264,1893,7558.926224,99,3
981.604169,1183,7561.986923,76,1
1959.187656,2941,7578.013507,79,14
707.360983,930,7580.221214,61,0
775.794007,850,7583.178343,65,0
1591.360107,1623,7588.213894,107,0
999.548625,2055,7596.666161,66,4
834.844623,899,7599.794208,75,0
1901.247254,1921,7607.447427,118,2
2933.398123,3303,7625.843006,168,7
3576.893393,3514,7647.246002,202,2
804.166708,2219,7656.801169,54,2
590.580695,673,7658.282596,56,0
2162.511615,3203,7676.69489,128,10
737.9394,817,7678.541888,60,0
1676.87055,2648,7692.168413,104,27
889.235897,963,7694.456936,65,1
2099.207902,2118,7703.310993,120,1
3420.912621,3353,7723.185819,207,2
2285.387038,3176,7740.367038,127,4
1666.034164,1684,7746.736884,121,3
1196.80503,2298,7756.79171,101,1
2256.694221,2354,7767.245968,142,3
2711.380871,3919,7792.95989,135,7
1933.701826,2100,7801.689844,103,1
982.768376,1048,7805.295891,74,0
196.269716,310,7806.06789,25,0
1996.830587,2021,7814.287181,112,1
1965.476386,3068,7831.424968,122,2
2027.383623,2216,7840.953109,123,0
3136.856352,4087,7868.72766,160,6
2910.493673,2874,7883.227165,175,0
2229.192533,2233,7892.846288,135,1
2290.860221,2291,7902.865878,139,3
1727.888813,1879,7910.290952,116,2
936.119552,1887,7917.763589,70,0
2208.527998,2447,7928.904157,100,4
2349.66897,3345,7948.639856,146,12
3062.997347,4048,7975.9176,186,3
1946.272505,2934,7990.936978,123,2
2113.462461,3274,8010.055097,161,2
787.163261,2201,8019.454493,73,15
1834.166995,3001,8035.018567,121,5
48.500534,173,8036.614591,14,0
1718.856508,2859,8050.989382,124,2
998.063741,1182,8055.081388,59,0
1246.870899,2248,8064.758591,82,17
2712.989601,3903,8090.381391,156,14
1240.25881,1287,8093.86691,92,0
1191.70054,1242,8098.17592,88,0
1995.710274,3033,8114.04213,125,5
2902.337887,3002,8130.660043,150,3
1843.73883,1879,8138.138599,103,0
1294.376295,1337,8141.829762,94,0
835.582985,904,8144.977858,70,0
2639.637729,3127,8161.655267,130,10
1040.750769,1301,8166.207176,79,1
1330.773812,2366,8176.700209,101,2
1761.246594,1986,8184.723765,106,0
797.579151,873,8186.732777,63,2
2095.600118,2106,8195.515161,126,4
2121.289754,2251,8206.300521,138,1
990.839228,1053,8208.896407,77,0
2045.155658,3336,8228.654737,116,4
2508.848728,2481,8240.041288,164,1
1759.260486,1789,8246.974613,109,1
2137.383049,2279,8256.898935,126,0
2226.804559,2220,8266.411764,146,3
1451.650179,2491,8277.815365,107,4
437.816411,528,8278.975377,46,0
1120.717578,2095,8288.646912,91,5
1119.775567,1187,8291.755834,71,0
730.612964,955,8295.025421,58,0
1293.231864,1444,8299.202423,109,0
1970.675289,2919,8315.076229,128,1
2551.847086,3669,8337.106542,159,2
1290.466842,2513,8349.697163,102,3
1199.909568,1251,8353.038207,85,1
1477.138866,1628,8359.045215,95,2
2072.258041,2087,8367.725054,122,1
1440.726304,2374,8378.285973,106,3
1525.919666,1556,8384.003021,106,2
1016.838978,1077,8387.685556,76,0
1297.312462,2465,8398.934197,97,5
2246.916381,3403,8418.22782,141,2
