#{"t_start": 1708530339.7746525, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-2103.851832,1201,1.31513,0
-2066.514764,1201,3.13713,0
-2060.303815,1201,3.90313,0
-2044.814639,1201,5.731133,0
-2014.897432,1201,6.512139,0
-1747.499938,1201,8.401139,0
-1947.603165,1201,10.164138,0
-1069.213697,1201,10.929142,2
-981.10178,1201,12.735139,2
-948.322908,1201,13.487139,2
-585.828358,1201,15.227139,4
-794.332523,1201,16.973138,4
-277.317528,1201,17.741139,6
253.951405,1201,19.521139,9
-207.952403,1201,20.271138,9
-3.109187,1201,22.041139,9
-42.440774,1201,22.788139,10
-43.375114,1201,24.590139,12
-8.398873,1201,26.38514,11
-39.352035,1201,27.145139,12
-171.455603,1201,28.933139,11
-99.230938,1201,29.683139,13
-273.37912,1201,31.467139,11
-426.387652,1201,33.210138,11
-64.458878,1201,33.981139,12
-62.837126,1201,35.743139,13
33.099497,1201,36.492139,13
404.193699,1201,38.263139,15
908.283869,1201,40.01714,21
575.402205,1201,40.791139,18
814.65101,1201,42.531139,24
949.8124,1201,43.285139,25
850.747874,1201,45.067139,22
1007.695254,1201,45.818139,26
991.66427,1201,47.568152,25
993.631243,1201,49.333153,27
1020.878699,1201,50.094167,27
997.184117,1201,51.847167,27
1002.708659,1201,52.597167,27
975.279948,1201,54.375167,27
1019.612291,1201,56.151182,26
1058.864885,1201,56.923184,31
1031.6085,1201,58.687182,30
1051.538542,1201,59.443182,31
1026.804722,1201,61.211183,31
1059.274737,1201,61.964183,32
1052.313485,1201,63.716183,33
1055.822061,1201,65.464182,29
1061.259558,1201,66.220439,31
1065.79085,1201,67.977438,32
1046.395001,1201,68.733438,31
1030.48942,1201,70.506441,30
1047.898133,1201,72.258438,28
1060.491045,1201,73.030439,33
1048.907653,1201,74.824438,32
1054.490218,1201,75.583438,30
1056.017828,1201,77.369438,32
1068.034307,1201,79.076437,34
1070.134969,1201,79.846439,38
1057.685659,1201,81.612438,35
1058.765627,1201,82.369454,31
1053.998392,1201,84.114454,34
1044.244971,1201,84.865454,32
1056.411083,1201,86.633454,30
1041.293324,1201,88.400995,29
986.939122,1201,89.166996,31
1038.228495,1201,90.932996,33
1005.188884,1201,91.686996,30
991.645151,1201,93.475996,30
1033.271353,1201,95.260996,31
1067.189114,1201,96.036005,32
1044.117464,1201,97.792006,35
1010.765026,1201,98.555006,33
1063.545595,1201,100.360005,34
1023.299197,1201,101.123006,34
1059.431658,1201,102.870005,32
1039.291942,1201,104.618005,32
1035.643892,1201,105.380014,34
1046.476458,1201,107.121014,34
1039.04929,1201,107.878014,37
1043.879678,1201,109.651014,36
1021.428776,1201,111.396013,36
1030.550628,1201,112.164014,34
1067.389653,1201,113.914014,35
963.491004,1201,114.671014,31
1025.207832,1201,116.448014,35
1055.554102,1201,118.156013,34
973.796024,1201,118.933014,31
1060.662547,1201,120.704016,33
1046.438398,1201,121.466014,35
1046.726306,1201,123.247014,34
1067.735533,1201,124.008014,36
1052.832956,1201,125.833915,35
1023.023927,1201,127.614908,37
1035.197387,1201,128.375909,35
1054.988034,1201,130.134909,36
1041.529549,1201,130.890909,34
1034.898016,1201,132.656909,32
1068.063629,1201,134.389908,36
1056.844013,1201,135.162425,32
1061.884924,1201,136.946424,34
1062.454156,1201,137.702426,35
1062.475269,1201,139.460425,37
1016.564988,1201,140.212424,35
1047.351124,1201,141.985424,33
1060.592246,1201,143.770424,37
1018.609417,1201,144.528424,39
1072.117791,1201,146.325424,38
1043.514565,1201,147.086424,36
1069.120411,1201,148.886424,37
1049.348203,1201,150.653424,34
1033.88232,1201,151.415424,35
1069.601679,1201,153.220425,37
1011.962595,1201,153.978424,33
1067.864944,1201,155.769441,36
1056.311463,1201,157.50044,38
1056.211259,1201,158.284442,37
1040.356896,1201,160.058441,36
1041.861171,1201,160.820441,33
1012.038414,1201,162.563451,33
1050.032142,1201,163.321451,33
1039.040534,1201,165.069451,36
1049.846613,1201,166.82745,34
1060.296413,1201,167.591451,37
1071.282785,1201,169.382451,37
1070.44912,1201,170.137451,39
1070.503662,1201,171.943451,37
1066.576054,1201,173.70745,37
1069.774668,1201,174.48494,38
1047.106603,1201,176.24994,37
1039.428089,1201,177.00594,37
1072.805887,1201,178.779958,39
1072.416452,1201,179.538958,38
1071.261452,1201,181.329957,38
1066.219401,1201,183.111958,39
1072.203326,1201,183.872959,38
962.940095,1201,185.655967,35
1070.709176,1201,186.418967,38
1069.736555,1201,188.191967,39
1056.088068,1201,189.956966,38
1057.888016,1201,190.731978,38
1034.107295,1201,192.53598,38
958.61823,1201,193.295987,36
933.07594,1201,195.067989,34
1067.171971,1201,196.849986,38
1032.300118,1201,197.633996,36
1054.738316,1201,199.407996,37
1001.505187,1201,200.162996,38
