#{"t_start": 1713318083.6689517, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
-544.847015,1201,1.203517,0,1
-522.245306,1201,3.435019,0,1
-503.674131,1201,4.617108,0,1
-456.042404,1201,6.815159,0,1
-529.336107,1201,8.003161,0,1
97.760645,1201,10.220159,1,1
-137.318153,1201,12.369173,0,1
288.201398,1201,13.553173,2,1
375.499753,1201,15.75543,4,1
531.706355,1201,16.93344,3,1
883.073981,1201,19.135512,6,1
696.024811,1201,21.287565,5,1
988.919503,1201,22.47008,9,1
1074.291434,1201,24.646079,10,1
901.234277,1201,25.816079,10,1
1190.642385,1201,28.00911,12,1
1252.520463,1201,29.180134,13,1
2457.986579,2064,31.904185,26,1
1483.605516,1201,34.174243,20,1
1432.817682,1201,36.370359,19,1
1581.294274,1201,37.542394,20,1
1639.903345,1201,39.728733,25,1
1608.750241,1201,40.890742,26,1
1600.726313,1201,43.035756,23,1
1635.434963,1201,45.230785,24,1
1596.573449,1201,46.414793,25,1
1655.465866,1201,48.633879,26,1
1667.417825,1201,49.806882,31,1
1649.040129,1201,52.01442,29,1
1650.648434,1201,54.199223,28,1
1676.084285,1201,55.400744,29,1
1689.934178,1201,57.615745,29,1
1690.687762,1201,58.785742,33,1
36160.853008,24327,85.833189,638,4
26775.303784,17742,105.990658,675,6
20183.449968,13275,120.390929,590,4
18055.24022,11766,133.927016,554,1
21719.144286,14273,149.885413,810,6
14780.929875,8899,159.623308,545,1
18054.884878,12833,174.760202,728,10
22953.999714,16142,192.923575,898,13
24151.810821,15644,209.743886,979,11
16715.81551,10800,221.681858,701,7
24050.197724,15523,239.36751,1000,13
15589.473002,11715,252.883379,727,8
16546.434428,11692,265.320783,744,10
18795.698709,13205,280.681426,869,13
16846.42864,10779,292.586094,795,9
20990.373866,13320,307.990274,1000,27
13507.200354,8624,317.527941,683,13
10904.715503,6979,325.113502,599,7
17786.398507,11308,338.456239,895,31
16919.204302,10811,350.33939,868,24
11723.976589,8650,360.000848,642,13
11731.380113,7463,368.964402,622,8
11288.305276,7200,376.7211,608,7
13185.553429,8359,387.189084,713,17
8537.687683,5444,392.925011,493,4
12743.311385,8086,402.173553,678,18
13929.420485,8861,411.884116,759,14
11670.088801,7397,420.799038,657,16
12660.817223,8026,429.98945,707,9
10946.122413,6944,437.569231,603,13
12336.425059,7470,446.500101,652,5
7684.409592,4883,451.883073,460,9
10326.495957,6553,460.238906,602,7
10826.157622,6837,467.790981,608,11
14824.848155,9375,478.795535,806,21
12465.739175,7894,486.934094,716,8
10851.550351,6873,495.540735,635,15
6422.564592,4109,500.432782,380,9
6980.65578,4434,505.515487,447,3
11733.602797,8837,515.245342,728,15
8101.909317,5139,521.779102,508,7
8459.998869,5361,527.4331,529,11
8409.08207,5318,534.120277,545,11
6582.006426,4177,539.097368,436,5
8386.438256,5332,545.712919,534,9
11055.493648,6936,553.30432,697,19
6535.124979,4136,558.235526,429,10
8977.306354,5635,565.077125,602,9
4704.032978,3071,568.373318,309,2
6242.56282,3943,573.209284,421,6
12377.069679,7800,582.237145,783,16
5402.136066,3443,586.762197,357,5
8888.880442,5571,592.53434,586,14
11389.638527,7133,601.282529,726,25
10361.882119,6429,608.599077,651,18
9677.810704,7125,616.283216,621,16
6961.310338,4399,622.349355,474,4
7682.337771,5580,628.102361,484,15
6867.345946,4321,633.163762,452,9
7437.911906,4748,639.479286,489,11
8451.25319,5330,645.135463,541,8
6435.768597,4069,650.023058,441,7
5714.222572,3626,654.643121,386,4
8914.926113,5608,661.532191,590,8
9120.826923,5730,668.426721,601,15
7190.77366,4534,673.582806,502,7
6211.481119,3927,678.375889,425,4
7150.275256,4514,683.561889,488,5
8380.116987,5366,690.223071,526,13
7845.872313,4948,695.607122,522,7
9425.697482,5896,702.592141,621,14
8407.176702,5332,709.159154,547,7
8243.539434,5194,714.673783,550,6
8623.967194,5419,721.386348,583,9
9018.825302,5682,727.213892,597,5
10644.97724,6687,735.667007,693,19
10696.110272,6609,743.024244,710,31
8810.477446,5510,749.781847,593,16
7752.355679,4846,755.134857,512,13
6008.397642,3782,759.863411,411,3
7610.169636,4788,765.175354,505,9
8576.720678,5346,771.784063,556,13
6280.083152,3968,776.590136,432,9
9660.508557,6070,783.668662,650,10
6513.43131,4103,788.547806,455,4
9313.650248,5828,795.41839,611,21
7248.123796,4554,800.637441,511,8
5914.000416,3750,805.350911,378,7
10827.94741,6778,812.862097,710,11
9373.208733,4296,817.954032,364,15
7334.39787,4581,823.125271,497,17
7448.187175,4743,829.416283,491,8
8181.419339,5209,834.949992,529,12
8385.782621,5288,841.545425,551,11
7766.001873,4888,846.940066,524,12
8791.769878,5546,853.725381,575,13
6079.808485,3845,858.521505,417,7
9750.858418,6136,865.612515,641,11
3632.305764,2330,868.463062,261,2
8803.864899,5561,875.205209,580,7
7387.192528,4656,880.446725,493,12
7973.303202,5032,885.911773,531,5
6374.46006,4019,890.809334,438,10
9877.744593,6192,897.902976,649,13
11728.084385,7361,906.753322,737,18
7033.697499,4454,911.85543,480,2
6459.473626,4088,916.796463,434,5
10885.402784,6840,924.340111,699,18
6332.461957,4008,929.201443,445,2
7275.247158,4614,935.440454,483,4
8964.868055,5651,941.280536,572,12
9545.835351,6026,948.427545,619,9
11349.279253,7116,957.09986,720,17
10754.031706,6773,964.604382,680,13
5990.07836,3806,969.318848,401,6
11291.310302,7097,976.922458,716,12
9083.960916,5726,983.835045,584,12
7603.213976,4797,990.179098,509,7
6137.625915,3925,993.965262,396,9
5669.965794,3609,998.599263,384,3
13875.766629,8700,1008.203634,826,26
6761.307548,4264,1014.202627,460,9
9123.904986,5722,1020.088924,610,17
8612.811213,5438,1026.799396,563,8
6486.633092,4185,1031.777436,445,2
6548.900558,4158,1036.724495,457,8
5412.325995,3430,1041.261371,388,5
8905.089565,5592,1046.998587,592,11
7793.382004,4976,1053.461793,495,8
7810.568711,4880,1058.869539,512,17
7595.683375,4798,1065.268396,507,11
14330.51315,8962,1075.0191,898,35
8904.396487,5560,1081.746294,599,17
7267.206654,4559,1086.902924,504,10
5506.449329,3466,1091.490484,400,7
7057.443164,5163,1096.982484,452,16
10732.285273,6732,1104.483618,717,14
6034.311889,3822,1109.215142,429,4
8107.135339,5060,1115.696566,554,18
7197.782045,4439,1120.861172,496,4
9238.266579,5789,1127.789031,626,13
7165.122575,4500,1132.910637,512,10
7677.299031,4825,1138.247689,542,7
4385.941864,2652,1142.32039,271,1
7399.108467,4636,1147.556396,508,15
7611.063633,4777,1152.863469,541,12
9287.26979,5823,1159.830707,640,12
5631.036182,3592,1164.452724,398,9
8035.323954,5001,1169.883617,559,16
