#{"t_start": 1712773622.5808177, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1165.800593,1201,1.172849,0
-1238.023405,1201,3.305882,0
-1106.785317,1201,4.46488,0
-1091.095082,1201,6.579883,0
-1352.782407,1201,7.72688,0
-1229.238214,1201,9.883882,0
-1010.802205,1201,12.009691,0
-648.464465,1201,13.1617,1
-1076.677682,1201,15.314579,0
-822.157573,1201,16.454095,1
-704.606318,1201,18.622093,1
-465.294977,1201,20.778096,2
-279.85273,1201,21.933095,3
-437.209104,1201,24.061119,2
347.201825,1201,25.20012,8
401.370189,1201,27.341214,10
431.416193,1201,28.495248,10
448.124029,1201,30.639271,11
287.09171,1201,32.780271,11
190.539706,1201,33.918269,11
132.243545,1201,36.04627,11
254.843223,1201,37.195284,13
141.977624,1201,39.344465,12
205.85402,1201,41.47947,11
0.827017,1201,42.630479,10
321.306136,1201,44.75359,11
-296.382449,1855,47.275011,14
34.681139,1201,48.420026,12
248.195445,1201,50.580462,13
293.051647,1201,51.717979,12
-237.604437,1201,53.895331,12
232.826243,1201,56.070344,11
-74.469488,1201,57.226345,11
269.776787,1201,59.363346,12
164.065467,1201,60.506357,11
194.873164,1201,62.641896,13
468.200128,1201,64.761638,14
474.551441,1201,65.931673,17
413.197922,1201,68.154682,12
572.941576,1201,69.315202,17
893.825035,1201,71.471197,22
476.543994,1201,72.616199,17
864.738186,1201,74.747218,20
787.968838,1201,76.907228,20
985.965538,1201,78.06927,26
1025.503086,1201,80.243368,30
966.740782,1201,81.393383,25
1052.571931,1201,83.562187,28
1058.995081,1201,85.679708,30
9133.450897,9835,95.794514,192
32116.005868,31595,130.653498,1000
19694.759677,18743,150.959784,1000
16457.685945,15499,168.361642,1000
14620.523047,13953,182.894888,989
14071.888852,13112,197.948392,1000
13768.063685,12807,211.82361,1000
13353.90719,12394,225.448833,1000
12709.035763,11748,238.714417,1000
12129.781474,11170,250.584853,1000
11808.814757,10849,263.250946,1000
11490.760613,10531,274.748971,1000
11692.778262,10733,286.417638,1000
11348.783336,10389,297.859992,1000
10139.48845,9357,308.615719,922
10956.253128,9994,318.829314,1000
9678.196207,10154,330.16974,943
10554.184036,9697,341.150104,996
10555.187337,9593,352.118653,1000
10036.068446,9219,361.860299,954
10470.208451,9508,372.783487,1000
9958.745896,9127,382.457344,969
8044.933806,7374,391.1758,808
10034.101624,9072,400.864983,1000
9917.885007,8957,411.612583,1000
7945.978229,8443,420.898181,837
9558.14512,8596,430.299083,1000
9489.868558,8653,439.724762,1000
9282.139688,8320,448.898394,1000
7510.192798,6815,457.409129,833
7346.915115,6645,464.632358,839
7210.282752,6526,471.877364,822
6906.891268,7428,480.593503,822
6911.123719,6359,487.735157,802
8930.086491,7968,496.77175,1000
7706.531764,6956,504.204377,888
6698.164683,6044,511.154226,792
5923.062937,5711,517.95897,490
8874.154444,7912,526.999146,1000
8550.246096,7826,535.84934,967
8169.100569,7449,543.576449,929
8784.836857,7943,552.594008,979
8165.007861,7393,561.288269,909
7912.836046,7148,568.840646,902
8306.86548,7519,577.671602,925
8905.0141,7943,586.717184,1000
7885.330833,7129,594.237023,894
7891.090277,7150,602.807633,878
8273.307411,7477,610.544031,934
8750.084255,7788,619.494485,1000
6556.596356,6193,626.500497,501
6766.910019,6546,633.730392,509
8738.11155,7776,642.625618,1000
7461.799507,7038,651.161182,561
7232.336448,6950,658.640345,550
8246.844782,8746,668.124398,590
9661.658553,9146,678.939341,652
8991.459839,8482,688.293549,647
6596.575905,7476,697.074432,536
9669.321546,9851,707.228071,649
7712.149069,7470,716.23653,578
8897.413957,8538,725.583215,630
7800.432672,7235,734.174999,907
7755.232416,6992,741.651061,901
7825.691431,7052,750.192293,907
7577.511718,6820,757.690361,895
6868.785269,6201,764.718551,805
8518.197357,7556,773.521587,1000
6622.056565,6227,780.633128,532
9476.38318,8987,790.266832,627
7997.252877,7549,799.063127,584
9290.583975,9381,809.013581,631
7951.548792,7492,817.802606,596
6842.629634,7185,825.334979,787
7423.069001,6683,833.637182,878
8190.009377,7369,841.307943,961
8540.093737,7578,850.160172,1000
7031.976941,6311,857.289915,858
7300.898812,6552,864.531766,886
6875.139276,6182,871.514822,831
7747.622303,6948,879.974396,937
7094.182742,6365,887.075448,867
6901.042213,6255,894.105831,782
6181.881637,5541,900.746968,778
6307.289435,5650,906.491608,795
6926.848481,6883,914.946671,810
7959.876445,8728,924.424851,576
7979.742147,8440,933.700705,588
6889.202172,7726,942.631212,537
9236.352148,9115,952.367419,633
6305.635035,5941,959.19246,501
7369.917985,6952,967.649457,554
8192.140127,7736,975.678788,592
7521.043796,7086,984.224234,571
8827.648034,8356,993.534397,608
6608.501109,6273,1000.607962,472
6372.551324,6000,1007.574539,509
7324.80312,8222,1016.881657,554
7924.997886,8423,1026.225217,591
7745.138874,8164,1035.425889,551
8420.033869,7963,1044.535463,596
8251.798974,7898,1053.517719,593
8162.282636,7718,1062.438819,581
8730.524028,8806,1071.988086,612
9178.942456,9702,1083.077624,645
8570.110089,8209,1092.295131,609
6436.721863,5781,1098.024156,794
7814.877886,8374,1108.389894,568
9262.840135,8779,1117.945956,620
5991.567936,5655,1124.651111,473
8705.944345,8243,1133.829407,599
