#{"t_start": 1707920431.0220919, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-1169.492188,1201,0.806999,0
-1231.97356,1201,2.647999,0
-1107.205991,1201,3.434998,0
-1200.818976,1201,5.254,0
-1328.966163,1201,6.043009,0
-1225.957616,1201,7.879008,0
-1125.423958,1201,9.715006,0
-866.702847,1201,10.496007,0
-915.733845,1201,12.365601,1
-502.831893,1201,13.138601,3
-445.597317,1201,14.963602,2
96.118434,1201,16.765601,6
3.212872,1201,17.563601,8
19.252978,1201,19.3816,8
386.204533,1201,20.161602,11
444.223414,1201,21.984601,11
405.779456,1201,22.7626,10
213.355176,1201,24.614601,9
-104.305948,1201,26.468601,10
857.994832,1201,27.252601,19
113.422449,1201,29.073602,11
63.226119,1201,29.850614,11
-52.138105,1201,31.666613,11
259.461038,1201,33.480287,13
398.993693,1201,34.264284,14
739.946415,1201,36.094283,19
-149.199931,1201,36.865284,10
55.522129,1201,38.698284,10
119.207102,1201,40.494286,11
154.064205,1201,41.303284,11
291.853894,1201,43.125287,13
153.859966,1201,43.904579,13
668.594352,1201,45.738579,17
138.958002,1201,46.52058,15
240.074882,1201,48.338137,13
60.767341,1201,50.152146,10
-10.425393,1201,50.934146,11
387.786989,1201,52.742101,18
156.601027,1201,53.517101,14
144.082871,1201,55.34264,12
258.646431,1201,57.156638,12
265.119102,1201,57.950637,14
154.939391,1201,59.800644,12
589.372323,1201,60.596745,17
709.914248,1201,62.433491,20
954.87757,1201,63.21349,25
812.909531,1201,65.06257,22
684.886977,1201,66.916779,21
952.925087,1201,67.722814,22
1000.363666,1201,69.559426,29
583.258952,705,70.046437,22
640.5416,809,71.609195,23
1025.236523,1201,72.413194,31
984.829697,1201,74.238689,32
1059.738652,1201,75.026689,28
1020.021323,1201,76.865162,28
1053.740974,1201,77.650163,29
1003.217801,1201,79.496164,28
1041.5146,1201,81.33656,31
1061.057041,1201,82.11756,33
1087.696133,1201,83.954563,33
1061.674385,1201,84.734562,35
1062.133633,1201,86.57056,34
1054.475917,1201,88.407561,33
1044.802097,1201,89.197561,32
1050.610762,1201,91.04656,32
978.404353,1201,91.832561,29
1071.712182,1201,93.66756,34
1066.645081,1201,95.478561,31
1082.213364,1201,96.278575,36
1095.986291,1201,98.109572,36
1084.204833,1201,98.890572,33
1068.739604,1201,100.715571,34
1068.39188,1201,101.501573,36
1065.319414,1201,103.339572,38
1050.584029,1201,105.159571,38
1093.792317,1201,105.946571,40
1094.970243,1201,107.787573,42
2277.697391,2407,110.33524,71
1100.367409,1201,112.169809,42
2133.036865,2380,114.734809,74
2284.801521,2356,117.258547,80
2131.771964,2375,119.799597,68
2267.15873,2369,122.337621,79
1098.41944,1201,124.147622,39
2217.925808,2343,126.67427,79
2069.166924,2362,129.208264,75
1066.015297,1201,131.017263,42
2137.064385,2304,133.562341,77
2153.549697,2317,136.12834,80
2235.605284,2418,138.696023,82
2060.344991,2372,141.230027,79
2152.494649,2245,143.680024,85
2032.480534,2326,146.163024,88
2144.758978,2197,149.644024,92
1844.815874,2169,152.052023,85
2034.397806,2107,154.435404,87
2142.165955,2197,156.897419,87
1979.100592,2117,159.26842,87
2105.490498,2218,161.693157,84
2035.583806,2121,164.071168,87
1897.086063,2109,166.458156,87
2046.435224,2131,168.852157,83
2010.962629,2105,171.231169,82
2096.390121,2145,173.614169,92
2098.208427,2147,176.01717,91
1902.24125,2156,178.399169,88
3341.110899,3373,182.580067,137
2025.371215,2218,185.013067,89
3261.5334,3280,188.119068,139
3218.347531,3222,192.199707,141
3235.661857,3236,196.260709,140
3245.587003,3273,199.33797,134
2047.549208,2097,201.71797,91
1847.810189,2075,204.07297,88
2904.99038,3251,208.15769,127
3190.288698,3221,211.205229,134
2282.122049,3220,215.327962,114
3244.3064,3249,219.357375,139
2633.989891,3089,222.325389,115
1721.933511,2059,224.66239,73
1983.050067,2064,227.005402,85
1923.49401,1988,229.299413,91
1846.121271,2064,231.657412,82
1907.206902,2022,233.990412,87
2092.754864,2154,236.413105,93
1813.166061,1989,238.70412,84
1763.106822,1990,240.998122,85
1857.504541,1953,243.283122,89
