#{"t_start": 1714388584.6550033, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
-212.0,1201,3.727017,0,1
-188.5,1201,7.966017,0,1
-57.5,1201,11.292016,0,1
-26.0,1201,15.612015,0,1
4.5,1201,18.738016,0,1
233.0,1201,22.900017,5,1
265.5,1201,27.042223,5,1
380.5,1201,30.142224,11,1
373.0,1201,34.286233,10,1
463.5,1201,37.417232,11,1
988.5,2171,46.530739,28,1
669.0,1201,50.65574,24,1
658.5,1201,54.753741,23,1
716.5,1201,57.858749,26,1
742.0,1201,61.990762,28,1
779.5,1201,65.088763,31,1
17004.0,21505,709.572114,590,6
14803.0,15096,1031.903327,612,7
12643.0,12771,1264.818068,574,7
10884.5,11017,1440.787926,529,4
16656.5,16792,1838.070436,849,4
8900.5,9018,1956.942217,515,1
18502.5,18514,2437.741873,1000,17
8413.5,8522,2545.830443,455,2
13509.0,13622,2809.520613,764,2
11225.0,11332,2995.662156,647,5
12829.5,12935,3233.229125,709,4
14700.5,14817,3542.641126,761,4
16622.5,16734,3935.468411,845,5
18204.0,18317,4401.768489,944,11
8390.0,8491,4508.444487,492,2
14161.0,14271,4795.530489,764,2
16110.0,16235,5165.006269,808,8
12263.0,12373,5382.894266,621,10
18684.0,18694,5869.631266,1000,5
14435.5,14538,6167.62029,812,7
9405.5,9511,6298.333288,557,4
9192.0,9296,6424.495289,464,2
14921.5,15050,6742.839288,692,6
19380.5,19495,7272.600342,942,11
11539.0,11643,7466.667342,591,4
12842.0,12952,7704.78434,642,2
17753.5,17877,8151.601475,865,5
20290.5,20308,8730.954497,1000,5
12224.0,12345,8948.886916,587,4
20115.0,20134,9511.999393,1000,7
13212.0,13364,9766.258697,576,4
11724.5,11845,9967.100164,555,4
21046.5,21185,10590.340906,997,10
19026.5,19048,11096.753823,1000,10
11186.5,11289,11280.080556,602,8
13700.0,13801,11550.350354,809,4
8705.5,8808,11663.692195,535,2
11316.0,11417,11849.814002,676,7
8619.5,8725,11961.960684,500,2
18834.0,18846,12457.666194,1000,4
9305.0,9415,12587.367456,524,3
13564.5,13676,12852.104771,745,1
12227.0,12340,13069.780135,611,4
16050.5,16159,13436.986513,788,11
14123.0,14236,13724.061757,694,4
14052.0,14156,14008.023282,766,14
15666.0,15767,14358.369263,841,7
10710.5,10813,14526.505392,588,4
16774.0,16875,14925.937212,905,5
13604.0,13708,15192.513751,814,3
8266.0,8367,15295.532957,452,4
14911.5,15014,15613.654581,822,7
8231.0,8332,15715.702067,428,4
17758.0,17859,16162.28094,996,3
18297.5,18400,16635.867252,937,17
13746.5,13849,16908.354585,752,8
15234.5,15337,17239.51254,810,4
16992.0,17096,17649.875206,912,13
9373.0,9477,17780.067152,567,1
15408.0,15512,18119.648259,877,8
12754.0,12855,18354.371126,715,6
9384.0,9485,18485.608485,517,4
13849.0,13953,18761.698907,829,4
10918.0,11019,18935.919125,661,7
9539.0,9640,19071.178249,598,1
11740.0,11841,19271.532218,626,4
16272.0,16373,19648.247,889,9
10444.0,10545,19809.912565,563,2
16002.5,16105,20173.950581,838,8
11170.0,11271,20357.135564,605,4
