#{"t_start": 1708692530.083919, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-259.5,1201,1.437,0
-199.5,1201,3.412,0
-108.0,1201,4.191,0
-1.0,1201,6.063,0
87.5,1201,6.845002,0
265.0,1201,8.752001,7
235.0,1201,10.618,4
385.0,1201,11.394001,10
414.5,1201,13.276,12
420.0,1201,14.073,11
1009.0,2356,17.810999,26
1085.0,2065,20.309,32
2265.0,3858,23.849,71
6473.0,8956,34.704,184
7834.5,9087,44.254002,285
7816.5,8102,54.081002,300
7336.0,7471,64.522,300
6843.0,6889,72.973001,300
5514.0,5636,79.706,208
7317.5,7453,88.461999,288
6030.5,6143,95.259004,235
6256.0,6269,102.023999,300
6508.5,6617,109.070001,260
4819.5,4931,114.107,184
6869.5,6884,122.352,300
3267.5,3376,125.395001,160
2947.0,3051,129.291,143
5453.0,5566,134.565,194
3535.0,3642,138.725001,128
3714.0,3821,143.039,182
6625.5,6631,149.959,300
5703.0,5810,156.398,257
6299.0,6303,163.406584,300
7537.0,7638,172.029583,297
