#{"t_start": 1712849262.8576217, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-515.0,1201,1.218002,0
-477.5,1201,3.440001,0
-368.0,1201,4.637009,0
-240.5,1201,6.846102,0
-139.5,1201,8.028143,0
-153.5,1201,10.266254,1
-69.5,1201,12.490351,5
110.0,1201,13.681351,8
6.5,1201,15.926388,7
156.5,1201,17.105438,10
180.5,1201,19.312518,11
202.0,1201,21.509581,11
355.0,2130,24.307703,24
377.5,1201,25.497705,17
513.5,1201,27.71479,21
501.0,1201,28.910829,21
692.0,1201,31.127831,25
593.0,1201,33.291355,24
634.5,1201,34.500353,27
650.5,1201,36.695364,30
648.5,1201,37.882361,32
2741.5,6409,45.251154,124
6343.0,10393,56.98847,252
16967.5,18050,77.478163,629
25134.5,20767,100.507676,952
24814.0,18018,120.776523,1000
18189.0,13576,136.488004,798
21757.5,14864,152.928008,1000
13726.5,9798,164.195343,666
20473.0,14056,180.091461,941
14075.0,9517,190.239763,705
21410.0,14090,206.069709,1000
15199.0,10223,217.643169,743
9513.5,6397,224.895693,492
8880.5,6007,231.953313,498
10988.0,7246,240.763091,611
6782.5,4622,245.971189,400
10766.5,7028,254.668299,581
12359.0,8041,262.99133,668
19570.0,12504,278.025193,1000
12987.5,8407,287.54356,714
10325.0,6804,295.058657,597
11442.0,7356,303.921716,646
9304.0,6647,311.388256,500
20592.0,12939,325.697145,999
9510.5,6184,332.892282,568
11686.0,7520,341.832309,661
11156.5,7241,349.644925,631
9158.0,5914,356.664062,534
10261.0,6608,365.095613,600
9316.5,5967,371.133153,528
7804.0,5117,377.667424,458
11290.0,7286,385.498708,630
8110.0,5276,392.154404,446
9996.5,6493,399.502578,576
9916.5,6474,406.857214,566
10544.0,6778,415.393749,596
12331.5,7902,424.543958,705
9657.5,6145,431.731161,543
15005.5,9569,441.914107,813
13319.5,8402,451.446481,746
13449.0,9270,462.599917,693
10242.0,6573,470.024992,581
10513.5,6818,477.597186,594
8467.5,5580,484.439781,500
7055.5,4691,489.778423,412
18926.5,11847,503.372016,1000
9676.5,6201,510.599151,565
8962.5,5727,517.558447,521
11432.0,7312,526.457359,650
14556.0,9744,536.728906,765
8952.0,5742,543.664183,497
9155.5,5849,550.642379,529
9719.0,6307,557.904079,564
19145.0,11987,571.576651,1000
12888.5,8200,580.909708,729
15354.5,9679,592.153766,858
7894.0,5144,597.71979,459
