#{"t_start": 1713316943.3582952, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
336.5,1201,1.209009,0,1
454.0,1201,3.428044,0,1
517.5,1201,4.619056,0,1
616.5,1201,6.817662,0,1
656.0,1201,7.98866,0,1
745.0,1201,10.167217,1,1
725.5,1201,12.349308,2,1
757.0,1201,13.532357,3,1
874.0,1201,15.763928,7,1
913.5,1201,16.936946,6,1
929.0,1201,19.122484,10,1
982.0,1201,21.267486,11,1
1988.5,2092,24.010497,28,1
1134.5,1201,25.200524,16,1
1184.5,1201,27.418534,21,1
1237.5,1201,28.591054,22,1
1282.5,1201,30.802084,24,1
1339.0,1201,31.973109,25,1
1355.0,1201,34.179032,27,1
1392.0,1201,36.365035,31,1
27640.0,21304,59.705676,591,2
23346.5,15601,77.670581,659,4
23037.0,15409,94.540512,716,5
17740.0,11807,108.241785,611,2
26847.0,17916,128.626277,878,4
17060.0,11447,141.067454,549,2
26005.0,17397,161.098734,783,6
20169.0,13519,175.788057,614,4
26118.0,17439,195.897849,850,7
23085.0,15419,212.755104,746,5
17487.5,11673,226.253045,580,5
21665.5,14434,242.40885,700,5
29609.0,16481,260.906182,768,26
17980.5,12017,275.020653,555,4
18808.5,12564,289.228117,650,5
24112.0,16110,307.474293,805,8
18699.0,12521,321.590624,620,3
29613.5,19660,343.993886,1000,12
23994.5,16060,362.196924,802,3
13224.0,8861,372.084638,467,1
12663.0,8491,381.752744,405,3
28442.0,18925,402.763264,1000,5
26328.0,17555,422.970603,887,9
28861.5,13433,438.586857,686,5
20835.5,13837,453.529364,662,7
13557.5,9096,464.724586,422,2
26477.0,17642,483.955964,849,10
15210.0,10207,495.627274,488,1
23412.5,15650,513.67042,756,8
22687.0,15177,530.375927,758,4
16623.5,11137,543.725935,557,4
17390.5,11583,556.285248,649,3
16159.5,10830,569.490708,562,2
17761.0,11882,583.179363,643,6
14148.0,9486,593.54654,488,3
30500.5,20316,616.328935,995,15
27153.5,18045,636.68533,921,13
18696.5,12444,650.753968,680,9
17244.0,11544,664.263117,613,6
16441.0,11009,676.436567,613,3
20758.0,13888,692.384246,731,4
24817.5,16604,710.910731,898,4
24290.5,16208,729.201139,878,10
16868.0,11079,741.433463,653,8
10339.0,6883,750.126062,434,1
22922.5,15301,766.971013,849,10
12640.5,8456,776.540211,471,3
14574.0,9753,787.822476,595,4
19172.5,12838,802.022354,755,3
27713.5,18438,822.645472,1000,12
25825.0,17189,842.450528,1000,7
20126.5,13474,857.082082,735,4
28291.5,18682,877.958046,1000,26
22699.5,15052,895.562085,800,13
25157.0,16743,914.094591,1000,5
26069.5,17339,933.050266,1000,12
11386.5,7591,942.132473,460,4
14081.0,9419,953.272237,565,5
17003.0,11391,965.622984,623,3
20544.0,13666,981.298954,715,9
14607.0,9772,992.695336,594,4
12948.0,8699,1002.496283,491,1
23366.5,15608,1019.254579,850,12
16520.0,11070,1032.478999,680,2
21642.5,14492,1048.694736,824,5
17933.0,11948,1062.391373,724,12
25938.0,17252,1081.296791,1000,16
18658.0,12493,1095.21157,708,8
24909.0,16597,1113.695079,1000,9
23816.5,15926,1131.79206,907,5
