#{"t_start": 1712767987.6250129, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-229.0,1201,1.192001,0
-164.5,1201,3.361011,0
-122.0,1201,4.525678,0
-34.0,1201,6.678689,0
63.0,1201,7.827698,1
254.0,1201,9.988698,5
307.0,1201,12.152699,7
426.0,1201,13.320708,11
399.5,1201,15.491723,12
972.5,2241,18.248857,31
617.0,1201,19.401904,22
707.5,1201,21.582567,27
712.5,1201,23.75258,25
774.0,1201,24.928403,30
775.5,1201,27.072948,30
745.0,1201,28.239473,29
1428.5,2398,32.077475,50
1342.0,2145,34.80149,52
1714.0,2754,37.871513,72
2417.5,3799,42.543559,91
2932.0,4757,47.788569,111
3376.0,5061,54.215113,132
5336.0,7750,62.197209,209
24890.0,28251,93.123353,1000
19865.0,19961,115.566264,1000
16946.5,16961,133.933341,1000
16514.5,16535,152.081849,1000
15421.5,15427,169.517486,1000
14812.5,14818,185.562881,1000
14882.0,14883,201.714938,1000
15612.0,15616,219.224256,1000
16161.5,16179,237.038509,1000
15444.0,15460,253.521923,1000
14316.5,14319,269.484151,1000
13667.5,13670,284.964345,1000
13609.0,13610,300.325134,1000
13697.5,13700,314.722203,1000
14092.0,14096,330.363801,1000
14489.0,14490,346.191796,1000
14193.0,14194,361.889903,1000
14315.5,14318,377.57022,1000
14000.5,14003,393.228052,1000
13660.0,13661,408.560094,1000
13296.0,13297,422.682705,1000
13003.0,13004,437.617447,1000
12721.0,12722,451.476235,1000
11914.0,11915,464.857419,1000
11398.0,11399,476.820251,1000
11175.0,11176,489.730266,1000
11331.0,11332,501.813175,1000
11891.0,11892,515.165111,1000
11935.0,11936,528.571771,1000
11600.0,11601,541.715799,1000
11399.0,11500,553.797198,977
11470.0,11471,566.996108,1000
11584.0,11585,579.091566,1000
11319.0,11320,592.147943,1000
11205.0,11206,604.047917,1000
10969.0,10970,616.872354,1000
10769.0,10770,628.546544,1000
10447.0,10448,640.039779,1000
9758.0,9859,651.304337,961
9868.0,9869,662.46477,1000
9705.0,9706,672.485244,1000
9543.0,9544,683.413011,1000
9831.0,9832,694.51969,1000
9517.0,9618,705.5608,981
9805.0,9806,715.698786,1000
9682.0,9783,726.763005,986
9786.0,9787,737.862216,1000
10600.0,10701,749.566356,976
9733.0,9734,760.616918,1000
9606.0,9607,771.620085,1000
9667.0,9668,781.740402,1000
8656.0,8757,792.412548,891
9893.0,9894,802.549603,1000
10260.0,10261,813.944021,1000
10137.0,10138,825.188102,1000
10421.0,10422,837.575138,1000
10721.0,10722,849.266364,1000
10733.0,10734,860.915244,1000
11149.0,11150,872.949167,1000
11177.0,11178,885.899999,1000
10841.0,10842,897.651709,1000
10832.0,10833,909.287294,1000
10610.0,10611,921.945509,1000
10645.0,10646,933.574815,1000
10242.0,10243,944.951676,1000
10707.0,10708,956.588776,1000
10368.0,10369,968.030591,1000
10690.0,10691,979.711871,1000
10659.0,10660,992.272051,1000
10437.0,10438,1003.733754,1000
10491.0,10492,1015.256153,1000
10461.0,10462,1026.749569,1000
10586.0,10587,1038.296588,1000
10607.0,10608,1049.951406,1000
10789.0,10790,1062.590005,1000
10913.0,10914,1074.39106,1000
10524.0,10625,1086.150621,943
11006.0,11007,1097.953498,1000
10571.0,10572,1110.499031,1000
