#{"t_start": 1707926084.2063205, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
246.4,1201,0.801,0
281.1,1201,2.547001,0
298.1,1201,3.322,0
349.1,1201,5.106999,0
411.4,1201,5.873999,0
522.3,1201,7.594,3
555.0,1201,9.355,6
599.4,1201,10.134003,10
610.6,1201,11.905999,10
647.7,1201,12.672999,14
673.3,1201,14.444003,13
687.2,1201,16.174003,14
752.9,1201,16.962,22
758.9,1201,18.769999,20
814.3,1201,19.534002,23
803.4,1201,21.295,25
807.8,1201,22.055,24
827.5,1201,23.805999,24
840.8,1201,25.566,29
911.5,1201,26.332999,34
923.7,1201,28.105999,37
941.4,1201,28.869999,38
958.3,1201,30.644999,38
952.0,1201,32.405,41
1875.1,2356,34.880003,73
1863.7,2366,37.357001,67
988.1,1201,38.127001,42
1874.5,2343,41.572999,74
1814.4,2205,43.955002,80
964.8,1112,44.668998,52
1849.9,2182,47.033001,86
1840.1,2125,49.337001,87
1796.1,2072,51.598001,90
1781.1,1991,53.824,92
2765.5,3140,57.711001,132
2659.7,2923,60.474002,121
2757.6,3076,64.334002,133
2803.4,3080,67.181999,129
2732.8,3035,71.059795,138
2423.1,2628,73.708795,127
2797.0,3013,77.571797,121
2816.9,2989,80.415797,142
2727.6,2861,83.165797,118
2816.7,2951,86.983796,135
1905.5,2022,89.237795,112
3588.7,3734,93.523557,168
3826.0,3969,97.919555,185
5672.0,5825,103.424555,284
2641.6,2757,107.139554,118
3447.1,3558,110.304554,167
5316.7,5430,116.585555,278
5655.2,5766,123.051554,255
1115.0,1216,124.807557,85
3216.8,3320,127.851554,158
2706.0,2807,131.568554,169
5170.5,5177,136.681554,301
2764.0,2865,139.386554,170
3073.6,3178,143.347556,165
5227.6,5233,149.479555,301
1756.9,1859,150.627555,119
3105.0,3206,154.555557,171
1881.9,1984,156.790554,144
1105.9,1208,158.618555,89
2352.0,2453,161.120556,135
4007.9,4110,165.581554,245
4877.7,4882,170.476554,301
2672.0,2773,174.192554,190
1668.0,1769,175.301556,128
1751.0,1852,177.454556,133
4918.8,4922,183.457554,301
