#{"t_start": 1705531866.9630964, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
48.375467,212,0.597,11
-1722.659272,745,1.516001,3
-8012.318228,2182,4.251,5
30.880501,193,4.828,16
-2763.176974,1197,7.004999,29
-405.902858,530,7.781002,9
-57.242003,91,8.294,9
-77.625311,295,8.923999,10
-282.09825,115,9.466999,0
-95.001531,171,10.032002,13
13.941898,166,10.589,13
-369.065836,120,11.152,0
102.82139,312,12.792,31
27.413317,180,13.365999,9
31.478267,206,13.950001,18
25.852425,177,14.520002,8
106.32532,338,15.181001,13
-241.602591,140,15.732001,0
-40.500377,130,16.274001,2
-3327.702733,861,18.238339,13
-99.192775,241,18.85934,5
-1.269028,334,19.518341,24
-644.632461,481,20.266341,10
-441.803161,322,21.005339,20
-1723.113818,1199,23.144341,0
-7305.768332,1574,25.575343,5
-1433.85598,469,26.356343,11
-124.631876,121,26.88934,4
145.436847,425,27.596342,12
-342.021437,216,28.194342,1
-217.459364,164,28.770341,1
-239.572597,171,29.34134,1
-5525.650466,1510,31.756344,6
-29.963268,111,32.29634,12
-2619.47548,1014,34.34834,10
-5056.094606,1014,35.42034,4
-220.36666,92,35.97534,0
-590.037915,543,36.76934,30
354.085975,489,38.46934,21
-127.149827,144,39.02834,6
-3526.216963,1024,40.12234,2
-875.755976,608,41.87734,12
-118.597254,515,42.643341,28
186.8979,294,43.28634,46
-1881.008995,1304,45.488342,29
-108.291473,574,46.291341,11
-1410.519109,700,47.16434,27
-305.075811,216,47.771343,0
-467.997613,256,48.426341,1
183.208869,492,50.313342,24
-25.613327,114,50.872341,11
-5493.720404,1181,52.142341,9
-82.349624,74,52.661339,7
335.466972,455,54.420339,42
552.293308,616,55.262342,100
-565.447768,382,55.945341,14
96.808813,241,56.548342,22
276.111885,379,57.23134,59
-88.753313,66,57.73434,5
-4487.230875,1278,59.88034,27
-421.296636,366,60.55734,14
24.344149,181,61.125343,21
-334.115486,361,61.804342,18
181.377476,306,63.41434,40
356.679086,484,64.160341,59
274.43857,364,64.84634,62
124.3007,258,65.46234,22
-3092.348555,1062,67.563339,46
409.506524,528,68.334342,69
534.192345,592,69.154341,99
-24.696398,113,69.694341,12
-88.752733,64,70.19634,3
87.345156,204,70.77634,37
77.945108,209,72.291343,25
-9.455772,1260,73.49634,126
-87.308035,67,74.00434,4
-91.140653,60,74.507342,3
-77.783245,79,75.02534,5
165.858634,269,75.649341,45
-2.498338,144,76.208341,15
-327.515702,609,78.03034,47
141.717102,263,78.65034,34
-62.736917,87,79.17134,7
-80.520204,75,79.697474,6
-158.402436,194,80.281474,11
114.804609,236,80.882473,43
-40.065867,99,81.408474,10
-121.057869,113,81.948474,4
35.540055,351,82.630473,49
772.231444,781,84.588475,148
-40.490925,109,85.136475,10
-65.616636,79,85.649475,8
36.496102,169,86.214473,29
-77.025894,82,86.726474,5
-32.812297,110,87.253474,11
-78.987496,78,87.764475,4
511.861542,791,89.636473,74
-34.934363,362,90.325474,21
-86.461022,67,90.836474,4
-132.923503,115,91.368474,5
129.231112,264,91.991474,25
-142.781461,255,92.619473,8
-8.042759,235,93.220474,8
199.199959,320,93.871474,40
-8.080198,143,94.422475,10
-84.894689,137,94.970474,4
153.403403,691,96.871474,49
285.306659,414,97.573474,53
59.773755,198,98.154474,25
-125.372735,1007,100.171472,49
57.445817,197,100.757474,20
319.978955,430,101.467474,55
-16.716918,119,102.000474,17
56.027575,202,102.582474,16
2470.7372,2431,105.385473,412
-2.305494,133,105.932477,14
284.845637,375,106.618474,69
-54.268206,93,107.135473,7
188.445587,292,108.744474,50
12.913277,150,109.314473,15
-78.560172,75,109.829474,4
103.392303,223,110.423476,33
-54.87132,88,110.939909,9
-64.494543,83,111.453909,7
-89.824055,60,111.955909,4
-88.103519,63,112.457912,2
-95.221995,60,112.963909,3
-81.072324,76,113.483909,5
10.457971,145,114.04591,17
-48.558388,95,114.57391,8
-86.765539,74,115.089908,5
286.261821,376,115.773909,69
-19.122123,124,116.319909,15
895.162791,893,118.257908,174
163.291484,265,118.875909,51
-75.9922,72,119.385909,4
298.029121,386,120.080909,71
91.320395,333,120.740909,44
-83.783864,67,121.244909,5
519.027124,571,123.085912,103
-76.812708,79,123.60791,4
182.892615,295,124.243908,36
38.412149,215,124.83291,11
8.626091,161,125.626909,9
276.620971,378,126.339911,60
1048.361634,1131,128.54191,183
-83.538217,65,129.054909,3
-65.970549,87,129.570909,5
-81.031012,66,130.076909,5
-92.275507,59,130.573909,2
-96.074343,57,131.076909,2
-92.083047,62,131.575911,4
-88.541917,69,132.080909,4
-84.455712,70,132.587909,5
-139.262006,387,133.274909,17
-48.963641,94,133.801909,9
666.23235,691,135.70591,145
-54.657478,94,136.232912,6
-65.71987,79,136.749908,6
540.650266,595,137.552909,105
-68.827361,80,138.069909,5
-760.426673,453,138.795908,10
386.673055,439,140.535911,96
-82.563765,68,141.05291,5
161.655456,273,141.679909,52
337.361641,439,142.406909,60
-86.359054,66,142.917913,3
-6.909001,494,143.672909,28
-88.777428,63,144.172909,2
588.491743,614,145.989909,130
38.899956,163,146.565909,22
-80.853532,63,147.07991,4
152.876623,254,147.69391,37
243.554299,331,148.350909,64
368.350914,447,149.074909,79
328.221682,420,149.79291,55
-86.721904,63,150.297911,4
81.09325,210,150.883909,34
64.283637,206,152.452909,15
319.136488,405,153.173909,69
-85.521612,65,153.675909,4
-731.316041,475,154.414909,11
-37.220107,110,154.942909,9
-96.834045,53,155.438909,2
178.828282,309,156.08391,28
553.147106,589,157.827909,133
310.657054,418,158.53791,50
-80.42619,66,159.042914,4
-109.34488,119,159.60591,4
-80.369418,65,160.110908,4
-92.319531,69,160.620909,3
-53.192873,94,161.15291,10
189.788991,315,161.859911,36
442.705946,695,162.765908,86
-52.094716,102,163.339909,9
37.334618,172,164.927909,19
-74.729485,95,165.464909,4
-88.196517,68,165.970908,4
-31.619419,118,166.50591,12
24.192714,181,167.079909,28
33.380536,178,167.64491,15
-79.599883,72,168.154909,3
874.224295,870,169.11491,154
