#{"t_start": 1706042997.1934762, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-694.707634,698,0.929485,12
192.702623,439,1.648825,36
40.983063,269,2.264854,20
-789.86495,403,2.988801,8
-1934.03115,1001,5.155803,5
-161.87126,469,5.923895,15
12.660766,489,6.708896,39
-986.406745,521,8.576895,0
42.193035,186,9.159894,13
-258.645327,582,9.996895,24
-278.999189,217,10.598895,1
-74.071348,373,11.296895,21
-19.260704,128,11.842894,5
-83.570048,70,12.342894,4
-206.466862,237,12.948894,3
202.490891,341,14.604895,33
-478.801422,377,15.328908,9
-7990.065782,1451,17.639906,75
238.373171,535,18.457908,79
371.514237,464,19.200906,54
338.463844,661,20.063906,64
-80.70408,70,20.575907,5
131.030365,322,22.260907,32
332.062981,432,23.008906,61
-51.794406,332,23.669906,12
-67.701973,75,24.182906,7
-81.540805,68,24.678906,4
148.430953,283,25.306906,27
10.218631,148,25.856906,20
32.787182,167,26.416906,27
367.836503,469,27.152906,61
-66.082797,86,28.653917,4
272.464056,386,29.352918,47
425.023601,521,30.123918,66
-40.191716,110,30.651918,12
88.899569,211,31.604917,28
115.497856,237,32.19692,33
111.330021,252,32.80092,15
1635.699034,1475,35.109853,324
-94.864389,53,35.597852,2
192.409772,303,36.225852,53
148.290214,275,36.840852,43
-85.724885,65,37.336853,5
-84.982526,68,37.833853,5
-60.457924,90,39.306853,7
-76.272419,79,39.828853,6
-75.324437,74,40.328852,5
-81.76415,70,40.828852,4
478.595861,546,41.602853,90
-47.577771,103,42.119853,11
-82.386131,75,42.619853,4
-84.680283,73,43.118853,4
332.91999,433,43.824853,67
-84.195071,70,44.320852,3
-95.025501,58,44.807853,3
-554.416297,411,45.501853,12
462.08671,551,47.307055,69
-74.360169,77,47.827915,4
-95.384281,66,48.336915,2
-24.583518,124,48.874915,9
-76.450333,74,49.381645,5
-84.023623,66,49.884643,3
-54.172232,89,50.396518,8
-51.110209,100,50.919517,10
272.596459,377,51.6006,63
-95.518821,62,52.0946,3
27.138212,250,52.702598,16
-35.127029,116,53.225599,12
-95.072052,55,53.714599,2
-92.512853,55,54.207599,2
236.090573,394,55.898598,30
0.528666,145,56.446598,13
15.575136,154,56.990598,22
-64.176581,84,57.497599,6
397.722264,519,58.256598,73
-65.416114,84,58.7686,7
208.866608,333,59.421598,34
302.714415,426,61.122598,40
534.32164,592,61.943598,99
69.423038,211,62.520598,20
-81.96251,73,63.027599,5
-152.204694,169,63.587598,7
93.158961,492,64.334599,40
183.876492,304,64.972598,40
426.849847,589,66.792599,64
801.22942,1206,67.949375,206
-55.380083,83,68.451964,7
-73.057552,75,68.954187,5
511.411239,597,70.798706,70
749.287497,796,71.721706,113
319.659647,426,72.428706,65
408.852534,497,74.165844,69
543.978731,570,74.999845,111
29.109623,170,75.569242,14
403.519646,507,76.321242,58
479.767265,593,77.128591,57
91.639735,459,78.846593,26
285.016772,398,79.542591,45
223.738652,354,80.206128,35
637.908085,813,81.159759,68
279.888542,369,82.882568,70
963.440985,996,83.957644,131
459.465425,543,84.749656,80
332.117308,523,86.737657,57
485.660309,616,87.585656,94
479.019739,552,88.374656,93
241.541997,335,89.04266,58
279.228256,456,90.844657,50
909.85441,964,91.895656,126
763.022257,850,92.866656,82
485.840503,562,94.707656,86
579.132852,623,95.537657,115
653.200686,720,96.423656,114
973.832971,1011,98.555656,143
1001.155011,1042,99.642656,129
360.524952,566,101.498092,91
370.012551,453,102.239092,86
1203.960005,1184,103.401092,180
517.164034,605,105.271165,90
664.260045,756,106.180164,107
346.458276,430,106.898192,78
1190.489085,1178,109.118192,171
415.7866,483,109.887754,94
552.716631,622,110.754753,84
-13.620119,128,111.301755,12
346.339647,448,113.086752,56
1.285842,150,113.641752,13
-69.793546,80,114.156752,6
482.404304,534,114.940752,112
668.188285,677,115.793752,149
557.529212,598,117.632752,120
788.939872,839,118.597753,151
621.166409,646,119.443752,137
1030.876316,1034,121.631752,167
1109.446671,1096,122.757753,179
707.58455,715,124.740453,153
556.573722,588,125.554453,134
833.172988,853,127.553454,155
682.10477,711,128.455454,135
1298.961023,1355,130.681455,166
414.205895,489,131.439453,83
592.698025,629,132.283454,128
481.753907,572,133.087453,97
398.950408,466,134.855452,93
349.196885,436,135.627453,67
946.956086,936,136.665453,177
658.67195,703,138.661457,127
921.065521,905,139.659453,183
716.325602,730,140.553453,147
540.604466,602,142.473453,130
492.566376,548,143.290455,105
969.616079,962,144.343453,169
1030.272192,980,146.415181,211
1530.606203,1416,148.719183,276
1063.423378,1055,149.80818,192
1200.272284,1179,151.943181,187
