#{"t_start": 1706044453.646769, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
24.663306,156,0.589998,16
469.420949,514,1.377997,103
-37.465596,101,1.903998,10
-38.747937,100,2.437998,10
-95.96441,52,2.936999,1
337.32044,401,3.648997,84
28.281604,159,4.241998,17
402.573848,470,5.001998,80
-96.991222,51,5.494029,1
-40.304276,99,7.088006,9
-40.524327,98,7.654264,10
-39.116196,100,8.192276,9
-45.775667,98,8.728533,7
-44.686534,99,9.256925,8
-96.997053,51,9.753705,1
-25.710455,112,10.287706,10
81.929485,205,10.879524,25
243.052812,334,11.553523,61
165.477693,278,12.203262,35
-44.671896,99,12.743393,8
-38.676616,100,13.273792,10
-44.692976,99,13.798871,8
168.931824,275,14.431597,42
-50.309062,93,16.077628,7
712.632423,746,17.036724,114
339.33469,418,17.767169,69
-38.635655,100,18.296172,10
-44.620187,99,18.831229,8
-37.424631,101,19.368784,10
22.344569,154,19.957784,16
26.96428,158,20.531362,17
-37.408908,101,21.080363,10
-44.688107,99,21.652362,8
-44.613174,99,23.283366,8
-44.691441,99,23.830363,8
-44.605425,99,24.367362,8
272.81447,356,25.066736,65
-38.542432,104,25.592736,9
24.751503,156,26.144738,17
23.549733,155,26.702786,16
40.473362,169,27.259786,19
19.390375,155,27.807786,16
299.408543,386,28.494786,61
24.7391,156,29.048787,16
74.924474,200,30.644787,23
-44.608476,99,31.184786,8
25.620203,157,31.747787,16
25.833506,157,32.313787,17
-44.609451,99,32.835787,8
-35.015749,103,33.363786,11
29.415406,160,33.923786,17
24.762544,156,34.479786,16
-44.610849,99,35.002786,8
99.430444,219,35.595787,28
-44.611831,99,36.125787,8
-37.368723,101,36.647786,10
-37.416953,101,37.169142,10
102.803105,222,37.77314,29
-45.772422,98,38.295559,7
-36.09848,102,38.818559,11
23.5944,155,40.38556,16
163.755031,271,41.02356,41
-35.02468,103,41.550923,11
23.510012,155,42.100923,16
336.218159,438,42.811922,55
-44.676913,99,43.333922,8
-39.725616,103,43.854922,9
23.570665,155,44.404926,16
-40.900831,102,44.939923,8
26.990777,158,45.497923,17
-44.633603,99,46.043922,8
-45.822671,98,46.566922,7
813.42754,779,48.492924,183
105.365789,226,49.083923,27
-97.003306,51,49.569923,1
-40.247212,99,50.083922,9
25.685653,157,50.636922,16
218.973769,328,51.290922,42
301.897722,380,51.971924,71
25.85288,157,53.537923,17
-39.03607,100,54.095444,9
24.735778,156,54.665444,16
26.943621,158,55.223444,17
-44.684847,99,55.746444,8
27.120101,158,56.307444,17
-44.677691,99,56.821444,8
319.191469,410,57.520445,57
411.348498,562,58.311444,111
33.25507,163,58.864444,18
23.438205,155,60.437445,16
-44.633851,99,60.981446,8
-44.609748,99,61.502445,8
-95.970635,52,61.992444,1
-40.907741,102,62.511446,8
455.819182,504,63.283444,100
-45.786154,98,63.829444,7
786.467744,769,64.750452,165
39.086132,168,65.307452,19
27.039181,158,66.843453,17
92.73526,215,67.444452,25
-44.629056,99,68.391452,8
-37.30754,101,68.911452,10
97.866251,219,69.513452,27
-44.632278,99,70.044454,8
-44.607577,99,70.578121,8
-44.621333,99,71.115018,8
275.909374,366,71.830026,58
-44.614086,99,72.377027,8
23.318501,155,72.934026,16
502.279101,570,74.783027,80
21.245135,153,75.382527,16
-44.686565,99,75.921526,8
72.335386,197,76.529527,23
-44.693408,99,77.071526,8
131.281845,243,77.697526,37
-44.687043,99,78.236527,8
-44.692142,99,78.763526,8
57.469422,201,79.349527,13
25.969056,157,79.911526,17
-44.69393,99,80.443528,8
278.309165,366,81.120526,61
76.213217,199,82.758528,25
-44.61282,99,83.314526,8
-45.775823,98,83.855527,7
-44.637335,99,84.386528,8
-36.148529,102,84.918563,11
23.574183,155,85.489341,16
151.417182,267,86.129341,32
-42.096172,101,86.664072,8
-31.287925,134,87.220349,12
60.129517,182,87.79935,27
102.694917,221,88.39735,29
-95.968639,52,88.891349,1
-44.611361,99,89.417351,8
-46.038702,97,89.94335,8
22.444168,154,90.514351,16
39.387252,168,92.120945,19
261.908207,364,92.848301,46
-37.315271,101,93.382301,10
-43.448236,100,93.911309,8
-44.606911,99,94.442309,8
14.494211,151,95.00231,15
23.571561,155,95.56831,16
-44.612728,99,96.098309,8
24.763447,156,96.660146,16
-44.691103,99,97.187665,8
66.810509,193,97.763665,25
19.402037,155,98.331665,16
-44.610876,99,98.855666,8
23.542008,155,99.418666,16
-44.614024,99,100.941665,8
400.510109,477,101.718677,72
77.696968,202,102.298677,23
599.705551,622,103.125677,126
-43.445087,100,103.651677,8
-38.526708,104,104.180677,9
-29.754673,108,104.712677,10
101.783876,222,105.309676,27
142.784207,254,106.875677,37
-44.614344,99,107.417243,8
119.656123,232,108.016243,35
34.669364,164,108.586244,18
-37.851631,101,109.116245,9
15.72995,152,109.666245,15
98.74803,221,110.258243,25
17.051272,153,110.815243,15
-43.447004,100,111.342243,8
-39.729137,103,111.868243,9
25.396625,160,112.426245,17
-29.127263,108,112.953243,12
-29.742279,108,113.483244,10
29.483076,160,114.050243,17
22.308789,154,115.569242,16
265.890065,348,116.258243,67
109.774606,231,116.857245,26
151.772079,264,117.477244,36
-44.60967,99,118.000243,8
97.236195,220,118.596244,25
-44.613372,99,119.119244,8
-43.440394,100,119.643243,8
