#{"t_start": 1705526925.0648634, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
-8917.977295,1152,1.155003,14
7.426792,280,1.778,13
-999.983304,578,2.593001,7
-481.515095,372,4.296,4
-1532.25285,764,5.197,9
17.869859,144,5.752,8
93.155908,227,6.393002,26
35.532581,233,6.986,17
-1369.966349,416,8.736,5
-583.560125,617,9.582005,8
-242.149514,124,10.124,0
-984.886766,633,10.995,7
-1046.014197,587,11.823,0
-500.062044,168,13.468004,0
-211.752066,175,14.04,6
-904.917418,485,14.789,0
-195.185047,156,15.345038,0
97.397683,246,15.956037,14
-689.361542,234,16.637039,0
-276.00089,158,17.190037,0
-1887.943118,892,19.232479,1
-297.373358,181,19.802481,1
-5855.397582,1698,22.368322,5
-404.566385,352,23.030323,11
-16753.78076,1689,25.478322,15
-376.32877,1030,26.533324,81
113.050758,568,27.319322,34
16.384202,323,28.971324,14
1572.849605,1530,30.315323,208
352.929914,477,32.041322,68
173.972606,287,32.674323,44
-90.520407,61,33.170322,2
-72.730283,80,33.672322,5
19.771342,164,34.226185,11
1155.962028,1116,35.331184,193
-63.810018,114,35.872184,11
-54.133681,90,36.393184,8
343.577913,424,38.194184,67
-78.420707,75,38.698185,4
-47.345186,98,39.221184,8
64.451884,213,39.804185,19
-94.082122,59,40.300184,3
-48.866534,90,40.812184,10
633.491616,696,41.675185,91
-82.894787,67,42.178184,4
69.494514,194,42.749185,26
-216.11271,660,44.602184,33
1031.46779,1023,45.647184,170
0.610294,192,46.219187,18
-89.495654,61,46.717185,2
-64.956832,92,47.234703,8
-40.193927,98,47.756704,9
379.89428,568,49.511704,74
602.751379,641,50.338704,117
-90.388619,65,50.840703,4
-59.802086,84,51.352703,8
1471.445661,2375,54.176706,293
870.647795,880,56.165704,160
1515.932874,1457,57.447648,227
1406.122474,1341,59.699646,235
320.152672,408,60.396646,75
275.325114,380,61.065646,62
-25.462803,124,62.679647,9
-69.752322,81,63.207645,6
87.132761,211,63.788647,27
457.894475,535,64.554646,74
511.264948,1144,65.668048,131
-35.093619,108,67.152949,10
-39.817082,181,67.733948,5
-87.791419,64,68.231948,4
291.373777,514,68.987948,71
-17.326757,123,69.525949,14
212.851604,313,70.163949,55
-78.275463,77,70.668948,6
-85.606116,68,71.179949,4
-74.306848,78,71.690951,5
-100.238567,55,72.186477,2
-83.139277,68,72.694478,4
6.097296,144,73.241493,18
-95.676315,52,73.742492,2
-93.444647,61,74.239493,3
36.700623,172,74.800492,16
-91.30113,62,76.301492,2
-76.468467,72,76.825492,4
-190.661049,319,77.477493,19
21.806174,159,78.035492,14
-89.775249,62,78.544493,3
-90.590088,60,79.049492,4
-44.313421,100,79.572492,9
-93.566201,57,80.069492,1
-10.616641,131,80.606601,14
-85.580388,61,81.100597,3
211.668997,314,81.737597,50
-86.557315,59,82.230597,4
-20.006835,121,82.754597,11
-69.958327,73,83.252598,6
110.366887,236,83.842763,29
-85.178715,63,84.342762,3
-75.276358,81,84.853763,7
-81.575363,71,86.319762,3
-59.721541,91,86.859763,9
519.567418,711,87.722763,136
-84.430785,58,88.222762,3
88.906919,561,88.995762,56
-100.370913,54,89.490762,1
518.023251,572,91.298766,99
146.180541,260,91.931762,50
-93.147379,61,92.424763,3
-91.548147,64,92.921763,4
-84.670914,67,93.414762,3
-80.821616,69,93.907763,5
111.265317,226,94.489764,39
-89.125286,65,95.003452,3
-83.365818,66,95.511421,4
-78.576807,68,96.012877,4
-3.766578,134,96.548877,15
-2.589036,137,97.094877,14
-69.18906,80,97.597877,5
-87.71007,60,98.089366,2
200.430235,306,98.717381,46
-94.124777,60,99.210388,3
-72.737867,77,99.707388,5
-85.21454,66,100.201436,4
-88.471753,60,100.690434,3
-81.474783,73,102.237421,5
9.663597,146,102.811447,15
-23.920953,116,103.336447,10
86.713614,217,103.925447,22
399.172872,484,104.673446,70
76.306446,207,105.255448,27
130.558664,249,105.859447,36
55.1609,180,106.428447,28
-74.682254,78,106.929448,6
-88.905272,59,107.420449,3
152.497624,275,108.031448,27
622.538571,651,109.787447,121
-94.874622,66,110.281449,2
-83.281465,72,110.787448,4
506.251627,550,111.56145,112
80.166869,205,112.141446,30
-87.836593,64,112.710448,4
389.362251,449,113.439447,104
-12.848752,125,114.968453,13
-81.523173,63,115.604447,3
-75.859272,70,116.113447,3
-72.634344,82,116.628447,7
-93.539397,56,117.122447,2
483.017502,539,117.889447,101
-83.146735,65,118.391447,3
-80.988678,76,118.894447,6
-90.804877,60,119.391451,2
-73.585725,73,119.917447,5
-79.250408,75,120.42445,5
-67.73865,90,120.955449,8
360.399672,440,121.670447,75
-84.319245,61,122.170447,4
-85.690955,64,122.674448,4
431.328004,496,124.553449,97
390.739185,689,125.442113,93
41.497488,176,126.017113,23
561.097589,678,126.880112,68
56.847903,383,128.632111,31
-91.666498,73,129.152114,3
-85.321429,64,129.661113,4
22.372165,161,130.221114,17
-30.640437,108,130.757112,10
-77.967298,64,131.262113,4
159.79228,266,131.894114,45
172.108803,290,132.573114,36
-117.224025,148,133.152112,2
-89.773319,61,133.666113,2
-45.326416,99,134.184112,7
-95.449164,53,134.679113,1
-86.766383,60,135.179113,2
-78.000701,90,135.701113,4
-68.27987,79,136.219114,5
-92.459796,58,136.719112,1
-89.989409,61,137.229112,2
72.5768,192,138.861113,37
-88.67301,62,139.377113,3
-80.717633,107,139.904112,6
-62.896609,88,140.423112,7
-79.251525,70,140.926112,2
-80.331584,62,141.428113,3
-84.295453,61,141.934112,4
190.439263,293,142.555113,45
-88.452047,61,143.058112,3
1.715133,145,143.607112,18
-143.379685,287,144.284114,14
157.935655,279,144.947113,39
240.461567,327,145.637115,69
243.092984,331,147.419112,59
-88.609377,69,147.936112,4
-79.337332,65,148.443112,3
-315.409496,252,149.051112,3
246.644971,351,149.711112,49
411.964458,480,150.450112,85
-92.382163,58,150.950112,3
-81.670967,64,151.452115,4
-87.626313,67,151.953114,5
293.879804,378,152.630113,65
238.211116,353,154.270113,37
-96.519099,58,154.765115,3
245.595797,378,155.443112,37
726.056423,723,156.315112,155
-84.943666,66,156.814114,4
-91.125797,60,157.306113,3
476.512153,537,159.136112,93
14.634032,198,159.732113,14
-90.296644,62,160.229113,3
642.742017,711,161.094113,83
182.400726,278,161.716112,49
-83.371521,237,162.330112,6
-26.693722,125,162.869112,12
-76.533877,73,163.373113,6
171.259108,406,165.027114,34
-94.865297,56,165.555089,2
-91.416078,65,166.049313,4
464.774908,526,166.805313,88
-94.011288,60,167.310317,2
-95.143934,58,167.800862,3
-23.069453,134,168.33186,12
-87.330998,60,168.827859,2
51.516452,175,169.38986,24
291.698311,375,170.06186,64
-86.007259,61,170.565864,4
-49.731499,94,171.079859,7
-89.346516,58,171.57386,2
487.047263,522,173.344862,117
60.953526,185,173.906861,26
-27.912534,114,174.434859,12
-86.15494,59,174.93086,2
-22.85457,120,175.463861,11
535.241185,559,176.23986,125
96.230751,217,176.823859,25
-93.941889,60,177.32086,3
-177.840889,328,177.970861,8
162.78476,267,179.579859,45
-90.849143,61,180.089862,3
-85.325885,65,180.59686,5
40.370377,173,181.159861,20
258.705424,350,181.820617,58
299.035984,397,182.510617,56
77.952404,213,183.085617,18
-12.036629,129,183.615617,13
-86.960924,60,184.107617,3
-87.482011,67,184.602619,4
-85.180189,64,185.091618,4
304.053611,375,186.729617,77
147.484698,265,187.37162,39
481.593463,525,188.140617,106
-93.287573,71,188.639618,3
-43.407242,97,189.157618,9
-5.163576,132,189.689618,15
-97.462097,56,190.181618,2
126.042971,263,190.822618,21
-95.633124,57,191.338617,3
-6.553573,131,191.89062,11
68.080477,196,192.486618,24
18.71779,154,194.038618,16
-84.367287,62,194.563617,4
745.864067,730,195.434618,167
-43.836277,97,195.950619,9
-42.568126,101,196.477618,10
1.663972,137,197.030618,16
33.488213,163,197.60062,18
-96.272761,54,198.091618,1
45.364825,174,198.647617,25
92.952202,216,199.232617,27
86.279864,212,199.83062,28
255.235823,348,201.562618,59
-76.454205,73,202.074618,3
-91.18142,58,202.582622,2
12.368141,154,203.139618,12
79.606357,203,203.727853,28
358.035072,433,204.450971,77
-85.451053,65,204.951971,3
-94.278704,59,205.454973,2
-89.45943,61,205.95997,3
