#{"t_start": 1706031849.527583, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score
159.102686,284,0.636999,23
-70.984203,503,1.373999,20
320.23726,705,2.217,43
-2054.030068,1001,4.206999,23
-593.898995,559,4.969,9
74.160208,291,5.581999,25
-366.794406,236,6.168,0
-903.805388,781,8.002999,24
-72.250187,76,8.503,4
-251.604383,264,9.104999,2
-122.450456,142,9.645,4
341.425238,454,10.347999,51
-63.197073,194,10.917999,14
212.612071,408,11.603999,36
-625.108602,433,13.259998,0
-203.392886,354,13.927999,19
-357.973567,222,14.531999,0
11.117796,154,15.069999,18
-1147.664204,395,15.789002,7
-161.221628,132,16.319999,0
109.421829,235,16.900999,23
-48.436897,171,17.451999,5
-352.715373,409,19.085999,11
569.061956,694,19.928999,70
403.393217,466,20.645999,60
-449.798639,341,21.303999,7
27.549732,272,21.904999,16
142.59913,422,23.587999,35
-71.804264,100,24.099,6
-69.07317,285,24.711999,18
-72.186162,118,25.226999,5
40.80698,196,25.787999,6
-145.129713,148,26.327999,4
-93.210567,54,26.810999,2
-42.673737,107,27.323999,12
-466.097617,402,28.010001,3
112.312734,236,28.594999,30
-769.265594,535,30.325999,6
-4.142079,145,30.861999,7
226.978342,355,31.512999,17
-204.067187,161,32.066999,3
9.926026,186,32.624999,10
232.990258,358,33.276999,35
-88.169372,213,33.852999,11
131.379146,257,35.404,32
102.687213,228,36.004999,20
49.392823,321,36.642999,28
170.269612,311,37.268999,23
-80.973308,135,37.799999,6
49.511919,201,38.370999,13
28.450174,207,38.937999,10
90.652359,532,40.622002,23
-173.470998,137,41.19,4
33.329335,174,41.737999,4
-91.723622,89,42.240999,3
-111.383951,131,42.766,4
-47.23712,99,43.278001,8
-45.190409,129,43.804,6
-191.024289,83,44.328999,0
-155.878334,359,44.982999,3
-289.768417,195,45.561,0
-55.643377,163,46.106999,13
-810.892126,484,46.901,4
-87.808071,62,48.331173,3
-5336.298996,1145,49.439173,64
232.878787,344,50.083174,43
-13.966475,131,50.615173,10
-92.274779,192,51.182173,8
-88.509402,203,52.708174,3
-86.717659,64,53.217172,3
88.733844,213,53.791173,33
162.413864,283,54.402173,31
-22.168238,130,54.927172,11
-90.393774,59,55.411172,2
-91.534554,58,55.894172,2
-604.493951,435,56.597172,19
-37.155443,166,57.146173,12
52.412193,370,57.802172,29
122.94933,246,59.289171,29
-881.146632,391,59.980173,8
-507.551692,250,60.665173,0
-75.704249,282,61.272173,8
-27.243674,169,61.819173,9
-276.31091,180,62.374172,2
617.600917,633,63.179173,127
-124.443016,207,64.714175,18
-184.34506,145,65.266173,3
162.525821,297,65.883172,28
225.937721,445,66.598172,33
59.032345,204,67.169173,13
59.950638,190,67.729172,23
-27.576729,127,68.251173,10
-102.372834,165,68.800172,11
-20.983438,125,69.321172,11
354.342481,455,70.965174,34
173.361462,300,71.597172,43
470.699724,578,72.376173,46
-216.30115,182,72.939173,1
240.339533,493,73.671175,58
-536.374332,340,75.301172,1
-57.343645,191,75.890173,12
-95.220971,55,76.377172,2
-129.896265,227,76.958173,8
435.945254,503,77.684172,69
521.678492,588,78.464172,94
-72.375323,95,78.974173,4
-1184.390012,670,80.957173,2
-437.13492,202,81.580173,0
166.441536,254,82.182173,32
-432.070481,175,82.828173,0
-176.359331,154,83.392173,6
343.430472,385,84.072173,66
-50.268464,116,84.590172,4
-41.311566,100,85.099173,8
119.422955,226,85.677172,41
-2.076248,223,87.204173,14
1.678434,135,87.763173,14
-85.935684,71,88.256173,4
-235.38399,180,88.811172,7
-88.915257,66,89.305173,4
-269.842578,232,90.081172,10
